 	ses	parents	ne	veulent	plus	de	lui	parce	qu'	il	a	des	attributs	de	la	sorcellerie	</S>
a84	0.0574081	0.0639228	0.100826	0.105935	0.102373	0.110826	0.101644	0.10842	0.0883736	0.0579872	0.0401085	0.0302339	0.0138917	0.00615019	0.00466132	0.00386768	0.00337027
a10	0.356013	0.179643	0.0565152	0.0187165	0.0262105	0.0338196	0.0333194	0.0322876	0.0277145	0.0198302	0.0223917	0.0306336	0.0458693	0.0305583	0.0295459	0.0285125	0.0284201
a87	0.242806	0.173779	0.11784	0.0778487	0.0503922	0.0483808	0.0386089	0.037295	0.0307566	0.0262314	0.0268652	0.0297182	0.0293766	0.018036	0.0167477	0.0158363	0.0194819
a23	0.241985	0.159372	0.102552	0.0776005	0.0437446	0.0444118	0.0385505	0.0392071	0.0344524	0.0297837	0.0324681	0.0378322	0.0370296	0.0205819	0.0192428	0.0196338	0.0215513
a18	0.217707	0.149291	0.0799726	0.0542216	0.0359682	0.0319821	0.0256114	0.0229846	0.025282	0.0275114	0.0398248	0.0598933	0.0810196	0.0480349	0.0377408	0.0302531	0.0327011
a53	0.163195	0.145353	0.131913	0.0770655	0.0390597	0.0336875	0.0271356	0.0253129	0.0262198	0.0271523	0.0362935	0.0457646	0.0652239	0.0463665	0.0379405	0.0325161	0.0398006
a93	0.277342	0.220343	0.155539	0.0576668	0.0343892	0.0272708	0.0205874	0.0185976	0.0169801	0.0150662	0.018931	0.0216412	0.0357055	0.0276067	0.0228691	0.016222	0.0132425
a56	0.24562	0.207134	0.135394	0.0583984	0.0350198	0.0275416	0.0217814	0.0203055	0.0185956	0.0164803	0.0201503	0.0203648	0.0379058	0.044312	0.0395766	0.0284175	0.0230023
a12	0.222953	0.211604	0.14579	0.0728994	0.0393798	0.0299303	0.0209508	0.0183868	0.016537	0.01376	0.0155556	0.0140519	0.0245649	0.0404649	0.0426495	0.0351431	0.0353786
a96	0.210955	0.195857	0.148179	0.0846713	0.056259	0.0478849	0.0344056	0.0306288	0.0260193	0.0192044	0.0188271	0.0152968	0.0188743	0.0260514	0.0252999	0.0196159	0.0219698
a62	0.157216	0.185264	0.151567	0.10624	0.0701	0.0556382	0.0355463	0.0314773	0.0266765	0.0210146	0.0202563	0.0175235	0.0200082	0.0266638	0.0268807	0.0217597	0.0261676
a88	0.117972	0.161109	0.154415	0.120414	0.0897315	0.0778704	0.0541847	0.0478537	0.0367158	0.0250149	0.0205485	0.0150207	0.0139286	0.0168142	0.0167971	0.0142228	0.0173878
a75	0.0527739	0.0924064	0.106007	0.126548	0.121442	0.112811	0.0776782	0.0667264	0.0482657	0.0313625	0.0250442	0.0179474	0.0173014	0.0231105	0.0241478	0.0226053	0.0338217
a92	0.02692	0.0569561	0.0823748	0.0918062	0.0914048	0.0835853	0.0785064	0.0824077	0.0739121	0.0614733	0.0502967	0.0306936	0.0277542	0.0354472	0.0368537	0.0375575	0.0520505
a85	0.0278621	0.0532763	0.0870425	0.118086	0.121777	0.103066	0.0842819	0.0823755	0.066757	0.0506353	0.0387077	0.0229769	0.0196775	0.0243729	0.0270641	0.0300549	0.0419867
a79	0.0164416	0.0361017	0.0591626	0.0851581	0.089943	0.0782021	0.0738224	0.0822347	0.0730217	0.0655052	0.0549101	0.0379177	0.0368905	0.0466647	0.0471525	0.049507	0.0673645
a15	0.0103347	0.020159	0.0423243	0.107439	0.146932	0.140788	0.132499	0.110582	0.0780448	0.0558731	0.03888	0.0215551	0.0169236	0.0158545	0.0158883	0.0189705	0.0269522
a7	0.0115649	0.0207197	0.0409312	0.101826	0.147712	0.138555	0.128616	0.100255	0.0696492	0.0548845	0.0392038	0.0242966	0.0197698	0.0191255	0.0203179	0.0252476	0.0373251
a84	0.013535	0.016864	0.0234032	0.061066	0.125321	0.137766	0.135681	0.0997067	0.0722836	0.0523457	0.0427766	0.0299967	0.0261752	0.0276742	0.0315158	0.0422547	0.061634
a57	0.029666	0.0337965	0.0435036	0.0809354	0.131828	0.138374	0.121903	0.0965697	0.0746731	0.0558944	0.043294	0.0343436	0.02506	0.0189778	0.0182318	0.0230169	0.029932
a87	0.0484466	0.042678	0.0460079	0.0800497	0.119937	0.129737	0.110872	0.0907487	0.0732068	0.0509217	0.0409866	0.0328576	0.0279022	0.0219793	0.0218669	0.0263655	0.0354356
a23	0.12454	0.0739734	0.0487118	0.0477487	0.0670984	0.0797811	0.0784511	0.0666801	0.0565019	0.0415053	0.0379611	0.0446368	0.0558345	0.0380397	0.0430682	0.0450513	0.0504169
a87	0.0492142	0.0380649	0.0379276	0.0563228	0.0777182	0.0811638	0.0753198	0.0680656	0.0594253	0.0522535	0.0535986	0.0501762	0.0562259	0.0419917	0.0489938	0.0674241	0.0861141
a10	0.0312699	0.0255927	0.0298083	0.0442215	0.0674606	0.0780978	0.0894547	0.0766971	0.0672022	0.0569536	0.0562252	0.0510307	0.0631767	0.0435722	0.0526001	0.072422	0.0942149
a83	0.0242111	0.0248	0.0291993	0.0381603	0.0522553	0.062945	0.0765695	0.0661122	0.0618394	0.0561774	0.0577077	0.0536811	0.0763658	0.0573874	0.0684313	0.0887863	0.105371
a75	0.00433398	0.00520055	0.00598729	0.00977143	0.0157312	0.0197867	0.0294168	0.032412	0.0336606	0.0342566	0.042549	0.0481531	0.111636	0.126379	0.134741	0.151708	0.194277
a79	0.00389017	0.00775714	0.0130805	0.0210103	0.0287468	0.0303066	0.0421495	0.0428228	0.0418694	0.0401446	0.0409084	0.0418675	0.0848505	0.125537	0.136916	0.134035	0.164107
a37	0.0054862	0.0120875	0.0213631	0.0301325	0.0380726	0.0383869	0.0480411	0.0453829	0.043842	0.0418555	0.0429554	0.0381476	0.0674382	0.113199	0.127843	0.120391	0.165375
a75	0.00818745	0.010312	0.0171837	0.0359742	0.0546497	0.0605362	0.0706199	0.0720823	0.0685469	0.0677465	0.0640948	0.0558267	0.0716963	0.0772314	0.0791805	0.07333	0.112802
a85	0.00413142	0.0058925	0.0105799	0.0284492	0.0516433	0.0542085	0.0696657	0.0693692	0.0591253	0.0561908	0.047803	0.0389201	0.0536205	0.0753694	0.0919737	0.103897	0.17916
a47	0.00164697	0.00324083	0.00765427	0.021745	0.0396392	0.0404193	0.0514431	0.0511234	0.0428531	0.0441727	0.0368314	0.0318656	0.0486987	0.0971527	0.125821	0.138937	0.216756
a36	0.00126862	0.00259307	0.00511817	0.015217	0.0332983	0.0368724	0.0503371	0.0450352	0.0377739	0.0417224	0.0386367	0.0375523	0.0707463	0.106311	0.125388	0.136108	0.216022
a54	0.00280174	0.00321242	0.00490024	0.0148057	0.0314309	0.0371836	0.050872	0.0506104	0.0446314	0.053303	0.0477953	0.0402484	0.0528959	0.0750565	0.100167	0.13987	0.250216
a47	0.00180635	0.00211379	0.00329487	0.00932005	0.0210486	0.0237928	0.0351097	0.0349402	0.0304703	0.036085	0.0332365	0.0326567	0.0503398	0.0869863	0.123866	0.162555	0.312377
a92	0.000463498	0.000663412	0.00116925	0.00354843	0.00988126	0.0121225	0.0202158	0.0204324	0.0186259	0.0272381	0.0242093	0.0256616	0.0472137	0.0926328	0.132142	0.198581	0.3652
a37	0.000476832	0.00062732	0.00127712	0.00470206	0.0119623	0.0144499	0.0219817	0.023611	0.0211231	0.0294553	0.0273584	0.0267474	0.0477654	0.0945842	0.132523	0.202871	0.338484
a6	0.00144436	0.00139197	0.00204921	0.00721047	0.0176119	0.0219201	0.0320644	0.0289685	0.0236447	0.0357755	0.0314237	0.0325163	0.0546469	0.084717	0.119319	0.188266	0.31703
a36	0.000547078	0.000667656	0.000789614	0.0017953	0.00439489	0.00546972	0.0110792	0.0112695	0.0101068	0.0197073	0.0164064	0.0180274	0.033468	0.0730443	0.121875	0.227717	0.443635
a2	0.00347572	0.00327061	0.00277866	0.00471688	0.00826652	0.00958129	0.0138455	0.0109857	0.00986258	0.0175751	0.0182801	0.0225671	0.0486776	0.0861492	0.131335	0.207305	0.401327
a57	0.0192216	0.0137942	0.0119297	0.0140476	0.0221658	0.0283512	0.0376143	0.0352007	0.0359547	0.0540612	0.0499936	0.0643091	0.0863337	0.0790021	0.0990411	0.143772	0.205207
a10	0.0252095	0.0139733	0.00879425	0.00915784	0.0197396	0.0293434	0.0465301	0.0469734	0.0489977	0.0824692	0.075395	0.109558	0.121467	0.0805279	0.0857769	0.0882871	0.1078
a87	0.0301547	0.0142826	0.00555601	0.00540751	0.0166982	0.0269696	0.0467318	0.0440783	0.0465047	0.0812339	0.0877442	0.137921	0.150997	0.0844739	0.0821999	0.065347	0.0737002
a23	0.0377709	0.0200223	0.00677726	0.00566808	0.0158637	0.0249638	0.0411118	0.0360335	0.0355977	0.0564816	0.0712695	0.0941206	0.135144	0.107011	0.11248	0.0867568	0.112928
a97	0.00855904	0.00574032	0.0024691	0.002772	0.00818525	0.0119648	0.0209472	0.0198701	0.0203536	0.0340087	0.0444686	0.0632887	0.12883	0.128745	0.149471	0.149905	0.200421
a99	0.0230758	0.0208741	0.0116739	0.00930655	0.015353	0.0193225	0.0288578	0.0253426	0.0259221	0.0385404	0.0462238	0.0526512	0.093204	0.107895	0.127047	0.135154	0.219556
a87	0.0177968	0.0163088	0.00925273	0.0081316	0.0164528	0.0217589	0.0314755	0.0283052	0.0296929	0.0413243	0.0516895	0.0655077	0.116259	0.123494	0.133688	0.126386	0.162477
a23	0.0275002	0.0227933	0.012914	0.0126042	0.0189339	0.024723	0.0368718	0.0311504	0.0296311	0.0436536	0.0514429	0.0587307	0.0952523	0.101336	0.11925	0.125931	0.187282
</S>	0.0143129	0.0136549	0.00848524	0.00853702	0.0172733	0.0228863	0.0362663	0.0339498	0.0334101	0.0469754	0.0522297	0.0635353	0.108305	0.114867	0.130532	0.130251	0.164529
