 	le	maçon	a	enfoncé	le	piquet	dans	le	sol	</S>
a66	0.240453	0.175877	0.117836	0.0997617	0.0833182	0.0798526	0.0722164	0.0522422	0.0513712	0.0270728
a87	0.155274	0.118689	0.11645	0.114208	0.118129	0.138046	0.0947874	0.0620611	0.0539209	0.0284341
a97	0.158313	0.216452	0.181706	0.135581	0.0987745	0.078725	0.0502362	0.0355114	0.027127	0.0175744
a30	0.163488	0.254436	0.184684	0.13184	0.0946938	0.0641956	0.0406863	0.0292208	0.0214202	0.0153354
a93	0.190814	0.290467	0.179356	0.111494	0.0758997	0.0513228	0.0351312	0.0284252	0.021456	0.0156348
a4	0.273297	0.257756	0.1568	0.0984887	0.0561869	0.0418556	0.0345577	0.0328766	0.0288693	0.0193136
a13	0.229702	0.246979	0.150803	0.121222	0.0824045	0.0570179	0.0389237	0.032164	0.0241009	0.0166836
a38	0.13471	0.180484	0.139439	0.133884	0.110503	0.0919335	0.0676258	0.0557672	0.0467164	0.0389376
a90	0.109555	0.141775	0.121973	0.125947	0.113337	0.101762	0.0793081	0.0702295	0.0688955	0.067219
a56	0.139618	0.170697	0.137897	0.138492	0.112647	0.0855462	0.0602104	0.0499329	0.0499977	0.0549617
a62	0.131846	0.148758	0.135472	0.141758	0.126727	0.100819	0.0666089	0.0474069	0.0486332	0.0519707
a96	0.133197	0.14579	0.13233	0.13932	0.128796	0.105886	0.0698475	0.0469514	0.0473305	0.0505533
a21	0.0955504	0.118095	0.131147	0.143304	0.14285	0.124092	0.0840167	0.0522999	0.0516563	0.0569887
a85	0.0517613	0.0684719	0.0927511	0.108365	0.144615	0.153104	0.131997	0.090732	0.0825445	0.0756579
a92	0.0234416	0.04516	0.0837173	0.100763	0.137701	0.148928	0.137716	0.113038	0.10829	0.101246
a56	0.0300599	0.0499092	0.0977355	0.116096	0.154829	0.153943	0.14534	0.105616	0.0776832	0.0687884
a93	0.0271773	0.0432365	0.0851513	0.103208	0.149372	0.154246	0.153478	0.11848	0.0934181	0.0722323
a34	0.0272672	0.0393558	0.0768414	0.0943225	0.137264	0.149559	0.15825	0.125668	0.107495	0.0839784
a61	0.0137868	0.0209114	0.0439706	0.0550684	0.0985247	0.125398	0.164709	0.175255	0.16852	0.133855
a0	0.00717856	0.011539	0.0254532	0.0330323	0.0660952	0.0970869	0.155969	0.199208	0.213673	0.190765
a11	0.00466884	0.00784158	0.0166035	0.0212147	0.0371626	0.0567887	0.10253	0.170481	0.255067	0.327643
a96	0.00298611	0.0044138	0.00891695	0.0113317	0.0193985	0.0325052	0.0684666	0.141384	0.275192	0.435405
a94	0.00213884	0.0035002	0.00813774	0.0103139	0.0160729	0.0247814	0.0513851	0.125317	0.266068	0.492285
a0	0.00155396	0.00243373	0.0056941	0.00700045	0.0107053	0.0177887	0.0401411	0.11615	0.259775	0.538758
a75	0.00219665	0.00286941	0.00654165	0.00777943	0.0111986	0.0193861	0.0446278	0.130465	0.272642	0.502294
a41	0.000536892	0.000967257	0.0027467	0.00383957	0.00773519	0.0120409	0.028251	0.0893526	0.205057	0.649473
a0	0.000888129	0.00151818	0.00433357	0.0058784	0.0104081	0.0139821	0.0272807	0.0797483	0.176029	0.679934
a27	0.000788906	0.00119427	0.00324039	0.00402449	0.0069424	0.0119087	0.0257772	0.077181	0.180374	0.688569
a75	0.0308082	0.0239014	0.0417896	0.0442909	0.0501183	0.0592251	0.0733486	0.118395	0.183478	0.374644
a12	0.00102201	0.0014736	0.00433802	0.00593051	0.011192	0.0204353	0.0400325	0.097572	0.20561	0.612394
a18	0.00096344	0.000999933	0.00207439	0.00262587	0.00361042	0.00606119	0.0151762	0.0553935	0.162304	0.750791
a71	0.00646697	0.00700437	0.0144573	0.0158035	0.0213367	0.0289106	0.045988	0.0964625	0.171232	0.592338
a25	0.0483486	0.0368944	0.0559601	0.0543511	0.0587984	0.0605381	0.0690196	0.102692	0.159429	0.353969
a97	0.075753	0.061078	0.0880611	0.075473	0.0822199	0.0791737	0.070986	0.0906367	0.128862	0.247756
a87	0.0795481	0.0720075	0.0968183	0.0815568	0.0865967	0.080286	0.0694275	0.0893675	0.119985	0.224406
a97	0.0417913	0.0415243	0.057438	0.055788	0.0672163	0.0690963	0.0752247	0.114014	0.15724	0.320667
</S>	0.0303734	0.0394215	0.0658269	0.0668103	0.0981942	0.108489	0.11649	0.126746	0.136148	0.2115
