 	les	chasseurs	ont	allumé	le	feu	pour	braiser	la	viande	</S>
a66	0.0607712	0.0689491	0.0826296	0.08055	0.118524	0.186919	0.242251	0.132097	0.0211397	0.00398785	0.00218161
a87	0.155599	0.141021	0.132915	0.116544	0.111361	0.135042	0.117768	0.0544917	0.022112	0.00742809	0.00571795
a23	0.159391	0.121553	0.128717	0.104169	0.139136	0.157022	0.118239	0.03805	0.0160874	0.00943442	0.00820159
a87	0.177661	0.105617	0.120313	0.100709	0.178897	0.170628	0.0961782	0.0165621	0.0120095	0.00975071	0.0116739
a23	0.192487	0.108219	0.122218	0.100659	0.172611	0.156263	0.0969779	0.0190763	0.0113545	0.00891607	0.0112185
a40	0.171398	0.103052	0.126046	0.109765	0.153748	0.147284	0.0802848	0.0199036	0.0251675	0.0280119	0.0353396
a26	0.222934	0.181959	0.170804	0.119283	0.0886206	0.0750792	0.0581685	0.0259767	0.0240571	0.017151	0.0159674
a47	0.191722	0.178059	0.163937	0.139627	0.0734399	0.052663	0.0493238	0.0551283	0.0503806	0.0246814	0.0210372
a62	0.151674	0.133845	0.127314	0.124681	0.0832843	0.0617411	0.0624082	0.095337	0.0885315	0.0416766	0.0295076
a21	0.156257	0.130486	0.113336	0.100708	0.0931664	0.0725892	0.0792028	0.13762	0.0611128	0.0293104	0.0262127
a85	0.125854	0.112436	0.106623	0.0955147	0.105051	0.0900382	0.0988139	0.162931	0.0503226	0.0266958	0.0257199
a6	0.0835072	0.0909551	0.0887006	0.0939594	0.0839364	0.064041	0.0725664	0.195485	0.080431	0.0707256	0.0756921
a37	0.0871828	0.0908829	0.0939392	0.0884401	0.0960599	0.0819065	0.0932936	0.177766	0.057618	0.0600802	0.0728311
a83	0.0572355	0.0784106	0.100288	0.10487	0.137166	0.119294	0.123847	0.146797	0.0410792	0.0395518	0.0514603
a34	0.0302682	0.0449663	0.0685163	0.0865644	0.148484	0.127754	0.12253	0.129473	0.0588502	0.0769189	0.105675
a93	0.0309708	0.039972	0.0559261	0.0668007	0.114303	0.10273	0.105204	0.164062	0.083713	0.100484	0.135834
a43	0.0243839	0.0346135	0.051682	0.0650688	0.11434	0.103635	0.105941	0.144128	0.109591	0.111134	0.135482
a75	0.0132793	0.0189605	0.0291661	0.0382836	0.0762797	0.0746443	0.0776646	0.104465	0.155529	0.196583	0.215146
a5	0.00736773	0.0100271	0.0150029	0.0172706	0.0288321	0.0241969	0.023399	0.0444937	0.140914	0.269016	0.41948
a21	0.0123424	0.0144124	0.019429	0.023961	0.0435522	0.0418607	0.0434309	0.0782118	0.172416	0.245942	0.304442
a5	0.00491415	0.00601	0.00818421	0.0106357	0.0205383	0.0194024	0.0196939	0.0377841	0.148513	0.320934	0.40339
a12	0.00263171	0.00331385	0.00473812	0.00563983	0.00931969	0.00779623	0.00699253	0.0135864	0.0924387	0.342172	0.511371
a62	0.00162241	0.00197896	0.00254621	0.00278944	0.00440068	0.0042706	0.00401879	0.00784451	0.0651653	0.373493	0.53187
a88	0.000740538	0.000981731	0.00134659	0.00150004	0.00229193	0.00263043	0.00285417	0.00669977	0.0677205	0.378489	0.534746
a75	0.000390978	0.000557923	0.000814472	0.00102321	0.00166043	0.0025275	0.00300991	0.0052305	0.0609305	0.329064	0.594791
a85	0.00038411	0.000642603	0.000968445	0.00114171	0.00159766	0.00163226	0.00175984	0.00342164	0.0417925	0.299466	0.647194
a79	0.000248913	0.000367453	0.000509961	0.000553404	0.000741093	0.000671945	0.000644285	0.00106768	0.0212175	0.275453	0.698524
a85	0.000208456	0.000310194	0.000468964	0.000521104	0.000695244	0.000589367	0.000569019	0.000916898	0.0179305	0.266125	0.711665
a5	0.000158951	0.000250901	0.000380662	0.00042992	0.000573575	0.000438366	0.000417794	0.000953706	0.0190923	0.251253	0.726051
a61	0.000564865	0.000820503	0.00103356	0.00105612	0.00106555	0.00105034	0.00114064	0.00281413	0.0319257	0.270573	0.687956
a5	0.000412102	0.000694959	0.000904055	0.00101366	0.000815266	0.000874683	0.000996363	0.00284072	0.0331505	0.265989	0.692308
a36	0.00134589	0.00232755	0.00311999	0.00329013	0.00259497	0.00229685	0.00239266	0.00459424	0.0336519	0.259445	0.684941
a26	0.00249677	0.00362047	0.00540344	0.00634451	0.00452753	0.00347516	0.00296442	0.00408195	0.0326191	0.254909	0.679558
a57	0.0649343	0.0647179	0.08574	0.0827612	0.0475755	0.032454	0.0240781	0.0146354	0.0353835	0.16797	0.37975
a87	0.195131	0.12206	0.139377	0.122125	0.112956	0.0813183	0.0492622	0.0147884	0.0181939	0.0490731	0.0957157
a23	0.1599	0.105149	0.131241	0.115213	0.126393	0.124433	0.0858428	0.0233775	0.0227549	0.0422409	0.0634554
a87	0.13295	0.0918531	0.113845	0.0922169	0.0714717	0.0644812	0.042464	0.013393	0.043593	0.13624	0.197492
</S>	0.0246602	0.0163043	0.0199608	0.0175782	0.0176711	0.019348	0.0177671	0.0120039	0.0590792	0.253692	0.541935
