 	le	vin	est	aigre	</S>
a23	0.53629	0.260966	0.0890754	0.0608619	0.0528063
a10	0.45285	0.178521	0.171476	0.103996	0.0931575
a30	0.294339	0.164046	0.186819	0.1851	0.169696
a87	0.349506	0.138359	0.112277	0.179084	0.220775
a40	0.343662	0.163086	0.153742	0.212983	0.126526
a30	0.366779	0.152381	0.137033	0.190179	0.153628
a35	0.429167	0.322013	0.176777	0.0577371	0.0143056
a98	0.415331	0.309388	0.183483	0.073001	0.0187964
a41	0.256163	0.31312	0.278281	0.113637	0.0387982
a24	0.272869	0.340539	0.255957	0.0932148	0.0374207
a41	0.294466	0.283436	0.24393	0.118118	0.0600508
a14	0.151746	0.168782	0.270947	0.240573	0.167951
a41	0.203591	0.196637	0.254882	0.220038	0.124852
a27	0.106878	0.0803919	0.137185	0.379887	0.295658
a38	0.0347162	0.0521515	0.154137	0.421605	0.337391
a26	0.0315246	0.0502429	0.162492	0.378628	0.377112
a35	0.0333259	0.04665	0.11055	0.327324	0.48215
a14	0.0164588	0.0155864	0.038206	0.326147	0.603602
a41	0.0145768	0.0117018	0.0252163	0.234999	0.713506
a14	0.0067439	0.00495342	0.0115723	0.170128	0.806602
a41	0.00615368	0.0028534	0.00643326	0.184324	0.800235
a96	0.00504037	0.00211429	0.00514367	0.170182	0.81752
a83	0.00286652	0.00224735	0.00639532	0.138942	0.849548
a9	0.00822318	0.00510834	0.0106824	0.160683	0.815303
a87	0.00649424	0.00333158	0.00590383	0.133639	0.850631
</S>	0.0126007	0.00910327	0.0143746	0.154527	0.809394
