 	cet	arbre-ci	est	gros	</S>
a66	0.416912	0.258592	0.149067	0.119892	0.0555377
a87	0.357717	0.301014	0.209352	0.100405	0.0315121
a23	0.666207	0.255399	0.0421944	0.022568	0.0136313
a99	0.666063	0.246673	0.0418261	0.0246755	0.0207618
a9	0.577789	0.194593	0.0770593	0.0780938	0.0724642
a38	0.516018	0.222048	0.102684	0.0841603	0.0750887
a90	0.305625	0.248824	0.158061	0.153339	0.134151
a25	0.247357	0.391145	0.206065	0.0933343	0.0620979
a79	0.177094	0.349109	0.262098	0.12387	0.0878287
a37	0.123514	0.30725	0.232903	0.182216	0.154116
a12	0.125589	0.227743	0.192989	0.225116	0.228563
a88	0.135101	0.210119	0.18928	0.22943	0.23607
a61	0.0955965	0.112121	0.131892	0.270357	0.390034
a75	0.0595246	0.07212	0.134125	0.312014	0.422216
a85	0.0345671	0.0560778	0.147429	0.333081	0.428844
a37	0.0304839	0.0453976	0.128731	0.328795	0.466593
a62	0.0295547	0.0232285	0.0482284	0.224855	0.674134
a83	0.0159866	0.0126538	0.0424918	0.218559	0.710308
a54	0.00579441	0.00574262	0.0298117	0.189499	0.769153
a36	0.00289719	0.00287476	0.0170786	0.141187	0.835963
a26	0.00469526	0.00342856	0.0182646	0.128921	0.84469
a57	0.113296	0.061883	0.0998118	0.186813	0.538196
a87	0.464807	0.150961	0.0711458	0.102191	0.210895
a23	0.460799	0.182855	0.0829146	0.0995185	0.173913
a87	0.379161	0.19166	0.0965416	0.118071	0.214565
</S>	0.146911	0.0970901	0.0855511	0.162598	0.50785
