 	tsimba	vient	de	s'	initier	à	la	divina	tion	au	pays	ngaé	</S>
a87	0.174384	0.0993875	0.0796997	0.0674104	0.0831898	0.127461	0.110312	0.0869267	0.0554924	0.0426016	0.0312432	0.0230633	0.0188277
a10	0.200962	0.0599267	0.0336721	0.0344331	0.0517215	0.0809048	0.0856647	0.0835155	0.0933094	0.0735239	0.0758843	0.0669231	0.0595592
a24	0.185627	0.108834	0.0805655	0.0591463	0.0694074	0.0769958	0.069556	0.0581782	0.0645284	0.0372017	0.0474716	0.0730949	0.0693931
a70	0.166683	0.118798	0.0804197	0.0615609	0.0941595	0.10905	0.0668692	0.0403301	0.0268553	0.0216688	0.0423406	0.0759943	0.0952706
a98	0.316843	0.176991	0.114397	0.0682724	0.0772143	0.0529314	0.0356415	0.0290426	0.0228377	0.0143913	0.0145899	0.0325499	0.0442977
a73	0.381593	0.201024	0.14826	0.0647968	0.0497198	0.0322329	0.0221483	0.0169795	0.0123372	0.00740218	0.00715495	0.0210285	0.0353223
a69	0.272413	0.182483	0.163736	0.091819	0.0818356	0.0516322	0.034669	0.0233459	0.0179722	0.012316	0.0117879	0.0255912	0.0303994
a53	0.168247	0.152143	0.177082	0.153746	0.0977827	0.0544524	0.0377234	0.0280486	0.0207556	0.0146939	0.0156536	0.0321716	0.0475012
a44	0.155251	0.157476	0.173965	0.147946	0.112419	0.0629488	0.03759	0.0257388	0.0196151	0.0154732	0.0168068	0.0300765	0.0446934
a56	0.101947	0.116896	0.151528	0.138194	0.121745	0.0816498	0.0575887	0.0416619	0.0350569	0.0266771	0.0260966	0.0430742	0.0578861
a13	0.0649384	0.0810868	0.117429	0.130062	0.132199	0.106091	0.0838922	0.065531	0.052221	0.0392463	0.0296978	0.0419592	0.0556465
a9	0.032007	0.0512193	0.0640311	0.084656	0.118988	0.10836	0.106191	0.0930066	0.0807403	0.0529092	0.0473629	0.0759463	0.084583
a0	0.00993874	0.0189916	0.0223149	0.03512	0.083339	0.0979163	0.107135	0.114404	0.111772	0.083517	0.0834222	0.109148	0.122981
a21	0.0123592	0.0169388	0.0213986	0.030554	0.0586692	0.0813033	0.0994782	0.130184	0.137935	0.0863519	0.0680649	0.132189	0.124574
a47	0.0295304	0.0301695	0.0370853	0.0420894	0.0628339	0.087731	0.0870846	0.115482	0.13715	0.130472	0.0768068	0.0900814	0.0734841
a21	0.017933	0.0211383	0.0258536	0.0288316	0.0389016	0.0501709	0.0577513	0.0990965	0.132388	0.176899	0.110216	0.14154	0.0992805
a47	0.0315174	0.0312385	0.0372885	0.0405633	0.051881	0.0642599	0.0644268	0.0974317	0.118381	0.13902	0.107899	0.125192	0.090901
a61	0.0133951	0.016472	0.0216455	0.0248896	0.0284185	0.0309174	0.0343476	0.0669382	0.0925917	0.152191	0.133468	0.22536	0.159366
a62	0.00576742	0.00719917	0.0101154	0.0134704	0.0229149	0.0388225	0.0494088	0.0882579	0.125418	0.127849	0.106256	0.193277	0.211243
a75	0.00315072	0.00351444	0.00524677	0.00713688	0.0113565	0.017582	0.0250015	0.0551437	0.0859177	0.121783	0.118869	0.273214	0.272084
a25	0.00223222	0.00252348	0.00326972	0.00443893	0.0068472	0.00804284	0.00770269	0.0145671	0.0266322	0.0547284	0.113784	0.382468	0.372763
a56	0.00114672	0.00139921	0.00195659	0.00251656	0.00381616	0.00459619	0.00522273	0.00941244	0.019023	0.0502627	0.103093	0.356452	0.441103
a12	0.000286222	0.000277486	0.000436839	0.000928789	0.00255701	0.00459644	0.00860324	0.0216664	0.0412909	0.0641212	0.101318	0.295783	0.458135
a96	0.0013065	0.00110113	0.00149226	0.00218886	0.00386182	0.00654458	0.00875823	0.0173804	0.032335	0.0726032	0.130652	0.373503	0.348274
a75	0.000934369	0.00062455	0.000697974	0.00118105	0.00297863	0.00671229	0.0123763	0.0243835	0.0419093	0.0921515	0.113391	0.334071	0.368589
a5	0.000668361	0.000489864	0.000701332	0.00119231	0.00200711	0.00284893	0.00298792	0.0061023	0.0151553	0.0331227	0.0749028	0.37832	0.481501
a62	0.00102427	0.000603473	0.000617761	0.000906323	0.00178946	0.00346735	0.00437313	0.00861598	0.0212166	0.0521686	0.10095	0.379566	0.424701
a83	0.000958338	0.000588479	0.000609061	0.000973163	0.00222568	0.00531898	0.0105528	0.0219768	0.0462761	0.083038	0.12911	0.353168	0.345205
a9	0.000892662	0.000593744	0.000585286	0.000805111	0.00227555	0.00552934	0.0116128	0.0260223	0.0529951	0.100187	0.149208	0.315312	0.333981
a10	0.00205361	0.00118283	0.000898614	0.00110478	0.00308508	0.00714578	0.0126131	0.0293082	0.0789655	0.151912	0.188888	0.284171	0.238672
a9	0.00532912	0.00268545	0.00209911	0.00192678	0.00364346	0.00946204	0.0184965	0.0377032	0.0949387	0.180248	0.191142	0.264772	0.187554
a97	0.0236153	0.0118193	0.00770361	0.00584439	0.00978958	0.015726	0.0238531	0.0351523	0.0890389	0.135376	0.159616	0.288047	0.194419
</S>	0.0347655	0.0157992	0.00978255	0.00715344	0.0110371	0.015228	0.0217795	0.0309218	0.0780623	0.124262	0.155241	0.299845	0.196122
