 	sa	manière	de	vieillir	est	bonne	</S>
a87	0.26489	0.132903	0.134638	0.201726	0.14291	0.0865652	0.0363675
a23	0.16852	0.0908351	0.158837	0.300957	0.170787	0.0716597	0.0384043
a82	0.103584	0.0715138	0.115498	0.429523	0.169174	0.0619893	0.048718
a3	0.218269	0.135669	0.148966	0.308783	0.108436	0.0478199	0.0320569
a82	0.222585	0.136304	0.14837	0.308325	0.125814	0.0408561	0.0177461
a3	0.258216	0.155573	0.151965	0.265043	0.113921	0.0387192	0.0165621
a82	0.261998	0.153117	0.150744	0.277011	0.107698	0.0353665	0.0140652
a3	0.227063	0.160309	0.159248	0.253882	0.125681	0.0509067	0.0229116
a62	0.254924	0.179861	0.178332	0.213942	0.113281	0.041351	0.0183097
a47	0.154522	0.10828	0.106929	0.299437	0.184072	0.0870839	0.0596749
a83	0.198864	0.146324	0.106341	0.260659	0.139496	0.0924607	0.055855
a34	0.232614	0.188297	0.0938974	0.157942	0.10189	0.116561	0.108799
a75	0.296223	0.278726	0.106984	0.099159	0.0576359	0.083771	0.0775013
a85	0.246679	0.219588	0.114553	0.172506	0.0794776	0.0867288	0.0804686
a41	0.207185	0.172473	0.121059	0.141773	0.119897	0.131625	0.105989
a85	0.109658	0.0994234	0.118044	0.151522	0.149024	0.195702	0.176627
a61	0.0398231	0.0444074	0.0654591	0.11617	0.163522	0.26361	0.307009
a75	0.0487656	0.0496252	0.083501	0.123361	0.162078	0.250508	0.282161
a66	0.0274356	0.0255844	0.0374998	0.0886302	0.139061	0.28932	0.392469
a11	0.00686254	0.0058419	0.0123563	0.0547607	0.0892557	0.25264	0.578283
a21	0.00315535	0.00292299	0.00726795	0.0688391	0.0945723	0.222686	0.600556
a41	0.0175675	0.0150398	0.0239865	0.149869	0.156662	0.207467	0.429408
a25	0.00443856	0.00431735	0.00724056	0.0950702	0.114974	0.226833	0.547126
a87	0.00337698	0.0050489	0.0112739	0.151885	0.123426	0.160563	0.544425
a23	0.0283144	0.0279511	0.0597538	0.178363	0.196299	0.191132	0.318188
a99	0.00771642	0.00804605	0.0146969	0.0355077	0.107316	0.301578	0.525138
a87	0.00360594	0.00444373	0.0141023	0.0528863	0.134426	0.315273	0.475263
</S>	0.00207678	0.00339211	0.0144368	0.0928134	0.157314	0.305017	0.42495
