 	sa	manière	de	contrôler	là	laissera	passer	plusieurs	tricheurs	</S>
a66	0.144344	0.0907952	0.088187	0.160018	0.15319	0.220132	0.067846	0.0390668	0.0197629	0.0166575
a87	0.171663	0.0925973	0.112862	0.13438	0.123953	0.211328	0.0641118	0.0408892	0.0259689	0.0222469
a97	0.308956	0.172919	0.132767	0.103017	0.0526673	0.0920385	0.0548989	0.038663	0.021314	0.022759
a87	0.221313	0.171578	0.168236	0.181316	0.0889659	0.100323	0.0314186	0.0163242	0.0099818	0.0105436
a99	0.227203	0.183692	0.166144	0.177809	0.0861843	0.0982702	0.0307184	0.0151471	0.00771246	0.00711921
a87	0.310301	0.255339	0.188007	0.125964	0.0381879	0.0392121	0.0197479	0.0107668	0.0063017	0.00617173
a23	0.357909	0.256634	0.168612	0.105981	0.0362112	0.0341501	0.0177646	0.0106523	0.00645413	0.00563164
a18	0.480657	0.255068	0.116965	0.0515762	0.018523	0.018833	0.0193841	0.0157747	0.011975	0.0112448
a38	0.510882	0.230763	0.100386	0.0566615	0.0152878	0.0186507	0.0253351	0.019515	0.0115668	0.0109519
a21	0.473937	0.210885	0.0967914	0.0668368	0.0243301	0.0282289	0.034548	0.0306037	0.0185731	0.0152666
a12	0.234747	0.200935	0.153746	0.118592	0.0681234	0.0512554	0.0583293	0.0563518	0.0346555	0.0232639
a18	0.157423	0.173319	0.185449	0.15216	0.0978757	0.0650028	0.0521081	0.0528968	0.0375603	0.0262055
a31	0.10114	0.112802	0.140622	0.153426	0.119448	0.0954049	0.0717144	0.0759006	0.0705888	0.0589528
a0	0.080226	0.0978932	0.150489	0.182033	0.171685	0.104582	0.0640325	0.0598477	0.0490505	0.0401608
a24	0.0547857	0.0594213	0.10722	0.177192	0.163374	0.129691	0.0886807	0.0832968	0.0723628	0.0639755
a62	0.039968	0.0431297	0.0846385	0.168544	0.181403	0.144891	0.106964	0.0997831	0.0686825	0.0619972
a21	0.0392287	0.0355567	0.0729768	0.170313	0.18991	0.153009	0.113295	0.101191	0.0646072	0.0599129
a92	0.0220883	0.0217794	0.0461736	0.112082	0.228424	0.237867	0.113055	0.088056	0.0649356	0.0655387
a79	0.00904805	0.00978528	0.0260764	0.0859033	0.201048	0.217516	0.129389	0.112431	0.102184	0.106618
a92	0.00683879	0.00842241	0.023408	0.0775611	0.176013	0.206306	0.162871	0.133723	0.101214	0.103642
a12	0.00815263	0.0112746	0.0280747	0.0770437	0.155775	0.185855	0.155043	0.133885	0.113314	0.131582
a47	0.00623107	0.00741981	0.0175138	0.0737206	0.159746	0.221673	0.165664	0.141738	0.09903	0.107264
a88	0.0081611	0.00906243	0.0171856	0.081494	0.181093	0.226229	0.153566	0.130604	0.090772	0.101833
a71	0.00382468	0.00437323	0.00829008	0.0465031	0.148611	0.205832	0.15262	0.150216	0.126122	0.153607
a9	0.00550707	0.00546442	0.0105776	0.0412523	0.126637	0.219379	0.134256	0.127411	0.137594	0.191922
a99	0.0100516	0.0101381	0.0149295	0.0432627	0.114179	0.260815	0.150232	0.130647	0.122257	0.143488
