 	ce	solo	m'	a	parlé	au	coeur	</S>
a57	0.346587	0.193586	0.0768975	0.0551452	0.087591	0.105988	0.0840992	0.0501063
a10	0.390328	0.249157	0.150502	0.0807409	0.0485829	0.0358235	0.0277281	0.0171383
a87	0.315572	0.363581	0.171291	0.0667579	0.0290076	0.0190541	0.0173371	0.0173993
a23	0.280546	0.358815	0.177742	0.0720287	0.0350531	0.0270273	0.0256216	0.0231665
a50	0.23048	0.411065	0.218032	0.0925315	0.0230105	0.00986803	0.00788399	0.00712855
a62	0.343023	0.364257	0.187068	0.0678254	0.0203868	0.00851868	0.00462459	0.00429585
a43	0.248172	0.354156	0.241234	0.0992965	0.0330198	0.0130906	0.00622798	0.00480375
a0	0.149478	0.26392	0.25468	0.180221	0.084782	0.0361238	0.0172316	0.0135637
a62	0.0904915	0.16774	0.227967	0.228397	0.146313	0.0751067	0.0372689	0.0267162
a24	0.0873032	0.154007	0.256902	0.242141	0.129823	0.0633177	0.0383614	0.0281439
a21	0.066943	0.095462	0.181516	0.218177	0.156546	0.104789	0.0915149	0.0850532
a25	0.070549	0.0758566	0.140033	0.213539	0.206262	0.146296	0.0891878	0.0582759
a92	0.0395628	0.0371903	0.0723534	0.128465	0.183768	0.20565	0.178055	0.154955
a56	0.0140953	0.00695354	0.012639	0.0340321	0.113954	0.231219	0.298822	0.288285
a44	0.0136184	0.00724324	0.00983468	0.023324	0.0856581	0.18566	0.294733	0.379929
a21	0.0041995	0.00172692	0.00237092	0.00596979	0.0347229	0.121822	0.2907	0.538488
a61	0.000881077	0.000522018	0.000938179	0.00223132	0.0145106	0.0626269	0.231314	0.686975
a37	0.00033292	0.00016406	0.000355845	0.000911541	0.00652892	0.0393533	0.212994	0.73936
a26	0.000317642	9.83572e-05	0.000191346	0.000405403	0.00247317	0.023305	0.216863	0.756346
a82	0.0161885	0.0109274	0.00990129	0.0132389	0.0243039	0.0630251	0.212299	0.650115
a97	0.194646	0.119404	0.0573646	0.0463363	0.0551079	0.0924058	0.170018	0.264717
a3	0.235572	0.149023	0.0971709	0.075684	0.0679951	0.0908109	0.145482	0.138263
a99	0.162282	0.134224	0.0856777	0.0578335	0.0463561	0.0796481	0.188829	0.24515
a97	0.0595373	0.0458838	0.0380967	0.0419949	0.0661214	0.117303	0.247332	0.383731
a87	0.0469668	0.0400726	0.0395411	0.047321	0.0737532	0.111868	0.236321	0.404157
a23	0.043067	0.0410585	0.0428115	0.0525199	0.0836584	0.11887	0.22198	0.396035
a99	0.0409229	0.045098	0.0502177	0.0631971	0.0893368	0.129998	0.21219	0.36904
a97	0.0760532	0.0839628	0.0870675	0.0945012	0.0976209	0.119587	0.160334	0.280874
</S>	0.100673	0.103594	0.0873039	0.0807737	0.0756193	0.0936269	0.144971	0.313439
