 	il	est	allé	au-devant	des	étrangers	</S>
a23	0.379328	0.204443	0.129005	0.053457	0.0555502	0.0725601	0.105656
a53	0.269206	0.162789	0.11768	0.0791539	0.117081	0.126407	0.127683
a20	0.398761	0.205717	0.208788	0.0860115	0.0475584	0.0243092	0.0288542
a14	0.484168	0.242052	0.18955	0.0515011	0.0183685	0.00815706	0.0062031
a35	0.410222	0.265917	0.212364	0.0721202	0.0237699	0.00959104	0.00601544
a26	0.369965	0.26855	0.219952	0.0886897	0.0304269	0.0136705	0.00874707
a11	0.314114	0.290194	0.241945	0.0913436	0.0321145	0.0167697	0.0135197
a75	0.255545	0.269447	0.23987	0.138316	0.0476618	0.0251252	0.0240348
a12	0.188633	0.237234	0.25701	0.19296	0.0695341	0.0323084	0.0223211
a98	0.150517	0.182252	0.199466	0.192433	0.123935	0.0825955	0.0688018
a71	0.144801	0.161673	0.175706	0.178215	0.133924	0.106724	0.0989568
a9	0.086118	0.0833432	0.0925066	0.13952	0.223916	0.195742	0.178854
a87	0.0361439	0.0382613	0.0548241	0.110131	0.241205	0.280797	0.238639
a23	0.104607	0.131831	0.176198	0.156091	0.195217	0.131248	0.104807
a53	0.0342779	0.0503393	0.0785018	0.121237	0.26061	0.218516	0.236518
a4	0.0843197	0.0860408	0.136039	0.147672	0.192636	0.15369	0.199603
a13	0.0806558	0.079049	0.0929503	0.108318	0.183071	0.195975	0.259981
a93	0.0527216	0.043668	0.0516155	0.0778608	0.188721	0.243007	0.342405
a0	0.0588152	0.0427779	0.0494979	0.07398	0.196975	0.258621	0.319333
a75	0.0231145	0.0187911	0.0225913	0.0454218	0.1479	0.289265	0.452916
a56	0.0227976	0.0184075	0.0254123	0.0428097	0.11593	0.290518	0.484124
a70	0.0305024	0.0260653	0.0334891	0.0485386	0.115105	0.27121	0.475089
a98	0.015124	0.0143286	0.0158889	0.0296898	0.0911781	0.250219	0.583572
a73	0.0154945	0.014028	0.0171118	0.0315142	0.0869092	0.24906	0.585882
a44	0.0137671	0.0131323	0.0175053	0.0384597	0.107586	0.249423	0.560126
a38	0.015116	0.0128183	0.0157165	0.0336172	0.113892	0.259709	0.549131
a93	0.0224343	0.017159	0.0189011	0.0314878	0.101744	0.231696	0.576578
a70	0.0238155	0.0170849	0.0179834	0.0201755	0.0827768	0.224523	0.613641
a4	0.0175711	0.0139359	0.017266	0.0200246	0.0803302	0.209682	0.64119
a13	0.0209319	0.0181288	0.017507	0.0235523	0.0799418	0.197448	0.64249
a9	0.022145	0.0182779	0.0207694	0.0252248	0.0808513	0.211367	0.621365
a87	0.010505	0.00920042	0.0143623	0.0160627	0.0680261	0.227635	0.654209
</S>	0.0129164	0.0103049	0.0171571	0.0156061	0.0635749	0.201728	0.678712
