 	le	miroir	brille	</S>
a10	0.343961	0.1996	0.221269	0.235169
a75	0.442998	0.257131	0.161723	0.138147
a5	0.359024	0.208634	0.209027	0.223315
a18	0.575844	0.28897	0.0866902	0.0484958
a27	0.675255	0.271744	0.0362932	0.0167075
a75	0.421095	0.335356	0.129967	0.113581
a85	0.52971	0.338278	0.0842921	0.0477203
a21	0.295427	0.405126	0.182398	0.11705
a85	0.280501	0.414537	0.200466	0.104496
a36	0.143924	0.289278	0.330238	0.23656
a27	0.139109	0.245937	0.345941	0.269013
a98	0.0676224	0.115038	0.254047	0.563292
a85	0.0640469	0.153658	0.334229	0.448065
a36	0.0307656	0.0918246	0.403711	0.473698
a2	0.0452612	0.119333	0.314493	0.520913
a57	0.0343424	0.0744727	0.216483	0.674702
a10	0.259303	0.169364	0.213912	0.357421
a87	0.11625	0.176383	0.327516	0.379851
a10	0.21208	0.263025	0.281033	0.243861
a30	0.136887	0.251848	0.307053	0.304212
a10	0.181496	0.287994	0.259569	0.27094
a27	0.254639	0.278696	0.207764	0.258901
</S>	0.36447	0.274383	0.167912	0.193234
