 	j'	envisage	d'	aller	à	brazaville	la	semaine	prochaine	</S>
a23	0.146071	0.135702	0.178568	0.153451	0.15311	0.0998916	0.0565998	0.0385609	0.0223921	0.0156526
a87	0.296691	0.0674302	0.062252	0.0552655	0.0921399	0.0817465	0.0816577	0.113584	0.0733425	0.07589
a23	0.253233	0.130036	0.0799355	0.0623367	0.0621269	0.0580796	0.0596195	0.0817509	0.0968338	0.116048
a83	0.345641	0.120987	0.0678136	0.0607254	0.0755076	0.0584694	0.0472152	0.0704947	0.0649218	0.0882248
a75	0.469942	0.154369	0.096339	0.0545897	0.0540172	0.0417552	0.0264361	0.031578	0.0346634	0.03631
a41	0.519792	0.145382	0.0768384	0.0575473	0.0642552	0.0471029	0.0246946	0.0207314	0.0169954	0.0266612
a61	0.337823	0.125851	0.0778632	0.0686846	0.0918714	0.0899574	0.0618826	0.056366	0.0373044	0.0523964
a31	0.369716	0.161346	0.0972238	0.0828964	0.0910701	0.0799941	0.0450742	0.0266119	0.0172381	0.02883
a66	0.266592	0.209635	0.135801	0.107153	0.0884806	0.0732415	0.04912	0.0234968	0.0184032	0.0280773
a90	0.142564	0.210445	0.159323	0.137356	0.100832	0.0772411	0.0549965	0.0286248	0.0340613	0.0545561
a4	0.119834	0.206841	0.18422	0.163083	0.115632	0.0764447	0.0393631	0.0192813	0.0314549	0.0438469
a75	0.124026	0.223757	0.1739	0.144403	0.0984648	0.0735485	0.0464367	0.0241205	0.0384686	0.0528749
a25	0.0947877	0.205168	0.152918	0.128328	0.0884138	0.078164	0.0646828	0.0365078	0.0699034	0.0811271
a44	0.0670044	0.168381	0.130092	0.114015	0.0757573	0.0700697	0.0762879	0.0563572	0.121266	0.120769
a11	0.0575457	0.16854	0.17804	0.189554	0.11068	0.0751838	0.0483413	0.0301259	0.0612554	0.0807342
a98	0.0354064	0.110493	0.155057	0.211533	0.12577	0.083987	0.0546614	0.0367379	0.0700103	0.116344
a41	0.0375634	0.0963366	0.102383	0.151753	0.0829243	0.0620484	0.0609404	0.0495812	0.164188	0.192281
a37	0.035088	0.0853668	0.10182	0.175508	0.102587	0.0697318	0.0546064	0.0381972	0.131888	0.205206
a18	0.0424557	0.0824016	0.0949181	0.174929	0.110682	0.072291	0.0521723	0.0346612	0.115396	0.220093
a75	0.0257315	0.0610212	0.0822585	0.156406	0.1103	0.0876183	0.0813192	0.0500248	0.131335	0.213986
a61	0.0337428	0.0726876	0.0670704	0.103685	0.0638354	0.0476125	0.0525202	0.0500889	0.230637	0.27812
a21	0.0236044	0.0681174	0.0692746	0.102732	0.0740686	0.0788778	0.114793	0.0785874	0.183316	0.206629
a31	0.0449623	0.0902326	0.076889	0.102664	0.0710979	0.0566875	0.0626649	0.05861	0.185847	0.250345
a75	0.0267587	0.0653893	0.0577469	0.0744889	0.056439	0.0615114	0.0886963	0.0820649	0.231484	0.25542
a66	0.0209221	0.0368569	0.0329024	0.0414839	0.0357869	0.0381136	0.0466258	0.0580937	0.287516	0.401699
a21	0.00507128	0.0104509	0.0105755	0.0150584	0.0125761	0.0147126	0.0242212	0.0381849	0.294692	0.574457
a85	0.023384	0.0359292	0.0329725	0.0428692	0.0366541	0.0341287	0.0434867	0.0549406	0.28783	0.407805
a5	0.0257269	0.0407942	0.0298776	0.0311021	0.0324425	0.0342611	0.0412086	0.0547238	0.332647	0.377216
a12	0.0191541	0.029689	0.0242387	0.0288232	0.0247442	0.0227938	0.0289662	0.0436172	0.344387	0.433587
a21	0.00484796	0.0090087	0.00824876	0.0102708	0.0092036	0.0107537	0.0193676	0.0344177	0.385361	0.50852
a75	0.0090174	0.0144786	0.0153833	0.0225142	0.0228716	0.0245551	0.0363076	0.0514245	0.3491	0.454348
a30	0.00977011	0.0186165	0.0183276	0.0222385	0.0203578	0.02257	0.0372592	0.061548	0.39618	0.393132
a2	0.00193104	0.00323235	0.00451343	0.00703902	0.00764816	0.0136857	0.0350383	0.0648516	0.363465	0.498595
a57	0.0304461	0.0213158	0.024632	0.0250922	0.0239027	0.0305616	0.0516659	0.0798093	0.249729	0.462846
a87	0.0236054	0.0133814	0.0125443	0.00946312	0.0128454	0.0264692	0.0912096	0.196833	0.281208	0.332441
a23	0.0418684	0.0219613	0.0241526	0.0209178	0.0328287	0.061519	0.130799	0.234809	0.218108	0.213036
a87	0.024646	0.0151161	0.0151568	0.0125086	0.0169956	0.0337284	0.0812459	0.176416	0.303033	0.321154
</S>	0.00667367	0.00695331	0.0060313	0.00389981	0.00552808	0.0132274	0.0425874	0.110906	0.376468	0.427725
