 	j'	ai	besoin	d'	un	masseur	</S>
a66	0.348252	0.240832	0.144032	0.110603	0.0744374	0.0662685	0.0155743
a87	0.538401	0.189445	0.0797917	0.0583035	0.0613818	0.051828	0.0208488
a23	0.517447	0.194523	0.0740564	0.0450002	0.0448787	0.0703483	0.0537466
a18	0.515317	0.213251	0.100216	0.0659924	0.0387589	0.0335484	0.0329158
a50	0.426326	0.24238	0.131425	0.0688777	0.038178	0.0518679	0.040946
a83	0.287186	0.230388	0.220188	0.140139	0.0568062	0.0449698	0.0203223
a62	0.296189	0.281798	0.244635	0.106929	0.0360533	0.022359	0.0120361
a31	0.195899	0.259412	0.296514	0.147825	0.0542541	0.0284592	0.0176369
a62	0.136039	0.206822	0.30976	0.215741	0.0849447	0.0315713	0.0151221
a88	0.137087	0.204969	0.287732	0.218046	0.102601	0.0351942	0.014371
a71	0.105744	0.151333	0.252544	0.24888	0.154221	0.0601698	0.0271074
a75	0.0899018	0.114225	0.182192	0.203241	0.171881	0.140481	0.0980778
a92	0.0499996	0.0676762	0.225007	0.317771	0.214725	0.0807688	0.0440533
a6	0.0833081	0.107966	0.251806	0.272661	0.187251	0.0696155	0.0273934
a36	0.0334728	0.042133	0.135829	0.253749	0.296565	0.152453	0.0857992
a37	0.0347307	0.0353662	0.0846213	0.192566	0.271734	0.215222	0.16576
a75	0.0339096	0.0319799	0.0583899	0.123639	0.20012	0.298184	0.253779
a25	0.0178418	0.0195773	0.0421072	0.106923	0.227513	0.270677	0.315361
a69	0.0045587	0.00566616	0.0204245	0.0774422	0.205923	0.334773	0.351213
a90	0.00755805	0.00746871	0.0150731	0.0492	0.14327	0.281758	0.495672
a25	0.00979606	0.0102692	0.0187171	0.0460495	0.120819	0.261782	0.532568
a21	0.00283297	0.00303057	0.007193	0.0221404	0.0761812	0.200889	0.687733
a56	0.00160975	0.00134746	0.00282273	0.00988394	0.041653	0.163942	0.778741
a96	0.000833373	0.000722028	0.00145194	0.00481853	0.0231928	0.127735	0.841246
a75	0.000555101	0.000402695	0.000812112	0.00256656	0.0149304	0.138605	0.842128
a79	0.000202192	0.000171005	0.000416196	0.00158723	0.0086033	0.0736651	0.915355
a44	0.000126486	0.000103957	0.000293495	0.00130265	0.00782988	0.0631741	0.927169
a66	0.000344312	0.000257894	0.000552448	0.00166447	0.00939357	0.092971	0.894816
a3	0.005649	0.0035879	0.00581526	0.0112325	0.0332898	0.158847	0.781578
a99	0.0310331	0.0177449	0.0258261	0.0363545	0.0691189	0.226088	0.593834
a87	0.173992	0.0842551	0.0661733	0.0591894	0.0713305	0.174364	0.370696
a23	0.253997	0.132222	0.0718093	0.0560408	0.0678921	0.16032	0.257719
a87	0.100415	0.0426071	0.0240605	0.021204	0.0471641	0.139238	0.625311
</S>	0.0265491	0.0107691	0.00970148	0.0131823	0.0332075	0.0866647	0.819926
