 	il	a	abandonné	le	poisson	salé	là	où	il	vend	</S>
a66	0.153844	0.125199	0.122011	0.206392	0.141314	0.105725	0.0705702	0.0314197	0.0199069	0.0145137	0.00910539
a87	0.298504	0.192461	0.111244	0.0712619	0.0522284	0.0320053	0.0286254	0.040349	0.05256	0.060164	0.0605968
a23	0.398609	0.215163	0.129898	0.0757327	0.0423733	0.0199179	0.0209284	0.0176944	0.0201427	0.0220187	0.0375221
a13	0.296003	0.230716	0.155134	0.0818927	0.0378865	0.0261192	0.0323975	0.0284254	0.0350003	0.0313672	0.0450571
a53	0.226311	0.200541	0.160028	0.0967078	0.0550785	0.0423096	0.0375185	0.0331492	0.042768	0.042423	0.0631649
a69	0.26829	0.272846	0.232097	0.107021	0.0495746	0.0237021	0.0156687	0.00833019	0.00809567	0.00540794	0.00896695
a58	0.230194	0.265999	0.249904	0.118109	0.0582671	0.0238491	0.0186446	0.0105212	0.00913323	0.00615734	0.00922146
a13	0.140852	0.201393	0.243619	0.134335	0.0684883	0.0384695	0.0400112	0.033283	0.0355239	0.0279419	0.0360825
a44	0.119891	0.146547	0.185924	0.127962	0.0742978	0.049497	0.0530804	0.0503049	0.0553808	0.0542967	0.0828185
a98	0.131335	0.161329	0.196343	0.137429	0.0804922	0.0583362	0.0669502	0.0491034	0.0417373	0.0337959	0.0431496
a47	0.0697852	0.106812	0.144353	0.154453	0.129873	0.102109	0.110379	0.0638143	0.0437034	0.0336689	0.0410488
a36	0.0767442	0.0961707	0.1266	0.147417	0.116629	0.103703	0.119758	0.0662059	0.0513469	0.0414788	0.0539465
a7	0.075719	0.0855905	0.107329	0.14346	0.130037	0.114138	0.133199	0.0711439	0.0505108	0.0387756	0.0500973
a40	0.0758135	0.0774172	0.0937244	0.138066	0.129288	0.110492	0.122492	0.0682922	0.0553781	0.0510089	0.0780286
a47	0.0465364	0.0498437	0.0580516	0.125297	0.130455	0.144428	0.156668	0.0959668	0.0741842	0.0536764	0.0648926
a7	0.0162322	0.0195187	0.0272825	0.079385	0.106772	0.152659	0.162442	0.120174	0.110397	0.0944508	0.110687
a44	0.0250403	0.0250234	0.0291284	0.0721087	0.10283	0.149492	0.164136	0.116942	0.106087	0.0885786	0.120634
a37	0.0292914	0.0284769	0.026927	0.0607551	0.0977493	0.147135	0.163064	0.123654	0.11391	0.0881465	0.120891
a47	0.0229738	0.0233791	0.0208291	0.0485026	0.0921246	0.152609	0.169416	0.131372	0.122074	0.0935122	0.123207
a37	0.0143492	0.0158582	0.0141246	0.0318913	0.0704805	0.156351	0.178148	0.145253	0.140506	0.105226	0.127813
a5	0.0136255	0.0144272	0.0127124	0.0262617	0.0570787	0.148105	0.16711	0.153895	0.151742	0.116532	0.138511
a61	0.0109227	0.0107355	0.00986464	0.0224058	0.0482868	0.133837	0.136616	0.152129	0.160798	0.146828	0.167576
a21	0.00860918	0.00911484	0.00836472	0.0166704	0.0345438	0.109327	0.122963	0.157499	0.180347	0.171336	0.181225
a12	0.00399867	0.00398972	0.00380215	0.00848039	0.0189736	0.0739184	0.078972	0.128349	0.174273	0.226871	0.278373
a18	0.00282194	0.00288583	0.00273425	0.00535126	0.011396	0.0446981	0.0561605	0.103349	0.162842	0.253356	0.354405
a9	0.00158003	0.00157715	0.00118883	0.00136464	0.00259683	0.00899991	0.0142817	0.0403327	0.108864	0.300456	0.518758
a3	0.00695451	0.00629193	0.00416694	0.00421212	0.00744223	0.0255617	0.0263664	0.0701277	0.171548	0.32689	0.350439
a87	0.0391462	0.0249169	0.0162706	0.0185721	0.0328959	0.0906016	0.0566456	0.098874	0.158777	0.239227	0.224073
a23	0.0630178	0.0296628	0.0158464	0.0210958	0.0468538	0.110465	0.0786986	0.128285	0.174666	0.175934	0.155475
a50	0.0199693	0.0120161	0.00668964	0.0109872	0.0252236	0.0583265	0.0580404	0.123401	0.177167	0.223823	0.284357
a88	0.00351132	0.00258869	0.00213552	0.00776899	0.0279464	0.0764535	0.059514	0.116458	0.151498	0.188324	0.363802
a62	0.00556451	0.00393271	0.00358309	0.0122164	0.0321193	0.0781923	0.0652485	0.109208	0.138913	0.214856	0.336166
a88	0.00673042	0.00478174	0.00404214	0.0121733	0.0299959	0.0847838	0.0664115	0.121629	0.162393	0.248364	0.258694
a50	0.00213349	0.00163571	0.00146097	0.00461817	0.0126461	0.0450599	0.0403452	0.0905038	0.144176	0.280084	0.377337
a61	0.00576042	0.00508509	0.00426774	0.00899601	0.0191764	0.0500287	0.0499866	0.107796	0.16664	0.286314	0.295948
a54	0.00255919	0.00208301	0.00181874	0.00521818	0.0139921	0.0417238	0.0390865	0.103924	0.16712	0.310974	0.311501
a79	0.000168773	0.000153595	0.000147842	0.000446835	0.00157529	0.0104624	0.0117474	0.0466747	0.107908	0.317353	0.503363
a7	0.000168008	0.00015866	0.000155615	0.000419328	0.00143749	0.0117409	0.0133549	0.0474671	0.105669	0.287916	0.531513
a82	0.000522545	0.000407251	0.000295631	0.000512462	0.00144653	0.00785521	0.00875706	0.0413847	0.112487	0.294825	0.531506
a87	0.0142613	0.00930656	0.00569654	0.00629653	0.0117756	0.0309259	0.0265007	0.0613507	0.122905	0.262158	0.448823
a23	0.0794803	0.0421598	0.0237477	0.0238787	0.035261	0.0742743	0.0622946	0.0794936	0.124896	0.180631	0.273883
a87	0.117648	0.0468029	0.0177438	0.0129448	0.0213814	0.029086	0.0268212	0.0542785	0.102099	0.151612	0.419582
</S>	0.0243068	0.0110955	0.00538954	0.00462586	0.00892018	0.0164352	0.0203224	0.0395982	0.0826347	0.156479	0.630193
