 	je	demande	pardon	à	dieu	pour	toutes	mes	transgressions	</S>
a66	0.0524866	0.0924372	0.0662545	0.159795	0.184271	0.212353	0.176855	0.0404278	0.0120255	0.00309425
a87	0.336058	0.184767	0.119896	0.119916	0.0854536	0.0567925	0.0638465	0.0229203	0.00654089	0.00380925
a23	0.318162	0.150084	0.139104	0.145643	0.0768542	0.0509243	0.067054	0.0329926	0.0115839	0.00759889
a99	0.221813	0.124922	0.199237	0.19706	0.0836427	0.04875	0.0522545	0.0343294	0.0202179	0.0177735
a54	0.18207	0.12002	0.209231	0.198744	0.0974412	0.0554265	0.0622248	0.0408931	0.0193416	0.0146082
a5	0.152122	0.112441	0.153352	0.106637	0.0956432	0.0714791	0.0966272	0.0989781	0.0700093	0.0427107
a12	0.137806	0.124205	0.18367	0.140303	0.128643	0.0969458	0.0973901	0.0596595	0.0255427	0.00583359
a75	0.164945	0.100662	0.188985	0.135726	0.116897	0.0800538	0.0923839	0.0640077	0.047633	0.00870743
a5	0.12624	0.0778202	0.168266	0.13681	0.11975	0.0894899	0.11358	0.0828571	0.0690673	0.0161203
a12	0.135828	0.0963193	0.159084	0.148279	0.141821	0.105663	0.0869216	0.0541286	0.0523548	0.019601
a18	0.0913155	0.0848361	0.128142	0.153347	0.160496	0.130142	0.103267	0.0619868	0.0583197	0.0281494
a96	0.059302	0.0783019	0.110633	0.148634	0.160722	0.140039	0.104722	0.068484	0.0726401	0.0565224
a75	0.0538366	0.086223	0.0899471	0.148615	0.174512	0.161208	0.110131	0.0571994	0.0586292	0.0596985
a92	0.0284796	0.0607105	0.0598635	0.134623	0.155984	0.122343	0.0930305	0.0761936	0.133722	0.13505
a6	0.0217936	0.0502649	0.0485719	0.119399	0.148594	0.118887	0.0950548	0.0922934	0.17174	0.133402
a37	0.0253842	0.059551	0.0408395	0.119196	0.167418	0.160314	0.122352	0.0692772	0.102915	0.132753
a21	0.0267938	0.0527216	0.0357325	0.102715	0.161122	0.158136	0.115401	0.0716352	0.107819	0.167925
a85	0.0146886	0.0261431	0.0222468	0.0653315	0.131648	0.152579	0.109935	0.088315	0.140904	0.24821
a92	0.0114236	0.0195173	0.0147119	0.0390732	0.0801403	0.0940603	0.0763946	0.0856864	0.199581	0.379411
a37	0.00740999	0.0131558	0.00818021	0.0260185	0.0581062	0.0837532	0.0765881	0.10744	0.215872	0.403476
a21	0.00867018	0.0148778	0.0105798	0.0271279	0.0558571	0.0831924	0.0826688	0.114375	0.236203	0.366447
a5	0.00407969	0.00607855	0.00475466	0.010906	0.0235891	0.0355159	0.0306542	0.0665236	0.196583	0.621315
a37	0.00279283	0.00414518	0.00370544	0.00752129	0.0133502	0.0218533	0.022881	0.0716438	0.284403	0.567704
a90	0.00136594	0.00187705	0.00144119	0.00263997	0.00345289	0.00573687	0.00837123	0.0350928	0.236703	0.703319
a92	0.000944614	0.00136298	0.000891056	0.0022783	0.00385857	0.00753806	0.00950442	0.0411401	0.211216	0.721266
a36	0.000297025	0.000374155	0.00022493	0.00048122	0.000866397	0.00172527	0.00282024	0.0213199	0.173744	0.798147
a12	0.000709958	0.000827232	0.00039675	0.000719551	0.00104695	0.00190815	0.00293063	0.0164444	0.169662	0.805355
a96	0.000499395	0.000626778	0.000409313	0.000805577	0.00127154	0.00238853	0.004021	0.0246397	0.192153	0.773185
a21	0.0011116	0.00132595	0.00100934	0.00154603	0.00211267	0.00316702	0.00548501	0.0320807	0.176001	0.776161
a5	0.000515364	0.000598714	0.000455687	0.000712831	0.0010062	0.00173834	0.002393	0.0146632	0.1102	0.867717
a6	0.000470888	0.000496732	0.000338534	0.000484024	0.000689431	0.00126496	0.00212564	0.0129633	0.0952167	0.88595
a36	0.00034228	0.000423464	0.000302109	0.000508506	0.000858386	0.00152345	0.00257025	0.0184404	0.124512	0.850519
a37	0.00668987	0.00614276	0.00343034	0.00432016	0.00624585	0.0101382	0.0209712	0.0574849	0.174164	0.710413
a36	0.00216085	0.00244481	0.00179933	0.00217139	0.00275299	0.00417937	0.0085867	0.0389387	0.128645	0.808321
a27	0.027958	0.019581	0.0104694	0.0128349	0.0148842	0.0212817	0.0443039	0.0711845	0.140899	0.636603
a57	0.075307	0.0467895	0.0226337	0.02391	0.0276653	0.0357782	0.0728077	0.0879299	0.163498	0.443681
a87	0.18961	0.128178	0.0806021	0.0954447	0.0818832	0.0697069	0.0885279	0.0798494	0.0801912	0.106007
a23	0.143345	0.111639	0.0735721	0.100032	0.0967056	0.0978331	0.115659	0.111051	0.0652219	0.0849407
a99	0.100482	0.0373363	0.0109352	0.0117385	0.010057	0.00954897	0.0113196	0.0235354	0.0437689	0.741278
a87	0.0480505	0.02037	0.00818292	0.0159552	0.0153255	0.0137456	0.0173826	0.0305954	0.0687834	0.761609
a97	0.0154683	0.00803102	0.0037595	0.0060172	0.0059986	0.00544358	0.00831009	0.0214997	0.0407078	0.884764
</S>	0.0297718	0.0237469	0.0130836	0.0267121	0.023444	0.020578	0.0282928	0.0382687	0.0409868	0.755115
