 	arrête	d'	effrayer	ton	petit	frère	</S>
a66	0.310363	0.185454	0.117196	0.111599	0.0959699	0.0908751	0.0885428
a87	0.345563	0.273027	0.085991	0.0569714	0.0607528	0.0725892	0.105106
a23	0.64402	0.266901	0.0343911	0.014636	0.0111744	0.0118526	0.0170244
a13	0.598587	0.26418	0.0392747	0.021585	0.0206724	0.0221877	0.0335126
a53	0.469831	0.185231	0.0701887	0.0672681	0.0508793	0.0647877	0.0918139
a7	0.456308	0.269228	0.118996	0.0616529	0.0272033	0.0279169	0.0386958
a53	0.228222	0.29276	0.227057	0.100981	0.0475228	0.0452465	0.0582104
a69	0.168724	0.279945	0.265463	0.0976809	0.0547145	0.0582571	0.075216
a58	0.158624	0.241613	0.2386	0.109903	0.0702917	0.0820682	0.0989013
a15	0.0954029	0.145925	0.211684	0.122823	0.0948917	0.135308	0.193965
a44	0.107134	0.135926	0.177636	0.124449	0.0956424	0.149263	0.209949
a88	0.0669084	0.0778353	0.143078	0.140817	0.121962	0.191378	0.258021
a0	0.0562473	0.0564007	0.102189	0.139161	0.140759	0.218338	0.286905
a90	0.0264951	0.023449	0.0383988	0.0728247	0.123166	0.267298	0.448369
a44	0.0307973	0.0261047	0.0600177	0.117247	0.167376	0.273599	0.324859
a70	0.0110295	0.00868376	0.0247526	0.0685959	0.14025	0.309032	0.437656
a13	0.00656852	0.00512851	0.0120253	0.0385088	0.102936	0.301474	0.533359
a24	0.00379534	0.00280294	0.00757341	0.029456	0.0901793	0.300516	0.565677
a13	0.00152339	0.00100374	0.0029309	0.0176322	0.0712083	0.29	0.615701
a83	0.00429607	0.00273043	0.00655068	0.0270184	0.0872287	0.264022	0.608154
a9	0.00439406	0.00268255	0.00754992	0.0294378	0.0903529	0.256238	0.609345
a87	0.103275	0.0537206	0.0449674	0.066986	0.109728	0.208586	0.412738
a23	0.390274	0.16033	0.056872	0.0501322	0.0698295	0.11407	0.158492
a87	0.41384	0.146458	0.0556897	0.0555148	0.0681603	0.114612	0.145726
</S>	0.107702	0.0540734	0.0392578	0.0605406	0.116047	0.233124	0.389254
