 	je	l'	ai	vu	l'	année	dernièré	</S>
a87	0.280375	0.175213	0.129551	0.14111	0.102633	0.0684275	0.0575222	0.045168
a23	0.251086	0.183343	0.12139	0.106563	0.104162	0.0832156	0.0882621	0.0619782
a38	0.152665	0.186519	0.179658	0.160977	0.124657	0.0751966	0.0618098	0.0585171
a94	0.364042	0.244448	0.122448	0.0946503	0.0742319	0.0470214	0.027578	0.0255803
a75	0.422389	0.318681	0.138512	0.0663982	0.0322564	0.0111081	0.00527256	0.00538254
a30	0.32117	0.288628	0.176205	0.104607	0.0638995	0.0253789	0.0111319	0.0089802
a35	0.202026	0.218879	0.201293	0.178064	0.111716	0.0549509	0.018656	0.0144158
a14	0.191105	0.203464	0.20175	0.19107	0.122003	0.0602313	0.0171599	0.0132162
a57	0.168885	0.163585	0.176155	0.204779	0.146095	0.0962458	0.0262682	0.0179871
a38	0.0742901	0.0923162	0.128544	0.194739	0.219269	0.166283	0.0676888	0.05687
a30	0.0807292	0.0941734	0.113999	0.171081	0.217759	0.201753	0.0714196	0.0490849
a76	0.124701	0.140517	0.157185	0.183481	0.166286	0.14523	0.0522501	0.0303495
a73	0.117757	0.125083	0.150765	0.18421	0.16734	0.147496	0.066178	0.0411707
a57	0.054184	0.0636621	0.0859317	0.151768	0.200907	0.201498	0.131753	0.110296
a87	0.0247159	0.0324774	0.0397798	0.0777251	0.174584	0.250974	0.251318	0.148425
a23	0.0200449	0.0230945	0.0293414	0.0553962	0.117338	0.253486	0.30389	0.197409
a87	0.0262438	0.0268272	0.029469	0.0566845	0.135703	0.255202	0.26553	0.204341
a23	0.0316373	0.0309241	0.0443479	0.0829278	0.160573	0.225661	0.204174	0.219756
a62	0.0439231	0.0371039	0.0468689	0.0880641	0.169687	0.229204	0.211631	0.173518
a75	0.0165394	0.016236	0.0212389	0.0406329	0.0978307	0.116544	0.225885	0.465093
a44	0.0315484	0.0276752	0.0304385	0.0580218	0.105875	0.119248	0.235791	0.391402
a54	0.023668	0.0239383	0.0309633	0.0609683	0.102026	0.107149	0.216968	0.43432
a14	0.02757	0.022613	0.026418	0.0549292	0.105531	0.129486	0.242954	0.390498
a35	0.0150558	0.0130782	0.0135083	0.0283411	0.0719886	0.111614	0.301639	0.444775
a14	0.00907999	0.00872967	0.00823157	0.0134976	0.0374603	0.0733316	0.313071	0.536598
a41	0.0089223	0.00894975	0.0096679	0.0176346	0.0446304	0.085415	0.300662	0.524118
a24	0.00508693	0.00494823	0.00501252	0.0079343	0.0226905	0.0449736	0.26187	0.647483
a41	0.00460617	0.00492718	0.00583913	0.00882767	0.0231026	0.0372722	0.223774	0.691652
a35	0.00268669	0.00271474	0.00291175	0.00497405	0.0173427	0.0305829	0.215304	0.723483
a26	0.0023934	0.00239749	0.00264492	0.00485683	0.0198713	0.0368237	0.238126	0.692887
a47	0.00722664	0.00690678	0.0065526	0.0105979	0.03441	0.0700896	0.272685	0.591531
a24	0.00497438	0.00445605	0.00381157	0.00594431	0.0216403	0.0485591	0.25124	0.659374
a9	0.00310905	0.00311753	0.00323892	0.00666325	0.026556	0.0587267	0.259621	0.638967
a87	0.0176271	0.0149167	0.0121609	0.0174714	0.045583	0.0908471	0.270681	0.530712
a23	0.0195842	0.0140929	0.0107516	0.015308	0.040909	0.107651	0.29068	0.501024
a87	0.0859285	0.0588156	0.0433683	0.0510359	0.0842223	0.130918	0.222679	0.323032
</S>	0.0641862	0.0603186	0.0475225	0.057263	0.106644	0.145258	0.21222	0.306587
