 	il	a	des	cheveux	tout	blancs	</S>
a23	0.386329	0.319956	0.135519	0.0602234	0.0394668	0.0252796	0.0332252
a85	0.357333	0.250167	0.142296	0.0791034	0.053094	0.0474258	0.0705809
a87	0.327829	0.201067	0.113149	0.0770471	0.073807	0.0775554	0.129546
a23	0.282781	0.162374	0.111199	0.0914226	0.0945369	0.10242	0.155266
a79	0.162758	0.105048	0.0779986	0.0809197	0.139609	0.159884	0.273782
a20	0.332112	0.243576	0.113609	0.0849249	0.0841716	0.0663984	0.0752081
a73	0.322482	0.289251	0.183897	0.106012	0.0435832	0.0296227	0.0251525
a26	0.261776	0.246463	0.236285	0.134865	0.0531941	0.0350481	0.0323685
a11	0.208784	0.177521	0.208745	0.168718	0.0976029	0.0694549	0.0691737
a62	0.198309	0.154852	0.173737	0.15185	0.115239	0.102869	0.103145
a24	0.165366	0.13726	0.150431	0.136785	0.120951	0.134988	0.154219
a35	0.100265	0.0804903	0.108299	0.120482	0.13801	0.194624	0.25783
a73	0.0985721	0.0738587	0.106201	0.129213	0.145025	0.199108	0.248023
a94	0.0585585	0.0431446	0.0771965	0.109586	0.140322	0.208766	0.362426
a38	0.0257522	0.0168467	0.0270037	0.0486005	0.11647	0.234388	0.530939
a24	0.0110231	0.00704698	0.012827	0.0318029	0.102449	0.252615	0.582236
a9	0.00609723	0.00420377	0.00801364	0.0221559	0.0927365	0.25353	0.613263
a87	0.00902382	0.00619652	0.0089561	0.0162105	0.0644352	0.207162	0.688015
</S>	0.00822614	0.00914373	0.0221445	0.0467149	0.111973	0.237351	0.564446
