 	appellations	pour	une	femme	</S>
a10	0.59159	0.264336	0.0710152	0.0392174	0.0338416
a87	0.524034	0.178556	0.104743	0.0987204	0.0939467
a23	0.649208	0.163613	0.0702144	0.0594676	0.0574965
a35	0.556557	0.22126	0.0966718	0.0674726	0.0580382
a30	0.520839	0.264056	0.110294	0.0699018	0.0349081
a14	0.440019	0.385624	0.118806	0.03888	0.0166717
a30	0.397223	0.298687	0.141619	0.093318	0.0691525
a57	0.108267	0.121346	0.187041	0.301321	0.282025
a87	0.0290249	0.0297564	0.0650488	0.267725	0.608445
a23	0.02221	0.0267259	0.0566182	0.269451	0.624995
a87	0.0213464	0.0288629	0.0509717	0.238459	0.66036
</S>	0.0229603	0.0247118	0.0490052	0.250471	0.652851
