 	je	voudrais	manger	la	partie	molle	de	l'	asperge	</S>
a57	0.278113	0.124929	0.0884022	0.096277	0.0889683	0.0847955	0.0845047	0.0683731	0.051523	0.0341145
a13	0.2834	0.161424	0.104456	0.0727108	0.0581246	0.0594864	0.0743163	0.0583945	0.0577368	0.0699509
a62	0.463466	0.22894	0.0833329	0.0400478	0.0264671	0.0313375	0.0367816	0.0332164	0.0287901	0.0276202
a47	0.506219	0.206634	0.0983485	0.0650957	0.0353033	0.0292058	0.0242021	0.0160924	0.0108513	0.00804762
a12	0.392688	0.270213	0.12483	0.0679765	0.0287956	0.0342609	0.0337668	0.0233129	0.0143608	0.00979632
a21	0.31302	0.277904	0.130203	0.0756204	0.0355876	0.0542505	0.0550861	0.034152	0.0151028	0.0090747
a85	0.358863	0.265666	0.12032	0.0681391	0.0288248	0.05002	0.055779	0.0322937	0.01203	0.00806382
a47	0.301037	0.245035	0.133656	0.0674545	0.0325859	0.0509867	0.0732809	0.0491864	0.0260294	0.0207484
a7	0.124104	0.136543	0.16398	0.135818	0.0746744	0.0929881	0.109934	0.0712766	0.0444795	0.0462028
a79	0.0804832	0.0925142	0.132532	0.132013	0.0921309	0.110283	0.115068	0.0853836	0.075938	0.0836547
a56	0.0496784	0.0852016	0.136922	0.152163	0.10779	0.125535	0.11084	0.0801542	0.0747219	0.0769943
a21	0.025033	0.0579724	0.117004	0.153048	0.11169	0.13897	0.127201	0.0915266	0.0888944	0.0886601
a61	0.0133266	0.0319704	0.0693817	0.121713	0.124573	0.158918	0.150183	0.11532	0.110312	0.104302
a47	0.00935348	0.0177028	0.0385373	0.0804378	0.12507	0.159024	0.154358	0.13088	0.134806	0.149831
a34	0.00767975	0.01188	0.0223164	0.0480616	0.108508	0.162975	0.163205	0.145646	0.139379	0.190349
a56	0.00320231	0.00543833	0.0115549	0.0292605	0.0874162	0.118996	0.149187	0.177876	0.19722	0.219848
a25	0.00330135	0.00616652	0.0116149	0.0265706	0.0745467	0.103562	0.14402	0.191574	0.21716	0.221484
a98	0.00145173	0.00217755	0.0042744	0.0100663	0.0371996	0.0530617	0.0766723	0.128746	0.253961	0.432389
a25	0.000921113	0.00170002	0.00361689	0.00899439	0.0329599	0.0451288	0.065532	0.114314	0.260194	0.466639
a69	0.0028948	0.00351583	0.00681082	0.0146376	0.0422716	0.0492265	0.0670238	0.0903708	0.181427	0.541821
a7	0.00263442	0.00328176	0.00589989	0.0121269	0.035186	0.047958	0.0636705	0.0916819	0.233068	0.504493
a98	0.00270303	0.00362241	0.00614608	0.0126506	0.0347963	0.0395994	0.0518745	0.0706162	0.19549	0.582501
a6	0.00209789	0.00363432	0.00629903	0.0139384	0.0382585	0.0398507	0.0484837	0.0755953	0.224762	0.547081
a37	0.000983402	0.00177453	0.00301382	0.00674758	0.0219334	0.0259588	0.0356684	0.0663956	0.209247	0.628277
a54	0.0012815	0.00187254	0.0029933	0.0061675	0.015653	0.0156001	0.0257479	0.0521376	0.188653	0.689893
a36	0.00146267	0.00266345	0.00438716	0.00963646	0.0250786	0.0257129	0.035303	0.0567967	0.195199	0.64376
a2	0.0120706	0.0157887	0.0209787	0.0373842	0.0608378	0.0507496	0.060917	0.0766957	0.157142	0.507436
a57	0.0656083	0.0569305	0.0672771	0.0974161	0.117303	0.101215	0.0906917	0.0832413	0.111421	0.208895
a87	0.101541	0.0608136	0.0421599	0.0452322	0.065831	0.0678548	0.0733957	0.0918413	0.19034	0.260991
a23	0.18163	0.130913	0.0859047	0.0616336	0.0660176	0.0493789	0.06066	0.0779378	0.139905	0.14602
a99	0.0377606	0.035911	0.0311006	0.0310327	0.0548478	0.0482846	0.085287	0.129035	0.244145	0.302597
</S>	0.0151828	0.0183337	0.0241984	0.0402773	0.0756516	0.0798266	0.113072	0.130713	0.195786	0.306958
