 	c'	est	un	animal	sauvage	</S>
a79	0.596583	0.204331	0.0774841	0.0411147	0.0389957	0.0414907
a41	0.374787	0.188516	0.111024	0.0799368	0.109025	0.136712
a32	0.417714	0.257391	0.137659	0.0724498	0.0612624	0.0535233
a26	0.404275	0.313443	0.19322	0.0599665	0.0215241	0.00757137
a35	0.343237	0.306178	0.215085	0.0789669	0.0384549	0.0180773
a94	0.315299	0.295659	0.225999	0.0976149	0.04247	0.0229571
a41	0.25625	0.250832	0.235541	0.135552	0.0742781	0.0475468
a14	0.146684	0.178234	0.218987	0.181612	0.148908	0.125574
a35	0.111038	0.126424	0.168097	0.188563	0.209316	0.196562
a30	0.0787203	0.0982554	0.137103	0.175749	0.2468	0.263373
a44	0.0406924	0.0534444	0.0919439	0.171715	0.305356	0.336849
a57	0.0299773	0.0348995	0.0664203	0.158648	0.331483	0.378571
a79	0.00269475	0.0041704	0.0118549	0.0523817	0.305221	0.623678
a76	0.00335741	0.00441748	0.0140544	0.0697705	0.327561	0.58084
a20	0.00264305	0.00436687	0.0179	0.0906201	0.336922	0.547548
a84	0.00202527	0.0036533	0.0165794	0.0841076	0.344953	0.548682
a87	0.00172959	0.00301188	0.0104836	0.0389723	0.243826	0.701976
a23	0.0100769	0.0171069	0.04091	0.103388	0.290064	0.538454
a87	0.0381989	0.0464131	0.0764891	0.134984	0.282406	0.421509
</S>	0.0321653	0.0439333	0.0854886	0.159921	0.297185	0.381307
