 	le	fourrou	m'	a	piqué	</S>
a66	0.618914	0.144579	0.100306	0.0823714	0.0359062	0.0179225
a87	0.67164	0.249454	0.0669429	0.00757808	0.00296085	0.00142464
a23	0.646115	0.244498	0.0711468	0.0203912	0.0105831	0.00726686
a12	0.568645	0.260133	0.0661436	0.0316932	0.0329317	0.0404538
a21	0.50803	0.307245	0.0890144	0.0358296	0.0323153	0.0275657
a85	0.323531	0.343776	0.212735	0.0679633	0.034241	0.0177533
a6	0.174151	0.36183	0.38403	0.0518159	0.0190238	0.00914979
a85	0.183667	0.30224	0.405282	0.071306	0.0276202	0.00988439
a5	0.121339	0.218129	0.429072	0.126919	0.0767032	0.0278374
a12	0.0814328	0.117317	0.317213	0.200314	0.187266	0.0964575
a75	0.0376107	0.046533	0.179978	0.286092	0.281438	0.168348
a85	0.00665262	0.0100586	0.107984	0.381706	0.338631	0.154968
a6	0.00129727	0.0027383	0.0497512	0.3036	0.41557	0.227043
a12	0.00181794	0.00186009	0.0122724	0.153071	0.381966	0.449013
a61	0.000824315	0.00123932	0.00658307	0.0674456	0.293914	0.629993
a5	0.0012949	0.00335141	0.0124698	0.0440068	0.18882	0.750057
a36	0.000963243	0.00272224	0.0117582	0.0423035	0.169712	0.772541
a27	0.00314773	0.00474293	0.0118288	0.0493751	0.193811	0.737094
a82	0.0678634	0.060747	0.0623104	0.0792765	0.185066	0.544736
a87	0.371372	0.0921045	0.0627915	0.0972419	0.155045	0.221445
a23	0.624955	0.214986	0.0617247	0.0318501	0.0306627	0.0358216
a87	0.134238	0.0458013	0.021259	0.077878	0.240984	0.47984
</S>	0.0143349	0.00633307	0.00802965	0.0666966	0.311067	0.593539
