 	on	a	fabriqué	beaucoup	d'	alcool	de	maïs	pour	le	fête	</S>
a87	0.254895	0.155163	0.0902655	0.0563801	0.0465472	0.0389103	0.0443544	0.0641477	0.0798753	0.0656936	0.0521058	0.051662
a23	0.245611	0.0954988	0.0635225	0.0650468	0.0697688	0.0573406	0.0550431	0.0520225	0.0668473	0.0747319	0.0889392	0.0656276
a87	0.2965	0.1553	0.0890172	0.056656	0.0571794	0.0526862	0.0405114	0.0396441	0.0405687	0.0492449	0.0566091	0.0660833
a40	0.233534	0.150044	0.0992313	0.0675636	0.066055	0.0640332	0.0490395	0.0426394	0.0428874	0.0549695	0.0533951	0.0766084
a30	0.306075	0.171874	0.119643	0.0831377	0.0577442	0.0689776	0.0423935	0.0458949	0.0301103	0.0277288	0.0187124	0.0277086
a35	0.329821	0.278954	0.162313	0.074342	0.0410035	0.0389304	0.0208655	0.0205573	0.0133385	0.00909743	0.00521573	0.00556147
a24	0.244767	0.230511	0.166682	0.0979418	0.0697061	0.0658125	0.0393367	0.0339456	0.0215451	0.0140754	0.00739539	0.00828225
a66	0.198854	0.196668	0.153935	0.118929	0.0961139	0.0927365	0.0543241	0.0389257	0.0221752	0.012752	0.00698771	0.00759912
a38	0.148134	0.159431	0.140941	0.145307	0.132611	0.108389	0.0642342	0.0434433	0.022906	0.0133037	0.00928921	0.0120106
a76	0.102352	0.117821	0.114183	0.149037	0.15548	0.139584	0.0913146	0.0638882	0.0334647	0.0156361	0.00813849	0.00910007
a94	0.125616	0.134334	0.134675	0.156801	0.130112	0.121176	0.0707125	0.0586931	0.034043	0.0166229	0.0088624	0.0083523
a35	0.129904	0.143835	0.116358	0.139318	0.124895	0.123603	0.076099	0.0635274	0.0328897	0.0185219	0.0142997	0.016749
a76	0.0627873	0.0823437	0.0756823	0.127798	0.156141	0.165918	0.116594	0.0955116	0.0536817	0.0259545	0.017391	0.0201967
a14	0.0751701	0.0866481	0.0739767	0.112279	0.128037	0.145701	0.10344	0.0984536	0.0704674	0.0459575	0.0299404	0.0299288
a35	0.0463945	0.0561164	0.0527062	0.0680085	0.0858134	0.112485	0.103669	0.122505	0.0973726	0.0880281	0.0824674	0.0844342
a76	0.0281431	0.031841	0.0345498	0.0445871	0.0609572	0.0896692	0.108723	0.139854	0.112981	0.112655	0.115695	0.120346
a41	0.0418031	0.0380635	0.0399787	0.045929	0.0527605	0.0744003	0.106585	0.132535	0.127976	0.128337	0.114435	0.0971962
a24	0.0174239	0.0184894	0.0195285	0.0244507	0.0294019	0.0424128	0.0736685	0.10981	0.104084	0.141072	0.218715	0.200944
a35	0.0067169	0.00666648	0.0089511	0.0103574	0.00996842	0.0132343	0.0256931	0.0368974	0.0471537	0.108557	0.349003	0.376801
a41	0.00940886	0.0080133	0.00820325	0.010102	0.0111328	0.0167777	0.0300959	0.0434407	0.0495014	0.111373	0.346137	0.355815
a24	0.00325528	0.0024566	0.00298045	0.00386721	0.00453919	0.00734673	0.0169146	0.0271522	0.0391023	0.117311	0.400775	0.3743
a41	0.00547894	0.0032955	0.00309269	0.00406636	0.00437462	0.00599031	0.0110795	0.0167314	0.0221717	0.064154	0.373389	0.486176
a24	0.00242233	0.0013729	0.00135181	0.00171975	0.00204069	0.00327115	0.00629005	0.0108332	0.0183945	0.0692604	0.399153	0.48389
a9	0.00542074	0.00262115	0.00203332	0.00270234	0.00326524	0.00508081	0.00760343	0.0157601	0.0227019	0.065778	0.334643	0.53239
a87	0.0135035	0.00545006	0.00460418	0.00481251	0.00685564	0.013193	0.0238976	0.0497542	0.0649933	0.111019	0.281978	0.419939
a23	0.0284317	0.0110305	0.00696261	0.00556502	0.00825687	0.0133401	0.0235729	0.0478326	0.0781643	0.123257	0.308396	0.34519
a87	0.0633574	0.033483	0.0203756	0.0132431	0.0141858	0.0174106	0.026452	0.0514255	0.0702937	0.116224	0.261992	0.311557
a10	0.039511	0.0208333	0.0139119	0.00926133	0.0100059	0.0147955	0.0216728	0.0465284	0.0565879	0.105905	0.252575	0.408411
a87	0.0343163	0.0235557	0.0176529	0.0127905	0.0139794	0.0179765	0.0247112	0.0517952	0.0613553	0.109901	0.259731	0.372235
a23	0.0514284	0.0252551	0.015357	0.0106702	0.0132416	0.019364	0.0208806	0.0415551	0.0458598	0.083284	0.237992	0.435112
a87	0.0321428	0.0188402	0.0141566	0.0100539	0.0111278	0.0152962	0.0218741	0.0433634	0.0541082	0.106614	0.275508	0.396915
</S>	0.0211974	0.0110469	0.0107035	0.00856773	0.0101935	0.0164629	0.0234074	0.047888	0.0498955	0.0977245	0.246674	0.456239
