 	angelique	otsana	danse	</S>
a66	0.454357	0.469475	0.0605382	0.0156294
a87	0.298808	0.524568	0.118299	0.058325
a23	0.776247	0.189199	0.0190168	0.0155381
a87	0.757848	0.188342	0.0283981	0.0254128
a23	0.765894	0.185222	0.0240023	0.0248822
a38	0.660668	0.236122	0.0538705	0.04934
a61	0.492387	0.31809	0.110907	0.0786154
a21	0.375488	0.459993	0.101529	0.0629894
a47	0.259532	0.513133	0.144335	0.0830002
a75	0.194573	0.436367	0.241542	0.127518
a92	0.191464	0.508829	0.207108	0.0925996
a56	0.203236	0.487893	0.188216	0.120655
a75	0.172993	0.435781	0.23929	0.151936
a85	0.1325	0.354139	0.253736	0.259625
a47	0.0712977	0.255466	0.317383	0.355853
a36	0.0154485	0.0731536	0.352355	0.559043
a75	0.0168401	0.0476154	0.259454	0.67609
a21	0.0105746	0.033579	0.277508	0.678338
a5	0.00720223	0.0283715	0.2539	0.710527
a75	0.003577	0.0110483	0.141073	0.844302
a47	0.00360777	0.0106329	0.146734	0.839025
a36	0.00124795	0.00236468	0.0792867	0.917101
a27	0.0411994	0.0487919	0.208149	0.70186
a30	0.182337	0.0935756	0.235599	0.488489
a10	0.42032	0.110969	0.154108	0.314603
a87	0.47816	0.165671	0.132929	0.223241
a23	0.376145	0.227554	0.167483	0.228818
a87	0.125716	0.10228	0.179017	0.592987
a23	0.0458831	0.0585286	0.166216	0.729372
a87	0.0572935	0.0810293	0.167244	0.694433
</S>	0.0270498	0.0448658	0.159024	0.76906
