 	il	bâtit	une	maison	</S>
a23	0.624593	0.237867	0.0483946	0.0389572	0.050188
a30	0.502311	0.23585	0.0939175	0.0883736	0.079548
a53	0.374824	0.288701	0.118463	0.105254	0.112758
a15	0.383137	0.297698	0.14221	0.0979709	0.0789841
a79	0.249341	0.403047	0.185729	0.102725	0.0591587
a26	0.284792	0.409716	0.142792	0.0990924	0.0636077
a93	0.19094	0.329725	0.169858	0.163385	0.146093
a96	0.136343	0.257985	0.242065	0.195267	0.16834
a62	0.0699871	0.0898215	0.186717	0.29625	0.357225
a83	0.021015	0.0431943	0.146603	0.331516	0.457671
a62	0.0112169	0.02557	0.0876777	0.279321	0.596215
a88	0.0115666	0.0293879	0.0727228	0.238168	0.648155
a9	0.010094	0.0275052	0.0734148	0.23031	0.658676
a87	0.0113246	0.0205532	0.0565098	0.228537	0.683076
a23	0.183507	0.108212	0.115228	0.203128	0.389925
a87	0.0597553	0.090785	0.1163	0.252822	0.480337
</S>	0.0101663	0.01891	0.0579671	0.24007	0.672886
