 	la	mère	donne	à	manger	à	son	bébé	</S>
a87	0.438951	0.252818	0.10081	0.0533246	0.0455709	0.0360866	0.0302476	0.0227725	0.0194192
a23	0.417251	0.211405	0.0650077	0.0426495	0.0439779	0.0497129	0.0458214	0.0586475	0.0655272
a10	0.257416	0.241958	0.158922	0.103672	0.0601344	0.0449202	0.0374899	0.0387766	0.0567108
a87	0.231761	0.266387	0.164384	0.0864723	0.0488176	0.0338518	0.0348865	0.0494183	0.0840218
a23	0.268194	0.240513	0.161752	0.0998257	0.0524205	0.03645	0.0341495	0.0407869	0.0659074
a83	0.308565	0.269311	0.141172	0.0755719	0.0430375	0.0302355	0.028583	0.0408181	0.062706
a93	0.31262	0.32061	0.209374	0.0790799	0.0298857	0.0153798	0.00975503	0.00951856	0.0137768
a90	0.246651	0.273138	0.216025	0.1177	0.0511085	0.0277299	0.0196145	0.0192677	0.0287646
a56	0.0797098	0.0987113	0.133336	0.159185	0.146891	0.114805	0.0869926	0.0742164	0.106152
a75	0.117355	0.150575	0.190208	0.172115	0.11276	0.0798663	0.0619219	0.0505241	0.0646747
a85	0.106627	0.122529	0.14516	0.128846	0.102744	0.0992294	0.0994708	0.0891257	0.106268
a5	0.122935	0.150637	0.148764	0.105323	0.0793513	0.090532	0.0981876	0.0990262	0.105243
a27	0.170732	0.151711	0.142563	0.128326	0.0890536	0.0854149	0.079896	0.070022	0.0822819
a38	0.0537515	0.0582521	0.0902474	0.161181	0.17943	0.151358	0.101253	0.0872448	0.117282
a21	0.0294561	0.0254771	0.0382812	0.0827732	0.161733	0.20238	0.17075	0.130041	0.159108
a47	0.0377942	0.0295617	0.0359772	0.0634902	0.113848	0.159349	0.176732	0.177144	0.206104
a0	0.029119	0.0228471	0.0267738	0.0439099	0.0944866	0.165855	0.200042	0.185439	0.231527
a75	0.00788511	0.00618987	0.00891781	0.0190066	0.0524641	0.147472	0.263704	0.245122	0.249238
a47	0.00515912	0.00369217	0.0044883	0.0091608	0.0220386	0.0662573	0.162891	0.293237	0.433076
a37	0.00808575	0.00627353	0.00737089	0.0135853	0.0278728	0.0717037	0.173383	0.302688	0.389037
a54	0.00511872	0.00376513	0.00486765	0.0116461	0.0302526	0.0776463	0.16635	0.295469	0.404885
a47	0.00386889	0.00339969	0.00441534	0.010109	0.0235987	0.0590674	0.130576	0.300459	0.464505
a37	0.00356262	0.00325131	0.0039053	0.00909768	0.0215196	0.053203	0.12088	0.293822	0.490758
a66	0.00562501	0.00470963	0.00587858	0.0141393	0.0322486	0.0690848	0.132383	0.276543	0.459388
a38	0.00801275	0.00561607	0.00430692	0.00716412	0.0150624	0.0401074	0.102555	0.300083	0.517092
a30	0.00535104	0.00376649	0.00244831	0.0039855	0.0099687	0.0349867	0.111154	0.319321	0.509018
a87	0.00152339	0.00106737	0.000895828	0.00189619	0.00523211	0.0194598	0.077977	0.305994	0.585955
a23	0.0495043	0.0254867	0.0127819	0.0124941	0.0195352	0.0490378	0.134296	0.280359	0.416505
a99	0.0179033	0.00873295	0.00493427	0.00679314	0.0154865	0.0556217	0.149837	0.338261	0.40243
a97	0.00888244	0.00418091	0.00266032	0.00524364	0.0163171	0.0603178	0.13958	0.330494	0.432323
</S>	0.0167742	0.00976914	0.00729657	0.0117655	0.0210984	0.0509205	0.093566	0.283887	0.504923
