 	cet	enfant	est	rusé	</S>
a66	0.665282	0.181294	0.0879937	0.0435929	0.0218373
a87	0.601566	0.226439	0.105619	0.0433	0.0230752
a23	0.66824	0.193631	0.0581687	0.0399239	0.0400362
a53	0.417999	0.170414	0.0708876	0.0816503	0.259049
a20	0.683624	0.168293	0.079084	0.0470352	0.0219634
a54	0.383062	0.323577	0.211249	0.0659677	0.0161442
a37	0.209309	0.328677	0.327741	0.113248	0.0210249
a92	0.169727	0.213257	0.277713	0.239601	0.0997017
a79	0.144206	0.210622	0.28958	0.263142	0.0924497
a15	0.136508	0.232122	0.316997	0.229792	0.0845819
a98	0.087103	0.169355	0.302151	0.306083	0.135308
a6	0.074985	0.14038	0.291906	0.35394	0.138789
a37	0.0561365	0.0946173	0.186832	0.408698	0.253716
a61	0.0159494	0.0259316	0.0592427	0.338221	0.560655
a34	0.00637266	0.0124135	0.0302956	0.262119	0.688799
a90	0.00418193	0.0104201	0.027143	0.227389	0.730866
a92	0.00213547	0.00581485	0.0172188	0.201639	0.773192
a56	0.00291458	0.00737161	0.0186251	0.200317	0.770772
a21	0.00401063	0.0118732	0.0309308	0.210874	0.742311
a12	0.00279439	0.00793072	0.0196704	0.136345	0.83326
a88	0.0016924	0.00503349	0.0174692	0.164258	0.811547
a71	0.00398503	0.00800563	0.0205042	0.197947	0.769558
a25	0.058759	0.0633555	0.0941919	0.319341	0.464353
a87	0.231114	0.127674	0.118737	0.229065	0.29341
a23	0.457769	0.206711	0.106244	0.10924	0.120036
a87	0.209003	0.148155	0.132273	0.266663	0.243906
</S>	0.0339591	0.0440036	0.0727743	0.259604	0.589659
