 	l'	enfant	a	progressé	dans	ses	études	</S>
a66	0.296413	0.253738	0.25836	0.113143	0.0274579	0.0174512	0.0156552	0.0177822
a87	0.483622	0.226814	0.141379	0.0260697	0.0187861	0.0269466	0.0300534	0.0463296
a23	0.478359	0.220879	0.129919	0.0408678	0.0178894	0.0258621	0.0331954	0.0530287
a53	0.39552	0.147278	0.0853207	0.0664416	0.0483521	0.0481787	0.0639167	0.144992
a54	0.458806	0.177899	0.154884	0.0693084	0.0330479	0.0340909	0.029413	0.04255
a92	0.268897	0.160577	0.263378	0.130494	0.0623494	0.0463836	0.0295898	0.0383312
a6	0.141119	0.135617	0.328952	0.216279	0.0840693	0.0462627	0.0212989	0.0264029
a36	0.111551	0.125518	0.311	0.251542	0.104439	0.0467323	0.0227877	0.0264292
a6	0.0755654	0.0998934	0.258948	0.289165	0.139776	0.0610879	0.0366104	0.0389536
a37	0.0394291	0.0722729	0.219658	0.263938	0.156425	0.0982373	0.0711542	0.0788853
a43	0.0707634	0.117452	0.234806	0.217223	0.12818	0.0843041	0.0726668	0.074605
a0	0.043149	0.0837438	0.183173	0.217624	0.14067	0.11231	0.105821	0.113508
a21	0.0306582	0.0483584	0.0923445	0.220978	0.196742	0.153006	0.13085	0.127062
a5	0.0132809	0.0216094	0.0347017	0.110829	0.207625	0.210626	0.201858	0.199469
a36	0.00556122	0.00818681	0.0125396	0.0713458	0.229432	0.233168	0.220826	0.218941
a90	0.00819131	0.00941944	0.0133224	0.0356114	0.118243	0.195757	0.281396	0.338059
a79	0.00147654	0.00197887	0.00263525	0.0123662	0.0844507	0.185068	0.310341	0.401683
a44	0.000258344	0.000380536	0.000551172	0.00449908	0.0449859	0.13603	0.32836	0.484935
a82	0.000321848	0.000401425	0.000483118	0.00298165	0.0398874	0.150293	0.336677	0.468955
a87	0.000796101	0.000571646	0.000811251	0.00247911	0.0184268	0.102242	0.310204	0.564469
a97	0.0320557	0.0221038	0.024644	0.0270048	0.0732157	0.157005	0.305276	0.358695
a87	0.124199	0.069129	0.0435917	0.0384486	0.0867456	0.139497	0.240116	0.258273
a97	0.120931	0.080318	0.0433607	0.0345594	0.0767121	0.128127	0.244348	0.271645
a87	0.0773214	0.0588856	0.0392086	0.0534271	0.116401	0.147116	0.242847	0.264792
a23	0.0433204	0.0389843	0.0311002	0.0508904	0.0916952	0.144335	0.26058	0.339094
a97	0.0223039	0.0268099	0.0280168	0.06149	0.103633	0.171384	0.225454	0.360909
</S>	0.0115213	0.0152165	0.0148836	0.0450771	0.0901367	0.16226	0.246781	0.414124
