 	le	chef	abuse	de	ses	avantages	</S>
a10	0.256391	0.187599	0.158571	0.140479	0.112212	0.0842603	0.0604875
a87	0.368773	0.210863	0.145263	0.11042	0.0615831	0.0515425	0.051555
a23	0.245255	0.19477	0.167111	0.142951	0.0929271	0.0728096	0.084176
a53	0.162968	0.151171	0.153246	0.137797	0.13754	0.127139	0.130138
a4	0.359297	0.30336	0.2079	0.0746738	0.0300045	0.0145005	0.0102641
a57	0.266648	0.299552	0.233126	0.12074	0.0496182	0.0185267	0.0117896
a53	0.24476	0.313718	0.200259	0.1268	0.0596424	0.0310215	0.0237992
a4	0.17093	0.226742	0.18023	0.161804	0.103343	0.0779533	0.0789976
a70	0.198458	0.264109	0.197522	0.153353	0.0719436	0.0518862	0.0627287
a66	0.162634	0.218072	0.21372	0.19951	0.0930182	0.0554117	0.0576341
a61	0.130293	0.178596	0.202158	0.226856	0.117476	0.0766238	0.0679975
a75	0.142187	0.179598	0.215825	0.214358	0.112067	0.0683974	0.0675677
a41	0.140171	0.163296	0.197231	0.183289	0.12851	0.101805	0.0856975
a61	0.107284	0.133881	0.201006	0.205684	0.148641	0.107471	0.096032
a47	0.0882836	0.110764	0.172643	0.203862	0.169231	0.126806	0.128411
a75	0.102356	0.120819	0.160665	0.197122	0.163042	0.121997	0.133998
a41	0.113097	0.122491	0.118028	0.117601	0.151526	0.183385	0.193872
a27	0.1133	0.121222	0.12011	0.11826	0.138234	0.16783	0.221045
a38	0.11064	0.138883	0.155495	0.127574	0.137982	0.142762	0.186665
a41	0.103305	0.120624	0.131349	0.119024	0.157989	0.176571	0.191137
a35	0.0527257	0.0578736	0.0682833	0.0835231	0.136444	0.220955	0.380195
a32	0.0538739	0.0544908	0.0628722	0.0825286	0.141022	0.234915	0.370298
a24	0.0506108	0.0570248	0.0697428	0.0847331	0.137486	0.245663	0.354739
a43	0.0279033	0.0314187	0.0410857	0.0474619	0.105515	0.26309	0.483525
a32	0.0178575	0.0212207	0.0294676	0.0316714	0.0717698	0.224625	0.603388
a75	0.0224812	0.0262305	0.0324968	0.0346475	0.0718784	0.212957	0.599309
a41	0.0339995	0.0294988	0.0257283	0.031494	0.0574074	0.189571	0.632301
a94	0.0137936	0.0123097	0.0118422	0.0154042	0.037009	0.17174	0.737901
a57	0.0149895	0.0147438	0.017538	0.0200002	0.0415816	0.150935	0.740212
a38	0.00868717	0.00769558	0.00767512	0.00671077	0.0195048	0.124584	0.825143
a75	0.018595	0.0136955	0.0122682	0.0102344	0.0266277	0.133799	0.78478
a41	0.0249428	0.0232669	0.0215185	0.0210316	0.0364561	0.143023	0.729761
a35	0.0172967	0.0150358	0.0143144	0.0133142	0.028797	0.140393	0.770849
a98	0.0296886	0.0282598	0.0303103	0.0284931	0.0541389	0.165041	0.664068
a41	0.0288554	0.0272824	0.0231064	0.0225847	0.05028	0.189507	0.658384
a35	0.0288825	0.0257776	0.0262693	0.0253915	0.0545138	0.176745	0.662421
a66	0.0215541	0.0200414	0.0224913	0.0228142	0.0520085	0.168099	0.692991
a62	0.0274647	0.0206369	0.0154883	0.0133232	0.0386232	0.166967	0.717497
a93	0.0404257	0.0278229	0.0216792	0.0196784	0.0487061	0.176577	0.665111
a90	0.0238171	0.0159716	0.0139968	0.0127748	0.0343704	0.166924	0.732145
a76	0.027565	0.0207281	0.0188808	0.0186855	0.0457599	0.184412	0.683969
a69	0.043746	0.0386416	0.0350785	0.0300504	0.0555242	0.172771	0.624189
a58	0.0418566	0.0343546	0.0344119	0.0285405	0.0498032	0.164495	0.646538
a82	0.0553351	0.0463906	0.0405246	0.0426506	0.0953951	0.232772	0.486932
a87	0.0453966	0.0314249	0.0315244	0.0400284	0.096977	0.236091	0.518557
</S>	0.0346457	0.0246922	0.0207268	0.0224612	0.05468	0.198847	0.643948
