 	ma	maman	a	préparé	les	tripes	de	buffle	</S>
a66	0.217808	0.192875	0.157029	0.181453	0.0957739	0.0841288	0.0389229	0.0198143	0.0121945
a87	0.262622	0.154105	0.12586	0.130172	0.107622	0.120288	0.0529743	0.0263575	0.0199998
a99	0.380715	0.196469	0.10487	0.0858631	0.0438294	0.0728033	0.0517734	0.0381647	0.0255123
a83	0.390273	0.236198	0.116424	0.0856805	0.0382294	0.0533069	0.0287172	0.024845	0.0263267
a70	0.303246	0.19754	0.129341	0.12177	0.0617945	0.0552862	0.0399926	0.0445311	0.0464984
a90	0.3565	0.246216	0.159112	0.11506	0.0491947	0.0309957	0.0159909	0.0154621	0.0114678
a15	0.241298	0.207536	0.188679	0.139473	0.0835677	0.0462366	0.0301547	0.0326991	0.0303551
a79	0.117805	0.123533	0.169915	0.151513	0.129978	0.0790876	0.0647843	0.0776347	0.0857485
a98	0.0979008	0.112634	0.180402	0.162366	0.13382	0.0726803	0.060015	0.0794661	0.100716
a92	0.0876462	0.112333	0.198325	0.170797	0.153516	0.0863221	0.0580177	0.0555402	0.0775029
a85	0.122773	0.127676	0.167883	0.163358	0.127215	0.083535	0.0574424	0.063471	0.0866464
a6	0.0919776	0.125987	0.172676	0.185424	0.140037	0.104315	0.0593855	0.0528671	0.0673308
a37	0.0701329	0.114768	0.158586	0.179019	0.140698	0.118651	0.0750824	0.0662382	0.0768254
a12	0.0478115	0.099369	0.160506	0.192088	0.150681	0.129586	0.0792597	0.0635572	0.0771406
a96	0.0275155	0.0539627	0.0877063	0.119112	0.114528	0.157866	0.15744	0.13643	0.14544
a18	0.0215779	0.0371183	0.0636202	0.108407	0.126481	0.186659	0.17738	0.138111	0.140646
a70	0.0248042	0.0326232	0.0427959	0.069582	0.0904743	0.175427	0.209507	0.189929	0.164857
a34	0.0175969	0.0218579	0.0263034	0.0425012	0.0626776	0.138315	0.242327	0.235487	0.212934
a75	0.0101917	0.0138201	0.0176889	0.0303618	0.045266	0.0924567	0.201778	0.292041	0.296396
a92	0.00425975	0.00638282	0.00983484	0.015758	0.0286149	0.0659411	0.154913	0.284412	0.429883
a75	0.003301	0.00463197	0.00692067	0.0110637	0.0209577	0.0480599	0.140998	0.319921	0.444146
a47	0.00362689	0.00521938	0.00764563	0.0112821	0.0196024	0.0459242	0.126058	0.326075	0.454566
a36	0.00191672	0.00256288	0.0035749	0.00506833	0.0113997	0.0278721	0.0975086	0.323353	0.526744
a2	0.00479512	0.00470807	0.00591884	0.00834594	0.0143765	0.0342876	0.12413	0.310813	0.492625
a27	0.0473001	0.0423136	0.0579551	0.0743174	0.0776076	0.0861838	0.143256	0.204468	0.266599
a82	0.0721066	0.0545352	0.0736966	0.101062	0.0968467	0.100506	0.124788	0.17284	0.203619
a3	0.0924921	0.0516048	0.0580988	0.092928	0.0915318	0.154372	0.154958	0.158941	0.145073
a10	0.125824	0.0635263	0.0643456	0.0941404	0.0809198	0.156152	0.147444	0.148088	0.11956
a30	0.1146	0.0563332	0.0580901	0.0748277	0.069758	0.137262	0.157299	0.181498	0.150333
a10	0.0798719	0.0479251	0.0491912	0.0554112	0.0578453	0.132973	0.171827	0.208611	0.196345
a38	0.0879592	0.0548746	0.0612242	0.0685924	0.0616272	0.121985	0.146087	0.200683	0.196967
</S>	0.0311893	0.0259303	0.0376261	0.056749	0.0536685	0.116844	0.164053	0.236351	0.277589
