 	le	bois	de	l'	arbre	okwele	est	dur	</S>
a66	0.248117	0.18932	0.140443	0.131809	0.131213	0.0804146	0.0422405	0.0251005	0.0113424
a87	0.316395	0.16238	0.133142	0.122601	0.111218	0.0909644	0.0388587	0.0172658	0.00717486
a23	0.200602	0.155475	0.151096	0.156259	0.154054	0.108059	0.0413551	0.0219534	0.0111458
a4	0.208231	0.149255	0.161363	0.165262	0.127585	0.0683201	0.0457769	0.0354578	0.0387482
a57	0.161526	0.0998565	0.123492	0.153488	0.165143	0.136849	0.0693673	0.0552607	0.0350172
a53	0.155257	0.101295	0.133563	0.139008	0.160163	0.140968	0.0650878	0.0608708	0.0437878
a93	0.111599	0.116069	0.166683	0.144159	0.161073	0.146999	0.0775348	0.0530254	0.0228583
a56	0.0789692	0.0808819	0.132499	0.115009	0.149701	0.162643	0.11462	0.106681	0.0589971
a96	0.0740395	0.0731948	0.115391	0.10481	0.134226	0.147683	0.116897	0.142619	0.0911389
a56	0.0846275	0.0776455	0.113663	0.112516	0.126654	0.11422	0.0944314	0.153596	0.122646
a61	0.0659344	0.0609847	0.0839171	0.0873952	0.106745	0.110674	0.110663	0.191759	0.181928
a75	0.0650515	0.0569419	0.0631633	0.078883	0.0944431	0.108418	0.118323	0.197994	0.216781
a79	0.0210094	0.0194763	0.0259258	0.0477812	0.0723534	0.113749	0.17336	0.251552	0.274793
a56	0.0294828	0.031089	0.0401086	0.0737411	0.0980283	0.129624	0.179814	0.211792	0.20632
a43	0.00802358	0.0080573	0.00832062	0.016764	0.0268964	0.056278	0.157635	0.301161	0.416864
a11	0.00258396	0.00221084	0.00155492	0.00236981	0.00332987	0.00857634	0.0618191	0.211073	0.706482
a10	0.0051868	0.00440893	0.00267951	0.00351702	0.00630874	0.0193554	0.0719708	0.233125	0.653448
a87	0.103416	0.0824229	0.0534333	0.0693098	0.0855552	0.0892228	0.102008	0.148064	0.266568
a23	0.201673	0.170534	0.140238	0.177746	0.143377	0.0722652	0.0396849	0.0250203	0.0294612
a87	0.137014	0.0914693	0.0618149	0.0652536	0.0658956	0.0767075	0.131359	0.144961	0.225526
</S>	0.0537673	0.0367566	0.0217839	0.0252999	0.0349737	0.0513795	0.119547	0.182102	0.47439
