 	asoua	est	le	sosie	de	son	père	</S>
a66	0.157506	0.145889	0.257523	0.276546	0.101754	0.0386228	0.0122969	0.00986277
a87	0.284942	0.144329	0.0964761	0.158003	0.106031	0.0756472	0.0623027	0.0722691
a23	0.504287	0.24641	0.109244	0.0440127	0.0176641	0.0196589	0.0261889	0.0325351
a87	0.624949	0.229758	0.0866856	0.0264743	0.00555919	0.00588568	0.00845195	0.0122367
a10	0.551853	0.261105	0.0925903	0.0321733	0.008355	0.0107012	0.0180183	0.0252038
a87	0.640361	0.195506	0.054425	0.0216103	0.00970194	0.0151506	0.0256174	0.037627
a23	0.526666	0.201649	0.0508061	0.0313667	0.0164108	0.0282901	0.0556442	0.0891671
a40	0.579103	0.137148	0.0580925	0.0246465	0.0188205	0.035645	0.0571234	0.089422
a54	0.347301	0.243711	0.236511	0.094853	0.0172135	0.0193413	0.0192259	0.0218432
a0	0.159528	0.170619	0.246965	0.282367	0.0427394	0.0341447	0.0287604	0.0348761
a90	0.143227	0.138067	0.241045	0.319716	0.0593725	0.0392261	0.0270607	0.0322855
a98	0.0974548	0.133538	0.241784	0.357553	0.0697398	0.0402489	0.0280226	0.0316584
a85	0.0535191	0.0845455	0.193657	0.417018	0.119375	0.0557889	0.0363558	0.0397407
a79	0.0607084	0.0855665	0.189865	0.396615	0.112583	0.0590367	0.0442446	0.0513813
a92	0.0686555	0.11467	0.207674	0.369568	0.111587	0.0514024	0.0363681	0.0400751
a21	0.0532002	0.0915856	0.196027	0.359894	0.12084	0.0703405	0.0519035	0.0562096
a5	0.0326789	0.0509516	0.142752	0.457086	0.149988	0.0709388	0.0446691	0.0509355
a36	0.0174438	0.02137	0.0725925	0.40849	0.162332	0.107106	0.0905595	0.120106
a98	0.0104383	0.0130205	0.0267809	0.231879	0.237779	0.140324	0.131557	0.208222
a47	0.00415046	0.00486143	0.0114686	0.099135	0.148303	0.150092	0.218834	0.363155
a85	0.00184774	0.0013549	0.00241172	0.0165568	0.0668638	0.0913211	0.26848	0.551163
a5	0.000800852	0.000706778	0.00129192	0.013746	0.086603	0.152248	0.301233	0.443371
a36	0.00161544	0.00164472	0.00334314	0.0310199	0.10474	0.179505	0.283568	0.394564
a85	0.000613525	0.000397627	0.000569404	0.00461888	0.0504049	0.122946	0.311097	0.509353
a47	0.000383463	0.000246116	0.000336246	0.00439933	0.0669503	0.174293	0.348101	0.40529
a36	0.000163959	8.51051e-05	0.000119921	0.00144247	0.0345535	0.106839	0.318803	0.537994
a2	0.00111207	0.000439407	0.000455342	0.00180296	0.0202947	0.0547504	0.252543	0.668602
a57	0.0147654	0.00416693	0.00410147	0.00920775	0.0437773	0.0749016	0.267506	0.581573
a87	0.0726979	0.0260586	0.0205094	0.0469297	0.0856248	0.100465	0.196851	0.450864
a23	0.104367	0.0762711	0.0428145	0.0933159	0.126089	0.149145	0.169664	0.238333
a9	0.0787154	0.0313045	0.0160766	0.0398457	0.0523574	0.114241	0.290568	0.376892
a97	0.0241978	0.00742019	0.0045594	0.0302275	0.0539475	0.0947471	0.277354	0.507547
a87	0.0234295	0.0102544	0.00612306	0.0348675	0.0568406	0.0948336	0.270832	0.50282
</S>	0.0389352	0.0190184	0.0123748	0.0454896	0.0587647	0.0931503	0.254828	0.477439
