 	il	s'	est	brisé	la	jambe	</S>
a23	0.276453	0.229032	0.156679	0.12541	0.0956066	0.0762986	0.0405215
a87	0.308989	0.198229	0.166025	0.136268	0.0826448	0.0559347	0.0519087
a23	0.311498	0.186238	0.125968	0.0856795	0.0757314	0.0785432	0.136342
a79	0.320182	0.247135	0.137096	0.0759704	0.0626588	0.0659723	0.0909853
a76	0.378751	0.306555	0.151778	0.070912	0.0371797	0.0304031	0.0244203
a73	0.222098	0.277357	0.222619	0.175848	0.0596001	0.0262909	0.0161881
a56	0.196018	0.237367	0.21994	0.207717	0.0890458	0.0310952	0.0188168
a75	0.160708	0.214109	0.243517	0.23752	0.0911594	0.032289	0.0206979
a12	0.188359	0.213921	0.246612	0.206917	0.0857142	0.0341089	0.0243682
a11	0.165381	0.158234	0.20974	0.201	0.136492	0.0700457	0.0591078
a43	0.137403	0.110144	0.133701	0.147182	0.178967	0.14477	0.147832
a56	0.131753	0.100427	0.127186	0.14559	0.18024	0.159891	0.154914
a75	0.0742193	0.0610027	0.0785729	0.107078	0.212724	0.242873	0.22353
a56	0.054674	0.0457738	0.0512589	0.0646193	0.175828	0.288714	0.319132
a27	0.0286978	0.0257725	0.0343296	0.0504839	0.138288	0.301153	0.421275
a53	0.0160934	0.0116213	0.0112604	0.0139214	0.051728	0.234061	0.661315
a4	0.0133947	0.0110339	0.0123788	0.0186313	0.066425	0.252165	0.625971
a13	0.00753648	0.00541135	0.00661681	0.0111936	0.0463892	0.229535	0.693317
a82	0.00531508	0.00377669	0.00393154	0.00646565	0.0339695	0.20256	0.743981
a10	0.0299656	0.0155314	0.0120028	0.013027	0.0396828	0.190048	0.699742
</S>	0.139164	0.0666814	0.0431187	0.0390691	0.0709262	0.164491	0.476549
