 	ce	vieillard	a	des	cils	blancs	</S>
a66	0.229992	0.247021	0.235696	0.182517	0.0714926	0.0176038	0.0156781
a87	0.196294	0.220339	0.233835	0.163474	0.113055	0.0368376	0.036166
a10	0.378033	0.229199	0.110082	0.0704257	0.0750344	0.0532465	0.0839795
a97	0.473755	0.325634	0.0906695	0.0359741	0.0293534	0.0169161	0.0276983
a10	0.470921	0.289669	0.10541	0.0502407	0.0359597	0.0201831	0.0276171
a87	0.513956	0.2933	0.0853579	0.0331987	0.0298383	0.0180808	0.0262686
a23	0.489839	0.282925	0.105194	0.040991	0.0328047	0.0194525	0.0287934
a50	0.497002	0.270922	0.0936612	0.0448713	0.0396666	0.0207087	0.033168
a62	0.5696	0.272757	0.0783618	0.0340429	0.0173113	0.0107982	0.0171293
a88	0.576626	0.296704	0.0669674	0.0263096	0.011443	0.00954597	0.0124038
a62	0.440796	0.330056	0.113608	0.0503686	0.0225022	0.0199472	0.0227216
a88	0.334604	0.340004	0.185096	0.0824692	0.0258987	0.0163421	0.0155859
a62	0.25978	0.302766	0.203962	0.124673	0.0510018	0.0293732	0.0284432
a47	0.172921	0.232578	0.266789	0.19892	0.0718961	0.0307469	0.02615
a62	0.147772	0.213836	0.259543	0.225382	0.0926129	0.0334597	0.0273954
a34	0.114884	0.186537	0.262081	0.257363	0.114392	0.0351955	0.0295476
a98	0.076458	0.163032	0.27743	0.272753	0.132492	0.0404127	0.0374229
a47	0.0362176	0.0973794	0.213052	0.250687	0.198891	0.10415	0.0996228
a85	0.0401676	0.105325	0.225316	0.264434	0.192419	0.0754676	0.0968707
a21	0.0252515	0.0633884	0.16095	0.238343	0.222772	0.131348	0.157947
a12	0.0413022	0.105361	0.200736	0.240988	0.229342	0.0863817	0.0958886
a47	0.0320802	0.0784665	0.17959	0.259301	0.254807	0.0979493	0.0978062
a21	0.0302306	0.0647606	0.158263	0.263501	0.246572	0.109982	0.126691
a85	0.0152742	0.0325464	0.088313	0.19239	0.298491	0.175183	0.197803
a47	0.0103074	0.0165301	0.0393856	0.0935284	0.206356	0.251641	0.382251
a7	0.0194634	0.027859	0.0546204	0.110276	0.235856	0.194014	0.357911
a79	0.0309112	0.0484381	0.0841173	0.134483	0.22968	0.172937	0.299433
a69	0.0147523	0.0193776	0.035809	0.0731258	0.188103	0.232758	0.436074
a53	0.0085439	0.010464	0.0214613	0.0465107	0.166409	0.285713	0.460898
a79	0.00568883	0.0070557	0.0142916	0.0304029	0.135672	0.285688	0.521201
a56	0.00391484	0.00487615	0.0117973	0.0256267	0.114976	0.27659	0.562219
a92	0.00156388	0.0019369	0.00502468	0.0156578	0.113705	0.293988	0.568124
a37	0.000607539	0.000853805	0.00262313	0.0102266	0.0875223	0.268026	0.630141
a43	0.00113333	0.00148223	0.00320928	0.00772434	0.0654541	0.242337	0.67866
a24	0.00615627	0.00725621	0.0102024	0.0162582	0.0886231	0.295135	0.576369
a0	0.00217047	0.00301538	0.004743	0.00967459	0.0692195	0.296746	0.614431
a11	0.0075979	0.00873461	0.00992916	0.0154255	0.0797296	0.296678	0.581905
a70	0.013086	0.0132275	0.0148188	0.0209845	0.0841074	0.296832	0.556944
a43	0.000324426	0.000517744	0.00109183	0.00295322	0.0293392	0.196173	0.7696
a11	0.00106944	0.00145131	0.00243749	0.00500686	0.0416936	0.231011	0.717331
a70	0.010059	0.00888667	0.0129541	0.020837	0.0858163	0.290383	0.571064
a13	0.00322893	0.00340376	0.00564718	0.0103913	0.0532337	0.247074	0.677021
a9	0.00702663	0.00630641	0.0113385	0.0199079	0.0792327	0.294069	0.582118
a87	0.0479926	0.0260039	0.038123	0.0463834	0.146823	0.27813	0.416544
a23	0.0931042	0.0585642	0.0727912	0.0782259	0.208973	0.198578	0.289763
a57	0.0320321	0.0141035	0.0193724	0.0230705	0.0954372	0.218006	0.597979
a10	0.026761	0.0174298	0.0377198	0.0353597	0.0895398	0.19295	0.60024
a87	0.0361078	0.0282249	0.0463418	0.0387061	0.0906782	0.173585	0.586356
a82	0.0639548	0.0516038	0.0701296	0.0466834	0.0921683	0.153078	0.522382
</S>	0.0912874	0.0801002	0.0975343	0.060958	0.108721	0.141629	0.41977
