 	ta	vie	était	en	péril	lorsque	la	voiture	a	failli	te	heurter	</S>
a87	0.0420182	0.0442661	0.0794909	0.0887507	0.128372	0.184487	0.117311	0.106834	0.0729884	0.0602764	0.0330589	0.0287346	0.013412
a3	0.0566275	0.0651032	0.0734398	0.089941	0.108601	0.135918	0.0776247	0.0959243	0.0887398	0.0876125	0.069727	0.0341466	0.0165946
a10	0.10281	0.0555038	0.0603535	0.0759868	0.160574	0.159218	0.0960912	0.0796636	0.0599128	0.0572289	0.0394114	0.0316885	0.0215572
a97	0.175496	0.0852818	0.0794443	0.0808031	0.15247	0.134134	0.0818169	0.0588509	0.0501162	0.0465087	0.0271906	0.0171723	0.0107158
a83	0.171674	0.0723603	0.0692258	0.0716681	0.137933	0.13234	0.0819394	0.0701552	0.0649409	0.0587566	0.0364979	0.0218869	0.0106218
a34	0.193181	0.0827262	0.0904527	0.0968044	0.139907	0.113072	0.0763656	0.0406688	0.0354445	0.0284031	0.0305726	0.0415655	0.0308363
a56	0.369109	0.117126	0.0746002	0.0633722	0.105877	0.0730373	0.0528123	0.0238252	0.0172794	0.0142007	0.0173947	0.0335697	0.0377956
a93	0.30824	0.120886	0.080287	0.0660896	0.109079	0.0769907	0.0603296	0.027199	0.0172242	0.0136865	0.0165475	0.0474236	0.0560184
a70	0.220761	0.143272	0.094401	0.0785326	0.0908067	0.0668327	0.0578504	0.0262592	0.0197985	0.0193303	0.0294456	0.0671132	0.0855962
a61	0.155535	0.148486	0.121466	0.101442	0.11174	0.0884229	0.0771194	0.0347197	0.0212851	0.0161705	0.0156686	0.0436228	0.0643217
a75	0.124218	0.146943	0.128089	0.106161	0.120067	0.0968982	0.0902979	0.045721	0.0262504	0.018391	0.0128807	0.0340057	0.0500774
a25	0.145177	0.162149	0.136584	0.110265	0.131845	0.0992544	0.0882945	0.0454834	0.0205531	0.0123126	0.0071961	0.0157953	0.0250908
a69	0.0954017	0.145327	0.13313	0.110967	0.128808	0.110926	0.100505	0.0594461	0.0304476	0.0215499	0.0123136	0.0241444	0.0270318
a84	0.0638512	0.102358	0.117607	0.122023	0.114431	0.0998727	0.0981558	0.0615649	0.0346289	0.0164334	0.0133933	0.0466378	0.109043
a38	0.0308241	0.0716789	0.094536	0.121183	0.105334	0.10254	0.116727	0.0870197	0.0564885	0.028685	0.0175011	0.0495476	0.117935
a12	0.0324785	0.0714268	0.0918091	0.109684	0.111898	0.110337	0.126664	0.104389	0.0602248	0.0254345	0.0142585	0.0377435	0.103653
a47	0.0328482	0.0884465	0.109094	0.105975	0.118069	0.118325	0.131432	0.0987614	0.0539948	0.0282308	0.0159169	0.037435	0.0614725
a31	0.0267791	0.0663186	0.0859336	0.0934728	0.10789	0.116501	0.140751	0.129773	0.0827841	0.0455255	0.0212884	0.0382404	0.0447427
a21	0.031159	0.0820924	0.0991334	0.0978975	0.108242	0.1088	0.131385	0.117212	0.0728824	0.0430907	0.0225833	0.0422367	0.0432854
a96	0.0482582	0.0812499	0.105925	0.113117	0.125197	0.117489	0.127126	0.10045	0.0653662	0.0394671	0.0221724	0.0267215	0.0274608
a90	0.0165981	0.0415998	0.059438	0.0715023	0.0749873	0.0890061	0.12388	0.129376	0.0902221	0.0527347	0.040042	0.103582	0.107032
a25	0.0268628	0.0535786	0.0785869	0.097899	0.0833176	0.0857229	0.120681	0.125082	0.085714	0.0458546	0.0326873	0.0584159	0.105597
a44	0.0249225	0.0455249	0.0646111	0.0734124	0.0632325	0.0726331	0.0963681	0.114064	0.0924663	0.0579319	0.0509687	0.107103	0.136761
a84	0.0235273	0.0379029	0.0484074	0.0612613	0.0565273	0.0622587	0.098482	0.14453	0.109651	0.0544568	0.0451852	0.0872206	0.17059
a38	0.0211244	0.0368767	0.0535379	0.0788949	0.088272	0.0929572	0.117399	0.134569	0.0784136	0.0439773	0.0289572	0.0769166	0.148105
a25	0.0221543	0.0358245	0.0541586	0.0872795	0.115896	0.108797	0.130313	0.137657	0.0787514	0.049395	0.0312852	0.0599375	0.0885515
a96	0.0278578	0.0374113	0.0498434	0.0753059	0.105001	0.0891837	0.112482	0.119016	0.0673866	0.0398139	0.0365263	0.08891	0.151262
a61	0.00906257	0.014671	0.0199024	0.0289493	0.0301788	0.0320152	0.0482977	0.0715076	0.0630841	0.0413428	0.0690171	0.196379	0.375593
a75	0.00583515	0.0109229	0.0163531	0.023253	0.0213185	0.0244918	0.0385392	0.0530316	0.0470396	0.0362785	0.0701961	0.23732	0.41542
a66	0.0119572	0.0173235	0.0228142	0.030079	0.0298545	0.0281379	0.0411133	0.0585603	0.0457409	0.0302434	0.065819	0.214773	0.403584
a75	0.00520557	0.00742256	0.0126111	0.0236301	0.0296998	0.0296545	0.0378529	0.0563893	0.0503974	0.0369685	0.0509946	0.141164	0.518009
a85	0.00875834	0.012417	0.0164514	0.0232434	0.0253439	0.0224857	0.0321751	0.0485255	0.0378706	0.0259765	0.0634893	0.215354	0.467909
a61	0.0120476	0.0150658	0.0177285	0.0209235	0.022444	0.0216428	0.0299758	0.0469622	0.042441	0.0314622	0.073898	0.239643	0.425766
a66	0.0044677	0.00866409	0.0113987	0.0147128	0.0153981	0.0165017	0.0236855	0.0352599	0.0300861	0.0293493	0.0605904	0.182947	0.566939
a57	0.00247904	0.00323652	0.00483265	0.00860628	0.00983968	0.00997191	0.0119836	0.0204638	0.0308084	0.0324106	0.0598209	0.160177	0.64537
a87	0.0151348	0.0124034	0.0146298	0.0228459	0.0290213	0.0294234	0.0272547	0.0391343	0.0472604	0.0384494	0.045317	0.120641	0.558485
a23	0.0337767	0.0242752	0.0258709	0.0440085	0.0546917	0.0696445	0.0618494	0.105463	0.127407	0.109947	0.0827515	0.100825	0.159489
a99	0.0138958	0.00954765	0.00759627	0.0100098	0.0138727	0.0173871	0.0160108	0.0251941	0.0402059	0.0487899	0.116847	0.314761	0.365883
a97	0.0221511	0.0194712	0.0163934	0.0220028	0.0368524	0.0374508	0.0332318	0.0428906	0.0494273	0.0473585	0.0894744	0.279372	0.303923
a87	0.0213019	0.0193199	0.019527	0.0302044	0.0589316	0.0534742	0.0454417	0.0516089	0.0488283	0.0386395	0.0585533	0.222427	0.331742
</S>	0.0336028	0.0252582	0.0261918	0.0432365	0.0814096	0.0747434	0.0650907	0.0729907	0.0684481	0.0514132	0.0622958	0.17953	0.215789
