 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
a23	0.183932	0.243715	0.154754	0.0828522	0.0825425	0.064991	0.0446267	0.0419876	0.0441023	0.0564971
a85	0.234409	0.212609	0.154842	0.07203	0.0728724	0.0581431	0.0403933	0.0410307	0.0505241	0.0631472
a87	0.216046	0.253567	0.175742	0.0710264	0.0612633	0.0387159	0.0254043	0.0316133	0.0452896	0.0813319
a23	0.235024	0.251737	0.185381	0.087393	0.0620199	0.0328907	0.0214312	0.0260575	0.0385857	0.0594798
a87	0.181951	0.180587	0.103329	0.03347	0.0319979	0.0216542	0.031485	0.0729861	0.130413	0.212127
a23	0.194341	0.225534	0.132175	0.0462948	0.0506946	0.0350943	0.0380578	0.0595867	0.08786	0.130362
a20	0.130446	0.158875	0.0867491	0.0352724	0.0370181	0.0291307	0.0471437	0.101614	0.151831	0.22192
a94	0.302391	0.265028	0.158832	0.0707258	0.0606049	0.0433075	0.0267665	0.0244364	0.0235665	0.0243409
a20	0.242158	0.2138	0.184122	0.132314	0.106711	0.0625323	0.0245782	0.0134042	0.0105674	0.00981315
a41	0.165327	0.164485	0.176121	0.169243	0.143727	0.09204	0.0391507	0.0200927	0.0160195	0.0137942
a0	0.144392	0.162827	0.185898	0.180414	0.152938	0.0892254	0.0389783	0.0174086	0.0140947	0.0138233
a11	0.116773	0.140477	0.198993	0.192188	0.177655	0.0904631	0.0346119	0.0173218	0.0154957	0.0160212
a24	0.0984738	0.12094	0.186268	0.185099	0.203457	0.122535	0.042298	0.0150468	0.0129783	0.0129041
a41	0.0890197	0.11213	0.182516	0.185846	0.21873	0.125333	0.0450079	0.0147594	0.0130532	0.0136054
a27	0.0808041	0.103276	0.172377	0.179481	0.223682	0.127198	0.0526811	0.0196968	0.0187654	0.02204
a11	0.0452886	0.0668983	0.11954	0.117521	0.229451	0.184572	0.0917521	0.0409056	0.0456863	0.0583853
a75	0.0423298	0.0574063	0.089315	0.0799717	0.180369	0.197852	0.129828	0.0675528	0.0722596	0.0831159
a41	0.0826565	0.108416	0.127863	0.104304	0.168582	0.115301	0.0642938	0.0549039	0.0724733	0.101207
a96	0.0581496	0.0742549	0.100145	0.104649	0.158945	0.0997401	0.081064	0.0838344	0.0994084	0.13981
a18	0.0749953	0.0791562	0.107418	0.0997648	0.139388	0.119203	0.0956067	0.0792249	0.0908601	0.114382
a24	0.0744995	0.080799	0.0927019	0.0699622	0.11433	0.138748	0.137766	0.0921703	0.091236	0.107788
a25	0.0572655	0.0582925	0.0754861	0.064097	0.0949439	0.110265	0.132719	0.12739	0.134231	0.14531
a87	0.0653219	0.080831	0.0850689	0.0580128	0.117361	0.152978	0.154481	0.0947598	0.0873162	0.10387
a23	0.0662602	0.0713706	0.0610324	0.0311045	0.0666149	0.0831796	0.110701	0.1236	0.152497	0.23364
a10	0.0769849	0.0719738	0.0566286	0.030547	0.0614491	0.0730321	0.0899225	0.0965183	0.16287	0.280074
a54	0.0132718	0.0164691	0.0168968	0.00989984	0.0272853	0.029943	0.0573181	0.130617	0.246484	0.451816
a41	0.0360143	0.0448162	0.0544696	0.0438426	0.0757734	0.0587307	0.0532173	0.0999794	0.18029	0.352867
a27	0.0485734	0.0622575	0.0930962	0.0823647	0.140265	0.100125	0.09455	0.0912234	0.119487	0.168057
a4	0.0130706	0.0162754	0.0221087	0.0174496	0.0359228	0.0433746	0.0716842	0.125516	0.236755	0.417843
a76	0.0453573	0.048811	0.0469493	0.0302209	0.0444245	0.0558778	0.0763049	0.110043	0.198295	0.343717
a41	0.0283387	0.0343177	0.0426488	0.0328245	0.0493382	0.0472669	0.0748499	0.130935	0.214286	0.345194
a18	0.0246295	0.0302985	0.0417353	0.0349357	0.0581967	0.0619923	0.0984217	0.132067	0.194432	0.323291
a76	0.0123021	0.0145718	0.0211691	0.0192092	0.0257962	0.031303	0.071039	0.159673	0.259177	0.385759
a94	0.0280744	0.0312454	0.0360882	0.029826	0.0411949	0.0404725	0.0852347	0.155802	0.227283	0.324779
a75	0.011199	0.0127767	0.0164712	0.0162262	0.0205721	0.0209461	0.047695	0.148435	0.274821	0.430858
a41	0.0368412	0.0397614	0.0427451	0.0343316	0.0407459	0.0360616	0.0697012	0.147522	0.228615	0.323675
a94	0.010411	0.0130473	0.0166087	0.0147335	0.0225421	0.0243758	0.0617868	0.151639	0.266551	0.418305
