 	je	n'	ai	pas	pu	faire	autrement	que	d'	y	aller	</S>
a87	0.176212	0.129751	0.134558	0.136516	0.12975	0.0779472	0.0714801	0.0463897	0.0329822	0.0251738	0.0204581	0.0187824
a23	0.302807	0.13331	0.0797064	0.0415786	0.0330639	0.0380796	0.0596088	0.0350102	0.0341526	0.0489496	0.0772798	0.116453
a13	0.211671	0.164125	0.12146	0.0681946	0.0523432	0.0494974	0.0585762	0.0364935	0.0362455	0.045814	0.061766	0.0938129
a11	0.268693	0.204297	0.153424	0.10738	0.077733	0.0507705	0.0429411	0.0270504	0.019418	0.0164179	0.0134557	0.0184183
a24	0.360525	0.271467	0.149859	0.0920682	0.04587	0.0223627	0.0152778	0.0110138	0.00833249	0.00853967	0.00635373	0.00832973
a11	0.255816	0.217534	0.141601	0.125752	0.0841464	0.0442024	0.03499	0.0264249	0.0207176	0.0186666	0.0144738	0.0156747
a90	0.201338	0.185655	0.13803	0.144979	0.103658	0.0593352	0.0466065	0.0341732	0.025833	0.0224224	0.0181324	0.0198372
a4	0.123289	0.139404	0.133941	0.155346	0.126029	0.088511	0.0648184	0.0445	0.0320717	0.0295887	0.0273703	0.0351306
a90	0.116824	0.152673	0.154499	0.183052	0.134846	0.0797815	0.052021	0.0329439	0.0230111	0.0217666	0.0209414	0.0276408
a76	0.105788	0.141612	0.155093	0.180537	0.129306	0.0811542	0.0591825	0.0389689	0.0261602	0.0253019	0.025192	0.0317048
a94	0.0656291	0.0971777	0.133859	0.155612	0.111957	0.0869108	0.0821743	0.0654668	0.0513166	0.048931	0.0491268	0.051839
a32	0.0414031	0.0629218	0.112028	0.186607	0.173834	0.115381	0.0984236	0.0605755	0.0376839	0.0335667	0.0357423	0.041834
a75	0.0251944	0.0383055	0.0827725	0.161984	0.196127	0.14499	0.124646	0.0747864	0.0430157	0.0358943	0.0344254	0.03786
a98	0.038973	0.0443806	0.0743873	0.123353	0.109861	0.0945817	0.102917	0.0880935	0.0757374	0.0744891	0.0837095	0.0895179
a73	0.0321567	0.0347289	0.0577832	0.102202	0.102021	0.0917666	0.104151	0.0891424	0.0860019	0.0890569	0.103427	0.107564
a94	0.018178	0.0178273	0.030173	0.0651381	0.104601	0.123701	0.135545	0.105794	0.0932046	0.0890543	0.102979	0.113804
a41	0.0222148	0.0201055	0.0302929	0.0571053	0.102048	0.126128	0.144656	0.114438	0.0949803	0.0863535	0.0964448	0.105232
a94	0.0189056	0.0193684	0.035174	0.068104	0.0889744	0.110991	0.110829	0.0908313	0.0980236	0.10394	0.125697	0.129162
a41	0.019695	0.0202092	0.0342426	0.0596134	0.0925133	0.12854	0.141655	0.108103	0.0965095	0.0902961	0.100679	0.107944
a18	0.0200889	0.0182816	0.0296137	0.0471085	0.0619988	0.0933973	0.104705	0.090532	0.102294	0.111757	0.149129	0.171094
a32	0.0153479	0.0151828	0.0267493	0.0432448	0.0692038	0.132568	0.155736	0.120091	0.109154	0.0995743	0.103077	0.11007
a9	0.0205226	0.0150198	0.022797	0.0345331	0.0548476	0.12083	0.156833	0.122131	0.115413	0.0994631	0.108985	0.128624
a10	0.0242198	0.0152425	0.0193928	0.0267876	0.0429664	0.101733	0.156509	0.131171	0.126362	0.116383	0.112958	0.126275
a11	0.0390944	0.0224888	0.0229577	0.0248352	0.0325837	0.0750791	0.123804	0.106156	0.117834	0.11726	0.140832	0.177075
a90	0.0548029	0.0281281	0.0248905	0.0236579	0.0304629	0.060743	0.0966775	0.0799646	0.0929418	0.104457	0.151802	0.251472
a82	0.0393803	0.0254147	0.0281952	0.0306186	0.0353226	0.0710802	0.105392	0.09099	0.0972126	0.102169	0.145428	0.228797
a40	0.00977124	0.00691175	0.0103241	0.0142764	0.0237172	0.0660344	0.09676	0.0915056	0.116482	0.134556	0.171008	0.258653
a98	0.0189858	0.0149399	0.0191639	0.0236759	0.0333187	0.0668064	0.0936503	0.0830416	0.0950148	0.0981012	0.165298	0.288003
a73	0.00929174	0.00892017	0.0153662	0.0226958	0.0300584	0.0693593	0.105142	0.0981574	0.112343	0.115942	0.162936	0.249788
a84	0.00459915	0.00448865	0.00762924	0.0110411	0.0194713	0.0597179	0.101517	0.0965886	0.118399	0.125261	0.176396	0.27489
a57	0.00278177	0.00226662	0.00337539	0.00452896	0.00786468	0.0290458	0.0590318	0.0634607	0.106523	0.136951	0.231575	0.352595
a38	0.00459504	0.00263425	0.00282322	0.00268638	0.00361087	0.0110959	0.0264783	0.0287519	0.0634715	0.113927	0.242915	0.49701
a50	0.00583032	0.00361121	0.00397803	0.00331057	0.00450445	0.0145746	0.0342359	0.0335923	0.064107	0.100067	0.234873	0.497316
a13	0.00940388	0.0056908	0.00644759	0.00494124	0.00527022	0.0136717	0.0306124	0.0369258	0.0707693	0.109109	0.244789	0.462369
a54	0.00717181	0.00469566	0.00581133	0.00509651	0.00594606	0.0148998	0.0297772	0.0365296	0.0728222	0.110589	0.238886	0.467775
a73	0.014598	0.00993771	0.0128119	0.0110872	0.0106968	0.0235636	0.0399657	0.0380648	0.0601426	0.0836579	0.204747	0.490727
a94	0.00490976	0.00330213	0.00422422	0.00398058	0.00600094	0.0187027	0.0365488	0.0387695	0.0698067	0.0979841	0.233652	0.482119
a90	0.00545225	0.00321981	0.00356866	0.00312281	0.00428587	0.0135518	0.0281546	0.0318923	0.0640068	0.099006	0.239109	0.50463
a25	0.00909429	0.00747246	0.010177	0.0110795	0.0156644	0.0341568	0.0609266	0.0552256	0.0783104	0.0999851	0.203494	0.414414
a90	0.00401752	0.0034289	0.00512838	0.0060975	0.00847251	0.0200871	0.0385742	0.0404802	0.0676633	0.100477	0.230351	0.475223
a58	0.00653735	0.00522639	0.00761797	0.00951209	0.0147126	0.033385	0.0538483	0.0533454	0.0800385	0.101182	0.211987	0.422607
a53	0.00429546	0.0029875	0.00374272	0.00350448	0.00512793	0.0144177	0.0276598	0.0298732	0.0558305	0.084077	0.223619	0.544865
a69	0.0100535	0.00679065	0.00810117	0.00772747	0.00956068	0.0225968	0.0439505	0.0395422	0.0595799	0.083071	0.208453	0.500573
a58	0.00395947	0.00263174	0.00307808	0.00276116	0.00416522	0.0113366	0.0244457	0.0237721	0.0439992	0.0795183	0.224375	0.575957
a84	0.00599282	0.00327376	0.0032098	0.00206237	0.00234176	0.00650505	0.016432	0.0180923	0.0413514	0.0798334	0.239134	0.581771
a57	0.0050374	0.00236051	0.00196716	0.00107462	0.000935434	0.00269371	0.00760251	0.00860224	0.024362	0.0534581	0.22287	0.669036
