 	ils	se	sont	anuités	dans	la	forêt	ils	n'	ont	pas	pu	rentrer	</S>
a23	0.15321	0.102681	0.0799257	0.133628	0.110652	0.106212	0.0792477	0.0541789	0.0418153	0.0319193	0.0275675	0.0255071	0.025402	0.0280542
a38	0.285395	0.157599	0.112256	0.120469	0.0789213	0.0495608	0.032955	0.0181252	0.0149325	0.0149322	0.0165415	0.0233206	0.0358904	0.0391015
a30	0.191246	0.220854	0.194731	0.157591	0.0554421	0.0312007	0.0231535	0.0156996	0.0133585	0.0122567	0.0123206	0.0149855	0.0264089	0.030752
a35	0.290973	0.263466	0.190386	0.147923	0.0581577	0.0217027	0.00988242	0.00407728	0.00256717	0.00200936	0.00165725	0.00169974	0.00263735	0.00286124
a26	0.342066	0.247065	0.153401	0.12523	0.0562909	0.0270496	0.0155411	0.00892083	0.00637905	0.00470609	0.00364154	0.00291277	0.00336422	0.00343231
a21	0.193684	0.194438	0.19742	0.154083	0.0858138	0.0517989	0.0320796	0.0212343	0.015788	0.0132894	0.0107836	0.00875762	0.00996867	0.0108609
a47	0.243064	0.223748	0.165645	0.132356	0.0807485	0.0465631	0.0307938	0.0204519	0.0146695	0.0108052	0.0080039	0.00677363	0.00762836	0.00874866
a0	0.112269	0.148105	0.167944	0.174148	0.131456	0.0839221	0.0540289	0.0337431	0.023231	0.0173054	0.0132492	0.0117653	0.0135562	0.0152775
a24	0.0730248	0.0939184	0.131585	0.128296	0.158	0.134389	0.0963828	0.0577974	0.0370304	0.0233015	0.0158898	0.0137199	0.0170139	0.0196516
a26	0.0526977	0.0652923	0.101749	0.111492	0.14605	0.143915	0.12138	0.0807214	0.0536959	0.0317191	0.0204858	0.0173402	0.0242254	0.0292358
a24	0.0495625	0.0561093	0.0823569	0.0889686	0.123991	0.133043	0.124285	0.0947022	0.0681354	0.0416687	0.0267872	0.0228611	0.0376393	0.0498904
a25	0.0496225	0.0613909	0.0853674	0.0982369	0.114132	0.112212	0.108933	0.0935026	0.0778731	0.0567645	0.0382361	0.0281784	0.0370568	0.0384932
a87	0.0391368	0.0464653	0.0644362	0.077448	0.123994	0.140808	0.137447	0.112228	0.0875422	0.0540565	0.032176	0.0214454	0.0302456	0.0325713
a79	0.0155704	0.0160289	0.0199545	0.0312573	0.067243	0.108473	0.125445	0.140888	0.127394	0.0981878	0.0710605	0.0499987	0.0627951	0.0657034
a90	0.0178397	0.0267499	0.0345609	0.0391081	0.072633	0.119579	0.133058	0.112188	0.0951762	0.0747345	0.0578599	0.0511753	0.0801692	0.0851681
a76	0.0470434	0.0529225	0.0577184	0.0680596	0.10623	0.120271	0.118891	0.099695	0.0826356	0.0658402	0.0504141	0.03945	0.0460359	0.0447932
a35	0.0457806	0.0488591	0.0494419	0.060527	0.0933953	0.129031	0.126642	0.104086	0.0845768	0.065456	0.0521141	0.0444307	0.0486292	0.0470309
a26	0.0208808	0.0258174	0.0325056	0.048015	0.0837125	0.130389	0.131636	0.109635	0.0907944	0.0708455	0.0580763	0.0536751	0.0708439	0.0731741
a24	0.00985837	0.0125561	0.0156036	0.0270029	0.0461377	0.0964658	0.131807	0.113724	0.101455	0.0796913	0.0710538	0.072644	0.10604	0.115961
a11	0.00679398	0.00966724	0.012931	0.0259641	0.0508803	0.102597	0.136542	0.116137	0.103261	0.0853932	0.0747624	0.0720635	0.101357	0.10165
a75	0.00622799	0.00734077	0.00848395	0.0164478	0.031128	0.0785649	0.125859	0.112409	0.102871	0.0852118	0.0775344	0.0799947	0.125885	0.142042
a14	0.00443616	0.00742966	0.0105394	0.0223373	0.0394375	0.0963833	0.134461	0.116706	0.101751	0.0795044	0.0719407	0.0741438	0.116413	0.124517
a44	0.00427108	0.00850241	0.0127156	0.0318453	0.0428082	0.0701639	0.0852227	0.080939	0.0797949	0.078806	0.082913	0.103536	0.158458	0.160024
a57	0.00181176	0.00263046	0.00390342	0.0118419	0.0175461	0.0364351	0.0615116	0.0712652	0.080853	0.0875804	0.102692	0.12868	0.191918	0.201332
a38	0.00351258	0.00434804	0.00529679	0.00711673	0.0108744	0.0263441	0.0471351	0.0706344	0.0838962	0.09201	0.105463	0.124838	0.197269	0.221261
a90	0.00280009	0.00392877	0.00539307	0.0115294	0.0166056	0.0406654	0.0636675	0.069397	0.0725297	0.0712121	0.0819978	0.116627	0.21089	0.232757
a76	0.00378546	0.00535231	0.00658056	0.0151182	0.022006	0.0459155	0.064383	0.0636999	0.0649395	0.0662699	0.0811108	0.121692	0.212271	0.226876
a69	0.0042997	0.00754028	0.0104025	0.0211638	0.0205925	0.0303933	0.0404594	0.0456984	0.0528165	0.0623213	0.0810658	0.130936	0.234869	0.257442
a84	0.00522106	0.00821927	0.0116646	0.0297959	0.0274205	0.0356222	0.0429525	0.0418455	0.0474963	0.058413	0.0835194	0.143909	0.224656	0.239265
a87	0.00392862	0.00431209	0.00600818	0.010136	0.0111214	0.0224934	0.0373205	0.0517466	0.0639009	0.0773436	0.100393	0.135069	0.210729	0.265498
a23	0.0115188	0.0114252	0.0119872	0.00888025	0.00679506	0.0124133	0.0220368	0.0330932	0.0473233	0.0695957	0.0905601	0.138425	0.241865	0.294081
a40	0.0162704	0.0246457	0.0312055	0.023828	0.0129324	0.0199005	0.0308626	0.0365039	0.0419847	0.0682462	0.0886463	0.136458	0.225701	0.242816
a44	0.0184841	0.0171004	0.0139516	0.0144132	0.0130286	0.0252765	0.030963	0.032197	0.0357439	0.053015	0.0760597	0.128522	0.241085	0.30016
a57	0.00657882	0.00787261	0.00816513	0.011147	0.0178994	0.036177	0.048162	0.0484896	0.0466637	0.0491164	0.0611027	0.116065	0.251447	0.291114
a20	0.00252241	0.00309149	0.00327658	0.00496439	0.00599475	0.0149038	0.0291057	0.0391281	0.0485863	0.0623368	0.0839076	0.151913	0.254571	0.295698
a35	0.00447408	0.00682311	0.00857548	0.011318	0.0105014	0.0200566	0.0273685	0.03069	0.0346188	0.0447126	0.062378	0.138115	0.282866	0.317502
a76	0.0023821	0.00379073	0.00478391	0.00788426	0.0125503	0.0272435	0.0343259	0.0398589	0.0411443	0.0486296	0.0664293	0.13395	0.272063	0.304965
a90	0.00335456	0.0059534	0.00765392	0.0147271	0.0189697	0.0337165	0.0426263	0.0480576	0.0499571	0.0550769	0.0716256	0.137136	0.249356	0.261789
a38	0.00210148	0.00344328	0.00481661	0.00863341	0.0105099	0.0170627	0.0237127	0.027514	0.0298129	0.034613	0.0479724	0.110569	0.281028	0.398211
a94	0.0012502	0.00183656	0.00276721	0.00709677	0.00923891	0.0140696	0.0191793	0.020896	0.0234847	0.0298149	0.0467336	0.116402	0.286603	0.420628
a54	0.00164516	0.00206629	0.00290233	0.0076248	0.00974442	0.0165931	0.0248022	0.0296539	0.0343084	0.0429521	0.0624176	0.126258	0.26414	0.374892
a73	0.00234615	0.0032782	0.00438433	0.00970243	0.00911513	0.0120813	0.0149282	0.0152452	0.0177948	0.0259449	0.0450991	0.132567	0.306745	0.400769
a44	0.00139727	0.00189533	0.00237003	0.00614429	0.00753254	0.0109466	0.014619	0.0168521	0.0197111	0.027723	0.0482752	0.13544	0.302926	0.404168
a57	0.00131937	0.00183838	0.00274416	0.00684195	0.00830439	0.0122804	0.0157281	0.0165768	0.0183401	0.0235979	0.0386343	0.106611	0.283608	0.463575
a38	0.00124408	0.0017962	0.00253707	0.00565189	0.00566551	0.00960258	0.0149092	0.019296	0.0241038	0.0339644	0.0544325	0.13375	0.278058	0.414989
a9	0.00209119	0.00263138	0.00320958	0.0054291	0.00446967	0.00787802	0.0129505	0.0178673	0.0238194	0.0369885	0.0626866	0.152758	0.273532	0.393689
a53	0.00214428	0.00307133	0.00386091	0.00546538	0.00373629	0.00614977	0.0106148	0.017326	0.025097	0.0412725	0.067712	0.148488	0.267948	0.397114
a90	0.00230946	0.0029395	0.00341179	0.00630388	0.00460961	0.0067916	0.0101208	0.0110344	0.0139077	0.0238617	0.0443183	0.140447	0.286736	0.443208
a4	0.00277375	0.00379509	0.00460124	0.0103582	0.00707346	0.008298	0.0109102	0.0112252	0.0128915	0.0200691	0.0354946	0.1161	0.286201	0.470209
a13	0.00312491	0.00448812	0.00619673	0.0128311	0.00806875	0.00978483	0.0140796	0.0154568	0.0180613	0.0260601	0.0447134	0.117744	0.265889	0.453501
a9	0.00377661	0.00550066	0.00753518	0.0148593	0.00950882	0.0122735	0.0176429	0.0209467	0.0247778	0.0353888	0.0576139	0.131686	0.248184	0.410306
a87	0.00361771	0.00552191	0.00740858	0.00890288	0.00421696	0.0054914	0.00886164	0.0126469	0.0197724	0.041745	0.0764676	0.160424	0.249687	0.395235
</S>	0.0118748	0.0159823	0.0182601	0.0157977	0.00676619	0.00797075	0.011869	0.0158024	0.0240775	0.0507282	0.0838273	0.144116	0.241708	0.35122
