 	cet	homme	est	accablé	de	tristesse	parce	qu'	il	a	perdu	sa	femme	</S>
a66	0.237164	0.122739	0.124913	0.114232	0.0949622	0.0656389	0.0678068	0.0495459	0.0388218	0.026227	0.0193968	0.0147846	0.0119845	0.0117831
a87	0.283272	0.155119	0.0990473	0.0766722	0.0659157	0.0481755	0.0493816	0.0424068	0.0376055	0.0296208	0.0279948	0.0251804	0.0276364	0.0319723
a97	0.206883	0.102688	0.0741881	0.074626	0.0801647	0.0690929	0.0906394	0.0754865	0.0474291	0.0369743	0.0358005	0.0324784	0.0341015	0.0394475
a87	0.176707	0.0981889	0.0760666	0.0890424	0.108127	0.0833029	0.1068	0.0790599	0.0453937	0.0342549	0.0304507	0.0251918	0.0226117	0.0248028
a97	0.182456	0.0919538	0.0665208	0.0732474	0.0905933	0.0745212	0.101401	0.082672	0.0523011	0.0434414	0.0408103	0.0352764	0.0317861	0.0330183
a87	0.180386	0.0875301	0.0720572	0.0763849	0.08394	0.0701905	0.0933238	0.081084	0.0534393	0.0447456	0.0440074	0.0398286	0.0360511	0.037032
a97	0.217223	0.0987413	0.0784926	0.0589496	0.0630791	0.0563711	0.0780645	0.0713621	0.0512083	0.0444676	0.0478716	0.0465805	0.0435068	0.044082
a99	0.234322	0.122548	0.094065	0.0396454	0.0448617	0.0397235	0.0516726	0.0513137	0.0445824	0.0419704	0.0545306	0.0592502	0.0611544	0.0603605
a83	0.249078	0.121206	0.0758386	0.0270289	0.0334036	0.0359709	0.0472288	0.0477783	0.0444816	0.0423615	0.059144	0.0682252	0.074034	0.0742198
a98	0.21082	0.110799	0.0651369	0.023553	0.02727	0.0308803	0.0384146	0.043419	0.0480933	0.0464692	0.0682444	0.0797691	0.0945901	0.112541
a6	0.151706	0.153163	0.120208	0.0442172	0.0293814	0.0270676	0.0302729	0.0343962	0.042911	0.0403387	0.0589218	0.0713454	0.0900542	0.106016
a85	0.113106	0.155884	0.156939	0.0931154	0.0475676	0.0413718	0.0432773	0.0413881	0.0428089	0.0359167	0.0415739	0.0474208	0.0599925	0.0796375
a5	0.0967521	0.159983	0.172981	0.0974522	0.0536079	0.0447313	0.045423	0.0430968	0.0473146	0.038991	0.0425273	0.0439222	0.0502187	0.0629985
a61	0.0827224	0.152189	0.210792	0.1763	0.0739036	0.055026	0.0527616	0.0444575	0.0370304	0.0241038	0.0201131	0.0196127	0.0221373	0.0288507
a18	0.0731609	0.128481	0.189128	0.194336	0.0815407	0.0585343	0.05558	0.046331	0.0376169	0.025727	0.0226087	0.0229042	0.0279662	0.0360855
a24	0.0410938	0.0659973	0.11071	0.212159	0.12749	0.0919616	0.0834626	0.0649543	0.047673	0.0312673	0.0257584	0.0248728	0.0315212	0.0410797
a18	0.0241657	0.0369474	0.0687039	0.177822	0.138235	0.11784	0.103541	0.0816122	0.058565	0.0351183	0.0288206	0.0284003	0.0411773	0.0590511
a96	0.0188277	0.0263318	0.0518962	0.15843	0.142965	0.126117	0.108811	0.0864483	0.0632961	0.0400911	0.0334285	0.0332299	0.0461929	0.0639356
a83	0.0131554	0.0234932	0.0490199	0.169704	0.142288	0.122981	0.112433	0.0917986	0.068272	0.0423345	0.0336144	0.0322591	0.0410301	0.0576174
a75	0.0105471	0.0153803	0.0317899	0.123523	0.153909	0.155064	0.133463	0.106623	0.074837	0.0430844	0.0321153	0.0295017	0.0381582	0.0520048
a92	0.00561661	0.0103365	0.020805	0.0625978	0.0830801	0.102525	0.0972719	0.0951868	0.0943214	0.0845331	0.0758931	0.072882	0.0821013	0.112849
a5	0.00930378	0.0172603	0.0352833	0.115275	0.122726	0.125937	0.117783	0.105092	0.0910909	0.0655877	0.0517405	0.0442	0.0432107	0.0555104
a61	0.00616786	0.00998072	0.0194511	0.0716897	0.111074	0.133764	0.121632	0.110172	0.0983068	0.0748475	0.0613702	0.0536197	0.0540997	0.0738253
a96	0.00392843	0.00673557	0.0131839	0.0646336	0.112677	0.151438	0.13767	0.124573	0.106945	0.0755443	0.0534382	0.0430812	0.0450315	0.0611209
a75	0.00290095	0.0048494	0.010231	0.0580114	0.11628	0.164943	0.142201	0.125695	0.103422	0.0725304	0.050696	0.0404395	0.0447778	0.0630219
a5	0.00189249	0.00316146	0.00620006	0.0286282	0.0661477	0.115277	0.110359	0.103142	0.0986847	0.0860118	0.0754142	0.0791318	0.0923299	0.133619
a36	0.0031124	0.00438751	0.00762538	0.0305342	0.064218	0.113203	0.109178	0.109353	0.107094	0.0914457	0.0763064	0.0751692	0.0857952	0.122579
a18	0.00174563	0.00243587	0.00470497	0.0227912	0.0572863	0.126491	0.108075	0.106226	0.0992089	0.088665	0.0758258	0.0719166	0.0891998	0.145427
a11	0.00104401	0.00125933	0.0021858	0.0114656	0.0337931	0.0947043	0.0790698	0.0901836	0.0907298	0.0969493	0.0902287	0.0941409	0.119933	0.194312
a75	0.00167071	0.00171866	0.00251925	0.00982071	0.02744	0.0830878	0.0634764	0.0760319	0.0756497	0.0902561	0.0878691	0.107283	0.150424	0.222752
a5	0.000522403	0.000840852	0.00141782	0.00604747	0.0124613	0.0392064	0.0389574	0.0501601	0.0648679	0.0798111	0.0861141	0.114344	0.193382	0.311867
a36	0.000846919	0.00101764	0.00174159	0.00827471	0.0207922	0.0556038	0.0491915	0.0592468	0.063937	0.0785782	0.0895264	0.128513	0.182687	0.260042
a88	0.000628673	0.000696558	0.00113002	0.00507532	0.0113146	0.0356703	0.0290997	0.0366324	0.0415024	0.058943	0.0758374	0.125642	0.22702	0.350809
a70	0.000478894	0.000510754	0.000735412	0.00284457	0.00800408	0.0293311	0.0231097	0.0308957	0.0350233	0.0527364	0.0698683	0.12608	0.249072	0.37131
a4	0.000310563	0.000377885	0.000607087	0.00331905	0.00895488	0.0253816	0.0209613	0.0259078	0.0284628	0.0436775	0.0575689	0.111287	0.258185	0.414999
a93	0.000180404	0.000224501	0.000383683	0.00228058	0.00644846	0.0196274	0.0164381	0.0208011	0.0245646	0.0420289	0.0584341	0.114054	0.269241	0.425293
a94	0.000193693	0.000261168	0.000477659	0.00267144	0.00737184	0.0208797	0.0174828	0.0211527	0.0239451	0.0392142	0.0576685	0.117401	0.267628	0.423652
a11	0.000150149	0.000182417	0.00028908	0.00179964	0.00511318	0.0149667	0.0126306	0.0160108	0.0186946	0.0334295	0.048584	0.105064	0.277558	0.465528
a54	0.000437125	0.000461505	0.000582929	0.00196523	0.00551783	0.0188783	0.0166876	0.0230314	0.0276271	0.0434689	0.0622563	0.122043	0.265891	0.411152
a7	0.000145826	0.000194738	0.000295335	0.00164365	0.00354103	0.00914436	0.00805797	0.00989725	0.0117109	0.0242621	0.0393867	0.0944229	0.290795	0.506503
a36	0.000335496	0.000391269	0.00052845	0.0020139	0.00479515	0.0139451	0.0121785	0.0154964	0.0174317	0.0314055	0.0498495	0.105438	0.268617	0.477574
a11	0.00176547	0.00169404	0.00178127	0.00321695	0.00722183	0.018237	0.0184833	0.02372	0.027479	0.041932	0.0614949	0.11329	0.255293	0.424391
a9	0.00291529	0.00280499	0.00279504	0.00508465	0.0106634	0.0259281	0.0267323	0.0307324	0.0328724	0.0468225	0.065778	0.118956	0.248805	0.37911
a10	0.0375668	0.023767	0.0180973	0.020304	0.0332967	0.0511318	0.0564362	0.0641891	0.0613322	0.0710091	0.0859155	0.109812	0.165064	0.202078
a87	0.0832018	0.0422039	0.0286616	0.0370921	0.0546204	0.0585904	0.0626153	0.0641756	0.0561613	0.0672486	0.0777748	0.0910879	0.126375	0.150191
a97	0.0372101	0.0258238	0.0227145	0.052796	0.0740039	0.0941769	0.090498	0.0959334	0.0820412	0.0799955	0.0841224	0.0858615	0.0878998	0.0869231
a87	0.0225369	0.0162229	0.0165346	0.0551816	0.124036	0.136491	0.129549	0.102432	0.0717685	0.0602764	0.0591181	0.0607689	0.0686437	0.0764406
a97	0.0223963	0.0170927	0.0169129	0.0484387	0.0962252	0.104267	0.10644	0.087192	0.0615529	0.0549422	0.0585871	0.0691378	0.103809	0.153005
a99	0.0222827	0.0168377	0.0176382	0.0517086	0.0786516	0.0766189	0.0827801	0.0725493	0.0567658	0.0542729	0.0624402	0.0776036	0.126174	0.203677
a97	0.0163718	0.0137521	0.0118245	0.0207604	0.0330028	0.0398018	0.049281	0.055682	0.0583863	0.0693285	0.0928428	0.118715	0.164803	0.255448
a99	0.0127271	0.00976171	0.00930024	0.0206294	0.0352663	0.0366079	0.0429502	0.043887	0.041157	0.05016	0.071365	0.102079	0.18791	0.336199
a97	0.0185675	0.0140912	0.0120671	0.0204399	0.033287	0.0368039	0.0463382	0.0501012	0.0495013	0.0594821	0.0834919	0.114329	0.176577	0.284923
</S>	0.0219697	0.0134037	0.0115139	0.0219398	0.0332457	0.0341236	0.0404968	0.0409694	0.0389398	0.0498151	0.0750461	0.106668	0.190702	0.321167
