 	son	visage	est	enflé	</S>
a66	0.34529	0.215485	0.168889	0.175491	0.0948448
a87	0.246986	0.244527	0.240351	0.195788	0.0723475
a23	0.491555	0.260209	0.127645	0.0831691	0.0374226
a62	0.347169	0.25342	0.181035	0.1532	0.0651764
a12	0.399587	0.270001	0.182322	0.0967631	0.0513275
a47	0.339707	0.295874	0.217622	0.101776	0.0450214
a21	0.166929	0.275659	0.322298	0.171485	0.0636293
a5	0.256219	0.324944	0.220144	0.139027	0.0596656
a75	0.2403	0.268096	0.219288	0.18515	0.0871659
a98	0.208625	0.175522	0.192642	0.237545	0.185666
a92	0.114971	0.109633	0.202854	0.32425	0.248293
a79	0.0817275	0.0785295	0.173305	0.347985	0.318453
a56	0.0526077	0.0546874	0.164246	0.378033	0.350427
a47	0.0269616	0.0311775	0.112691	0.356395	0.472774
a12	0.0231234	0.0256639	0.0809781	0.297939	0.572295
a61	0.00710867	0.0110321	0.0400783	0.222611	0.71917
a56	0.00896674	0.0144038	0.043299	0.191291	0.74204
a43	0.0071463	0.014178	0.0471076	0.189894	0.741674
a75	0.0105423	0.0252342	0.0822915	0.241034	0.640898
a98	0.00457272	0.00989276	0.0438691	0.223067	0.718599
a41	0.0074023	0.0122363	0.0399777	0.185098	0.755285
a56	0.00650178	0.00986415	0.0360157	0.175456	0.772162
a43	0.00783971	0.0126711	0.0398997	0.163456	0.776133
a0	0.00851662	0.0180179	0.0677126	0.209201	0.696551
a27	0.0449902	0.0743787	0.133771	0.247453	0.499407
a10	0.2506	0.181915	0.165602	0.194815	0.207068
a87	0.3754	0.2118	0.158684	0.148641	0.105476
a23	0.317529	0.211836	0.163504	0.172587	0.134544
a87	0.0985555	0.0774031	0.107011	0.260162	0.456869
a23	0.018848	0.0217052	0.0679774	0.303403	0.588067
a99	0.0454307	0.0401447	0.0901291	0.30075	0.523545
a38	0.0711621	0.0629929	0.145131	0.287586	0.433127
a36	0.110643	0.117678	0.19265	0.262	0.317029
</S>	0.0756042	0.0905063	0.171548	0.285137	0.377205
