 	ces	jeunes	filles	ont	le	même	âge	</S>
a66	0.323815	0.182862	0.148075	0.128772	0.097086	0.0582668	0.0346211	0.0265021
a87	0.345614	0.216568	0.122161	0.0790623	0.0557487	0.0538306	0.0524552	0.0745607
a23	0.515042	0.221701	0.0845046	0.0514638	0.0346816	0.0304337	0.026526	0.0356472
a54	0.376141	0.193735	0.0879358	0.0695453	0.0639707	0.0677179	0.0567679	0.0841861
a47	0.237305	0.164628	0.148379	0.132346	0.100678	0.0822458	0.067009	0.0674091
a85	0.167781	0.230235	0.191809	0.114546	0.0792995	0.084326	0.0582134	0.0737898
a6	0.255382	0.298031	0.183908	0.089963	0.0515681	0.0458641	0.0303121	0.0449708
a98	0.281852	0.274522	0.179059	0.096182	0.0519701	0.0424231	0.0312081	0.0427837
a47	0.165068	0.188586	0.184343	0.140251	0.0987972	0.0790489	0.0626831	0.0812223
a85	0.113962	0.143644	0.203249	0.126285	0.0817995	0.0903995	0.0913389	0.149322
a6	0.129567	0.136638	0.165263	0.113579	0.0849129	0.0839349	0.110366	0.17574
a37	0.0904124	0.113976	0.177535	0.146522	0.12124	0.105339	0.108741	0.136235
a44	0.0443466	0.0458233	0.0995753	0.121026	0.151072	0.146397	0.168217	0.223542
a98	0.0253923	0.0226572	0.0462534	0.0730895	0.144509	0.180955	0.224	0.283144
a85	0.00586798	0.00703906	0.0250634	0.0480731	0.122945	0.199338	0.245764	0.345909
a6	0.00260927	0.00292427	0.0130205	0.0279223	0.0955248	0.214836	0.27735	0.365813
a85	0.00225955	0.00217464	0.00627735	0.0154186	0.0671728	0.20019	0.293237	0.413269
a6	0.0010671	0.0010819	0.00353263	0.00751091	0.0362435	0.159652	0.315147	0.475765
a36	0.000929327	0.000974876	0.00294601	0.00617551	0.032181	0.153452	0.307624	0.495716
a21	0.00190822	0.00183347	0.00390936	0.0061454	0.023994	0.105149	0.305254	0.551807
a5	0.00181052	0.00247348	0.00537861	0.00789057	0.0280846	0.111135	0.349007	0.49422
a21	0.00222749	0.00265905	0.00550197	0.00750548	0.0246195	0.0964322	0.326999	0.534056
a12	0.000807497	0.00114911	0.00256444	0.00429983	0.0177599	0.0925731	0.351114	0.529733
a18	0.00139422	0.00202021	0.00500843	0.00795461	0.0253594	0.0968202	0.325668	0.535775
a13	0.00304544	0.00463712	0.0110227	0.0191566	0.0442358	0.122792	0.293861	0.501249
a57	0.00369193	0.0050657	0.0127761	0.0222633	0.0492908	0.132122	0.314448	0.460342
a3	0.0318713	0.0279485	0.033303	0.038179	0.0670765	0.148381	0.319512	0.333729
a87	0.294283	0.168427	0.0872246	0.0591668	0.0627642	0.0866758	0.117075	0.124384
a23	0.277218	0.149423	0.0849249	0.06269	0.0697253	0.109498	0.121077	0.125444
a99	0.0931294	0.0435829	0.0258239	0.0266941	0.0565009	0.138962	0.22999	0.385317
a87	0.0760167	0.0379841	0.028381	0.0285659	0.0535397	0.118921	0.212363	0.444228
</S>	0.0354417	0.0186637	0.0140844	0.0175588	0.0397499	0.0994006	0.213503	0.561598
