 	j'	ai	deux	petits-fils	</S>
a66	0.4255	0.216079	0.215919	0.0812356	0.0612662
a87	0.428746	0.225029	0.15853	0.0887977	0.0988973
a23	0.558951	0.300444	0.103604	0.0194214	0.0175802
a87	0.558112	0.267049	0.116203	0.0343643	0.0242717
a97	0.537437	0.267139	0.117836	0.0415656	0.0360219
a99	0.492644	0.285237	0.122226	0.0444907	0.0554018
a50	0.469643	0.256037	0.128353	0.0577603	0.0882063
a98	0.383083	0.28221	0.190224	0.0767422	0.0677405
a83	0.282671	0.267667	0.238395	0.113884	0.0973828
a96	0.218896	0.287881	0.255715	0.125257	0.112251
a54	0.180719	0.277435	0.280351	0.149226	0.112268
a47	0.159548	0.21537	0.268318	0.192377	0.164387
a37	0.170176	0.214747	0.242577	0.165134	0.207365
a93	0.0780367	0.141765	0.296629	0.209423	0.274146
a70	0.0806159	0.137226	0.313548	0.219979	0.248632
a54	0.0613894	0.105973	0.302109	0.26175	0.268779
a73	0.0643245	0.0953557	0.271308	0.247548	0.321464
a44	0.0572415	0.071863	0.230316	0.251506	0.389073
a54	0.0343461	0.0399326	0.144052	0.280684	0.500985
a47	0.0309204	0.0329905	0.10606	0.20388	0.62615
a26	0.0140319	0.0158576	0.0664235	0.192668	0.711019
a2	0.0127248	0.0116646	0.0285276	0.130623	0.81646
a57	0.0453531	0.0411144	0.0716095	0.195137	0.646786
a25	0.130798	0.0949389	0.0992802	0.194716	0.480267
a97	0.130045	0.0881526	0.0929644	0.164622	0.524216
a87	0.183962	0.11815	0.104155	0.170672	0.423061
a97	0.188324	0.113261	0.110876	0.180288	0.407251
a87	0.303829	0.176624	0.167123	0.154545	0.197879
</S>	0.277034	0.167979	0.13948	0.152291	0.263216
