 	cet	homme	grimpe	un	palmier	en	cache-sexe	</S>
a66	0.347773	0.191498	0.136158	0.130564	0.0899069	0.0583937	0.0270667	0.0186391
a87	0.309475	0.235695	0.144782	0.0882354	0.0834535	0.0601379	0.0443661	0.0338553
a23	0.540061	0.248107	0.0656861	0.0303565	0.0286215	0.0318458	0.0302007	0.0251219
a30	0.406943	0.240686	0.0826273	0.0476912	0.0480061	0.0475313	0.057527	0.0689886
a4	0.339762	0.261678	0.108204	0.0689846	0.0570238	0.0498113	0.0575395	0.0569964
a93	0.414864	0.311092	0.132988	0.0563455	0.0300764	0.0217724	0.0164456	0.0164158
a90	0.265576	0.342167	0.17599	0.0808949	0.0552434	0.0330524	0.0223737	0.0247025
a4	0.206124	0.277155	0.200014	0.115613	0.0830628	0.0500444	0.0321836	0.0358024
a53	0.201435	0.259776	0.193193	0.124467	0.0915981	0.0513686	0.0360825	0.0420797
a90	0.179692	0.220917	0.182145	0.14248	0.109045	0.0640261	0.0482675	0.0534271
a98	0.164996	0.200492	0.185203	0.151846	0.119296	0.067752	0.0522189	0.0581952
a85	0.0730627	0.122869	0.188843	0.193105	0.151116	0.108813	0.080467	0.081725
a6	0.0741941	0.114992	0.190715	0.195015	0.148105	0.106668	0.0858949	0.0844158
a5	0.0844647	0.119024	0.192368	0.201257	0.157639	0.101945	0.0750696	0.0682328
a61	0.0470524	0.0721578	0.140785	0.179824	0.177208	0.152426	0.124108	0.106438
a21	0.0274005	0.0360532	0.103956	0.159932	0.180495	0.178716	0.161008	0.152439
a5	0.0193525	0.0203948	0.0581286	0.114946	0.151571	0.215175	0.220475	0.199957
a96	0.0150837	0.0159138	0.0442734	0.0911385	0.126426	0.231431	0.257389	0.218343
a18	0.0154311	0.0145188	0.037702	0.0796854	0.107777	0.206312	0.288857	0.249716
a62	0.0104823	0.00756096	0.013817	0.0299197	0.0406782	0.106163	0.34874	0.442639
a21	0.00756047	0.00622457	0.0132903	0.0256917	0.0388862	0.114838	0.384549	0.408959
a92	0.00214947	0.00218099	0.00598306	0.0114605	0.0211072	0.0956837	0.392249	0.469187
a37	0.00117757	0.00128211	0.00486196	0.0100229	0.01762	0.0733075	0.371824	0.519904
a90	0.00160201	0.00156943	0.00509884	0.011623	0.0210017	0.0830803	0.402245	0.473779
a79	0.00138749	0.00131372	0.00549934	0.0112688	0.0159139	0.0678104	0.368563	0.528243
a44	0.000768267	0.000753861	0.00287328	0.00637622	0.00909672	0.0422971	0.324	0.613834
a32	0.00137766	0.00133872	0.00346167	0.00896859	0.0154879	0.0585617	0.369919	0.540885
a75	0.0159795	0.0130973	0.0211886	0.0331288	0.0434598	0.100618	0.337	0.435528
a12	0.00130153	0.00130528	0.00377356	0.00858441	0.0154335	0.0575925	0.331623	0.580386
a96	0.00109205	0.00127085	0.00440505	0.0100818	0.0165597	0.0635278	0.338879	0.564184
a18	0.00208719	0.00241298	0.00806072	0.0158	0.0235547	0.0806615	0.341864	0.525559
a25	0.0330358	0.0253456	0.0368821	0.0498774	0.0537938	0.103825	0.309277	0.387963
a82	0.119252	0.0787872	0.0711049	0.0731199	0.0812964	0.113351	0.212933	0.250156
a10	0.283535	0.144153	0.0698258	0.0548971	0.0594066	0.0811233	0.142065	0.164994
a87	0.280665	0.156363	0.071326	0.0519758	0.049084	0.069796	0.137828	0.182963
a23	0.201335	0.114159	0.0647896	0.0497843	0.0498921	0.0856737	0.179527	0.25484
a97	0.086699	0.0506404	0.0484303	0.03654	0.0464462	0.0937942	0.23774	0.399709
a87	0.0373323	0.0232913	0.032387	0.0304158	0.0448492	0.0873956	0.246285	0.498044
</S>	0.073292	0.0476682	0.048306	0.034111	0.0460543	0.0778774	0.210232	0.462459
