 	j'	ai	besoin	du	sel	pour	préparer	la	nourriture	</S>
a66	0.376523	0.222125	0.108182	0.0758556	0.073854	0.064043	0.0380319	0.0181565	0.0107565	0.0124731
a87	0.355256	0.288756	0.156803	0.069657	0.0271162	0.0358038	0.0238502	0.012987	0.012942	0.0168292
a23	0.370355	0.322306	0.164558	0.0635399	0.0265305	0.0170272	0.00844579	0.00625437	0.00953763	0.0114459
a18	0.425362	0.345477	0.135003	0.0423218	0.0166491	0.00831075	0.0030375	0.00294243	0.00674795	0.0141481
a88	0.352072	0.236535	0.114765	0.0620171	0.0424214	0.0441537	0.025202	0.0257205	0.0376588	0.0594548
a31	0.287497	0.179672	0.132696	0.117194	0.108249	0.0771962	0.0343389	0.0215645	0.022063	0.019529
a18	0.141333	0.148465	0.167907	0.171799	0.16172	0.116535	0.0415297	0.0208868	0.0174032	0.0124221
a62	0.0861305	0.113009	0.162088	0.191111	0.183636	0.127886	0.0533172	0.029752	0.02988	0.0231902
a88	0.0697813	0.101799	0.162876	0.202556	0.205606	0.158244	0.0521986	0.0203519	0.0143933	0.0121941
a75	0.0401583	0.0578242	0.112202	0.165555	0.214074	0.210841	0.0937702	0.0411666	0.0327733	0.031634
a98	0.0299354	0.0448465	0.092802	0.155521	0.217285	0.22195	0.099289	0.0507761	0.0427748	0.0448203
a92	0.0268422	0.0367463	0.0714025	0.125389	0.201859	0.238219	0.14676	0.0676404	0.0420775	0.0430644
a37	0.0406949	0.0432626	0.0803567	0.149137	0.213465	0.193274	0.131009	0.0675069	0.0401782	0.0411148
a25	0.0423152	0.039189	0.0622476	0.127716	0.244204	0.215799	0.126724	0.062036	0.037466	0.0423025
a69	0.0154864	0.013832	0.0224139	0.0532421	0.144777	0.188114	0.203366	0.151616	0.095077	0.112075
a98	0.014406	0.0123925	0.0148183	0.0273607	0.0995802	0.170469	0.211746	0.185436	0.118071	0.14572
a79	0.0107181	0.00880483	0.0118915	0.0222598	0.0823519	0.134674	0.190578	0.195524	0.142344	0.200854
a56	0.0072922	0.00569706	0.00763058	0.0153801	0.0626932	0.112471	0.179636	0.223729	0.176802	0.208669
a12	0.00625874	0.00442787	0.00494421	0.00939437	0.0319746	0.056081	0.117795	0.197682	0.255266	0.316176
a75	0.0039033	0.00262951	0.00235582	0.00396881	0.0110145	0.0192741	0.0576052	0.156456	0.315058	0.427736
a85	0.000895593	0.000589068	0.000535293	0.00086226	0.00336098	0.0078556	0.0290985	0.11218	0.298275	0.546348
a92	0.000279335	0.000203453	0.00017497	0.000263441	0.00109097	0.00323358	0.0150113	0.0741917	0.278274	0.627277
a7	0.000379191	0.000257897	0.00022977	0.000356731	0.00135371	0.00367549	0.0167225	0.0791563	0.28499	0.612879
a26	0.000637032	0.000447931	0.000436252	0.000546558	0.00130691	0.00227593	0.00726695	0.0410086	0.234733	0.711341
a57	0.00613383	0.0046932	0.00291101	0.00237434	0.00275748	0.00372695	0.0105005	0.0435972	0.191141	0.732164
a87	0.0468968	0.0280118	0.0178062	0.0167813	0.0198067	0.0267535	0.0499462	0.110517	0.215957	0.467523
a23	0.340136	0.170594	0.0813349	0.0507722	0.0514466	0.0466228	0.0458601	0.0600001	0.0688486	0.0843851
a87	0.248762	0.148721	0.0625617	0.0350289	0.0326418	0.0353811	0.0464551	0.0738449	0.149138	0.167465
</S>	0.0231108	0.0151141	0.00806229	0.00650911	0.0111329	0.0210476	0.0474928	0.099276	0.28916	0.479094
