 	toutes	les	maisons	de	ce	village	sont	devenues	délabrées	</S>
a66	0.224256	0.197279	0.179371	0.170726	0.119063	0.057759	0.0221599	0.0135489	0.009363	0.00647525
a87	0.479788	0.219169	0.123324	0.0816127	0.0447204	0.019887	0.00942876	0.00678824	0.00802083	0.00726104
a23	0.243947	0.212653	0.20187	0.131503	0.0731624	0.0446622	0.0276599	0.0204241	0.0226603	0.0214579
a40	0.151429	0.176273	0.223344	0.121892	0.0751965	0.0525548	0.0488485	0.0482797	0.0609472	0.0412355
a37	0.16338	0.158026	0.154728	0.13969	0.122085	0.0922021	0.0603212	0.0403057	0.0355718	0.0336907
a21	0.271079	0.28153	0.178264	0.120389	0.0587831	0.0374684	0.0213058	0.0136912	0.0101344	0.00735449
a85	0.266872	0.307869	0.176666	0.0892814	0.0446465	0.0403684	0.0237198	0.0227492	0.0187574	0.00907021
a47	0.263099	0.227233	0.124257	0.0879349	0.0705125	0.0789252	0.048269	0.040153	0.0377689	0.0218484
a36	0.230339	0.267459	0.19068	0.089153	0.0494852	0.0428033	0.0231979	0.0237642	0.051235	0.0318832
a37	0.240583	0.241003	0.173699	0.0970802	0.0538962	0.0410158	0.0216363	0.0228897	0.0506189	0.0575785
a56	0.164348	0.192669	0.186049	0.124395	0.075219	0.0570547	0.0303337	0.0311993	0.0598764	0.0788559
a75	0.107159	0.144737	0.178727	0.138525	0.0902963	0.0736979	0.0435702	0.045856	0.0817085	0.0957233
a85	0.0278935	0.0476612	0.0883112	0.0871792	0.0776816	0.0928572	0.0744674	0.0811135	0.190722	0.232113
a6	0.0236443	0.0482685	0.0800826	0.0727417	0.0543307	0.058111	0.0560432	0.0733582	0.212971	0.320449
a98	0.0225703	0.0449607	0.0845982	0.0953595	0.0896452	0.0786216	0.0582364	0.0611931	0.178536	0.286279
a47	0.0237057	0.0467105	0.0786083	0.0869767	0.0892906	0.0874303	0.0639361	0.0705156	0.199726	0.2531
a79	0.00632372	0.0110145	0.0170765	0.0248015	0.0432444	0.0542611	0.0540985	0.0634233	0.26063	0.465127
a47	0.00538302	0.0096617	0.0149868	0.0202859	0.0319421	0.0438472	0.05489	0.0706133	0.254319	0.494071
a36	0.00307773	0.00568025	0.00700113	0.00969871	0.0211702	0.0418335	0.0717803	0.083296	0.256825	0.499637
a37	0.00272883	0.00429663	0.00403396	0.00461485	0.0103825	0.0228154	0.0488032	0.0637479	0.214642	0.623934
a70	0.00491176	0.00672496	0.00571636	0.00699459	0.012806	0.0287847	0.0662646	0.0893249	0.200036	0.578436
a66	0.00432173	0.00615946	0.0053956	0.00571088	0.0096603	0.0234608	0.0639813	0.0946321	0.215059	0.571619
a13	0.00148931	0.00203754	0.00178021	0.00188669	0.00401573	0.0121544	0.0343985	0.064359	0.198173	0.679706
a99	0.00256452	0.00312852	0.00258286	0.00234448	0.00465067	0.0132729	0.034895	0.0568187	0.223599	0.656143
a87	0.00289257	0.0029646	0.00250301	0.00265813	0.00606356	0.0164005	0.0379656	0.0569245	0.211343	0.660285
a23	0.166103	0.109915	0.0904761	0.0913184	0.0890403	0.0908567	0.0763893	0.0559583	0.0733784	0.156565
a97	0.034505	0.0229472	0.0225793	0.0243049	0.0287243	0.0492149	0.0926569	0.140297	0.248245	0.336525
a99	0.0263334	0.0234487	0.0215535	0.0196905	0.0228832	0.0396928	0.0769584	0.0946835	0.241472	0.433284
a87	0.0216397	0.0155986	0.0140928	0.0159539	0.0262033	0.0585407	0.109181	0.119646	0.242265	0.376879
</S>	0.00588911	0.00619805	0.00677742	0.00702606	0.0114283	0.030551	0.0755026	0.10777	0.306837	0.44202
