 	on	lui	a	fait	une	injection	à	l'	hôpital	du	fait	qu'	on	n'	a	pas	pu	le	faire	à	la	maison	</S>
a66	0.156017	0.138036	0.100663	0.0951396	0.0793717	0.05066	0.0484227	0.0402795	0.0366978	0.0394505	0.0343047	0.0344022	0.0257808	0.021079	0.0190478	0.0152572	0.0132907	0.0118779	0.00932775	0.00942175	0.00791307	0.0069159	0.00664317
a87	0.233624	0.146033	0.0868036	0.0655894	0.034469	0.0101744	0.0170795	0.0229203	0.0251528	0.0345494	0.0383698	0.0414345	0.0294021	0.0214984	0.016285	0.014805	0.0177274	0.0199775	0.0187185	0.0231677	0.0265314	0.0278746	0.0278132
a23	0.357362	0.196799	0.101965	0.0654346	0.0404912	0.0183467	0.0165773	0.0176606	0.0139996	0.0127522	0.00930926	0.0105004	0.00777159	0.00736538	0.00664493	0.00670594	0.00800784	0.00885257	0.00769315	0.0101433	0.0132225	0.0248329	0.0375625
a87	0.272697	0.140914	0.0802958	0.0533439	0.0399439	0.0310299	0.0261837	0.0254996	0.0217242	0.0212135	0.0159726	0.0182376	0.0151069	0.013429	0.0131739	0.0137084	0.0176287	0.0208888	0.0183303	0.0222841	0.0258988	0.0368573	0.0556385
a40	0.205741	0.108485	0.0701935	0.0588917	0.054288	0.053234	0.0343171	0.0315887	0.0259675	0.0274903	0.0224661	0.0242074	0.0207301	0.0184982	0.0195982	0.0205443	0.0260347	0.0303595	0.0260544	0.0274208	0.0275434	0.0317348	0.034611
a7	0.254142	0.151959	0.096787	0.0602618	0.0430129	0.0391292	0.0277058	0.0259988	0.0217376	0.023401	0.0195712	0.0208881	0.0171001	0.0142033	0.0134282	0.0129556	0.017959	0.019893	0.0198103	0.0231865	0.0242201	0.025369	0.0272808
a37	0.124401	0.140715	0.148898	0.0999587	0.0964923	0.112428	0.0472652	0.030139	0.0208645	0.018014	0.0130134	0.0112534	0.00801741	0.00629697	0.00604132	0.00604297	0.00939666	0.0131004	0.012717	0.0169425	0.0187585	0.0179819	0.0212617
a83	0.0435434	0.0511359	0.0691946	0.0672489	0.0954118	0.186757	0.102133	0.0762052	0.0560935	0.0432661	0.0312357	0.0247816	0.0165099	0.0119197	0.010866	0.0101081	0.0135134	0.0155729	0.0145411	0.0152052	0.0147478	0.0138737	0.0161357
a12	0.0202689	0.0245825	0.0387651	0.0470897	0.0760393	0.199257	0.116938	0.100281	0.0842081	0.0624159	0.0466779	0.0386261	0.0222314	0.0146403	0.0120018	0.0102005	0.0116952	0.0120686	0.0117376	0.01127	0.0112104	0.0123469	0.0154472
a62	0.0150854	0.016692	0.0265567	0.0343492	0.0595493	0.195031	0.127105	0.115203	0.102956	0.0727816	0.052557	0.0437048	0.0242549	0.0163932	0.0135221	0.011053	0.0109489	0.0102107	0.00961586	0.00903534	0.00912175	0.0105289	0.0137437
