 	j'	ai	entendu	l'	écho	d'	un	fusil	</S>
a66	0.455173	0.268207	0.151794	0.0717806	0.0250277	0.0141207	0.00658817	0.00420881	0.00310059
a87	0.320764	0.222828	0.220764	0.137214	0.0384319	0.0202033	0.0127754	0.0134548	0.013565
a23	0.406959	0.32285	0.193123	0.04345	0.0106369	0.00711176	0.00521086	0.00524745	0.00541121
a99	0.340177	0.299017	0.231812	0.0709011	0.0133342	0.00831614	0.00822988	0.011762	0.0164503
a83	0.41845	0.203372	0.176682	0.0870888	0.0237413	0.0152075	0.0188461	0.0250345	0.0315769
a96	0.448306	0.232733	0.15872	0.0794966	0.0219392	0.0147946	0.0150364	0.0142465	0.0147277
a94	0.194806	0.204772	0.261913	0.223023	0.0501858	0.0250377	0.0164111	0.013176	0.0106749
a56	0.163709	0.189392	0.247481	0.24451	0.0743451	0.0327225	0.0199814	0.0155349	0.0123242
a47	0.117204	0.140665	0.183716	0.277632	0.139626	0.0628851	0.0344895	0.0252854	0.0184976
a96	0.089868	0.0963346	0.154749	0.312622	0.173731	0.0702931	0.0393449	0.0329486	0.0301094
a61	0.0614703	0.0608789	0.134003	0.349771	0.223717	0.0794568	0.0365924	0.0278685	0.0262424
a47	0.0545483	0.0476452	0.0880199	0.261913	0.268479	0.125336	0.0604007	0.0472306	0.0464279
a61	0.0486893	0.035273	0.0464236	0.128522	0.207934	0.172587	0.119789	0.118044	0.122739
a75	0.0349219	0.0229802	0.0226481	0.0585933	0.129588	0.156799	0.16034	0.19345	0.22068
a25	0.00572415	0.00367437	0.0030759	0.00708576	0.021283	0.0673255	0.170992	0.30902	0.411819
a79	0.00189095	0.00134758	0.0017649	0.00368992	0.010872	0.0340744	0.116163	0.31009	0.520108
a7	0.00339347	0.00241203	0.00231644	0.00303874	0.00890451	0.0303535	0.101072	0.280758	0.567752
a54	0.00661224	0.00462713	0.00303712	0.00288802	0.00491356	0.0155041	0.0753984	0.246038	0.640981
a47	0.00109099	0.00059959	0.000494397	0.000780403	0.00391706	0.0143928	0.0791683	0.282957	0.6166
a36	0.000607479	0.000259897	0.000196374	0.000444812	0.00337911	0.0131029	0.0878461	0.310098	0.584065
a2	0.0139691	0.00592206	0.00346631	0.00405416	0.0120658	0.037327	0.130471	0.297993	0.494732
a57	0.130522	0.0875109	0.0609686	0.0412242	0.0378994	0.047412	0.0938359	0.196089	0.304538
a87	0.249891	0.240375	0.153653	0.0765394	0.0393894	0.0342988	0.0459001	0.0688194	0.0911342
a23	0.263191	0.219984	0.150098	0.0859688	0.0553375	0.0459206	0.0558601	0.0609482	0.0626922
a99	0.121494	0.112572	0.0721783	0.0373337	0.017456	0.0331592	0.083236	0.184611	0.337959
a87	0.0439526	0.0436838	0.0289238	0.0214545	0.0219539	0.0474834	0.102044	0.237856	0.452648
a23	0.0236848	0.0274199	0.0252973	0.0235058	0.0239431	0.0476121	0.118613	0.249672	0.460252
</S>	0.0255024	0.0329737	0.0319632	0.025215	0.0212979	0.0434863	0.105673	0.248665	0.465223
