 	la	case	a	brûlé	</S>
a23	0.491881	0.253733	0.118765	0.0814817	0.0541395
a83	0.544449	0.276965	0.0937098	0.0480433	0.0368324
a75	0.612539	0.223863	0.073356	0.0481946	0.0420479
a34	0.404849	0.301003	0.153637	0.0958683	0.0446425
a83	0.424482	0.325422	0.145192	0.0709063	0.0339981
a93	0.254803	0.211296	0.21506	0.189733	0.129109
a34	0.124698	0.116273	0.212177	0.286617	0.260235
a75	0.0672643	0.0724916	0.178822	0.331028	0.350394
a47	0.0377545	0.0487675	0.156231	0.368804	0.388443
a2	0.0323016	0.0472313	0.140408	0.365213	0.414846
a57	0.0173362	0.0269786	0.0843358	0.259671	0.611679
a87	0.0115006	0.0158039	0.0435078	0.176421	0.752766
a97	0.114862	0.0672721	0.07715	0.209541	0.531175
a87	0.187157	0.185869	0.198132	0.241647	0.187194
a23	0.245806	0.187273	0.181628	0.199613	0.18568
a87	0.1173	0.113033	0.176832	0.286193	0.306641
</S>	0.0827592	0.0987051	0.166266	0.292318	0.359951
