 	tout	le	village	est	venu	assister	au	match	de	foot-ball	</S>
a66	0.195705	0.160221	0.123749	0.0979172	0.0949388	0.155877	0.108331	0.033264	0.0146884	0.0083223	0.00698674
a87	0.324505	0.174176	0.0821885	0.0589488	0.0612547	0.0584143	0.0629222	0.0482804	0.043583	0.0394708	0.0462563
a23	0.302202	0.175758	0.108236	0.0963966	0.0844132	0.0776491	0.0539755	0.0256949	0.0211173	0.023984	0.0305736
a87	0.232836	0.170968	0.130062	0.131462	0.118082	0.0960838	0.0529128	0.0190908	0.0147367	0.0144479	0.019319
a23	0.20058	0.161124	0.1362	0.143978	0.116594	0.0971982	0.0596823	0.0275687	0.0205163	0.0179171	0.0186422
a99	0.254789	0.184546	0.12647	0.105452	0.0869022	0.0813647	0.0527871	0.0288245	0.0265194	0.0222422	0.0301027
a40	0.193791	0.165433	0.126831	0.0974787	0.0791388	0.0976082	0.0664847	0.0388626	0.0485335	0.0398344	0.0460033
a7	0.251189	0.193643	0.128906	0.0912821	0.0678241	0.0720034	0.0537024	0.0243321	0.0262253	0.0435908	0.0473014
a54	0.16998	0.155073	0.132239	0.120931	0.100607	0.0984071	0.070054	0.0313718	0.0311052	0.043365	0.0468679
a47	0.0868713	0.0903637	0.0981425	0.104677	0.102289	0.121259	0.122616	0.0609913	0.0572673	0.0775943	0.0779284
a6	0.0788554	0.0943588	0.126374	0.140427	0.13025	0.130361	0.112054	0.0476293	0.0338609	0.0452566	0.0605734
a36	0.0806916	0.0857136	0.0981047	0.110021	0.124654	0.142286	0.132448	0.0675766	0.0381139	0.0523603	0.0680302
a56	0.0827394	0.0891528	0.117401	0.137353	0.145979	0.135801	0.114647	0.0560905	0.0327772	0.03914	0.0489185
a43	0.0794594	0.0941777	0.129541	0.155983	0.162692	0.150158	0.117374	0.0435661	0.0197787	0.0216496	0.025621
a75	0.0420628	0.0546336	0.106424	0.154326	0.170422	0.154332	0.139716	0.0568128	0.0291475	0.0398576	0.0522665
a15	0.0323958	0.0418071	0.078384	0.118067	0.153774	0.169419	0.160706	0.0875789	0.0427357	0.0501009	0.0650304
a7	0.0175533	0.0241074	0.0614206	0.108834	0.150951	0.169586	0.173019	0.0924051	0.0443408	0.0596694	0.0981134
a4	0.0156621	0.0177826	0.0402662	0.080583	0.13415	0.180937	0.209129	0.11328	0.0567957	0.0602798	0.0911351
a53	0.0153785	0.017138	0.0349855	0.0616721	0.0939427	0.132265	0.17365	0.120756	0.07247	0.110438	0.167304
a4	0.00877522	0.0104176	0.0224744	0.0415068	0.0647921	0.0956813	0.15355	0.13148	0.0974027	0.154546	0.219374
a58	0.0071268	0.00854646	0.0211831	0.0409704	0.0602815	0.0763846	0.136551	0.154723	0.122566	0.156577	0.21509
a40	0.00640376	0.00724039	0.0161413	0.0309745	0.049154	0.0655543	0.123089	0.141675	0.113388	0.162285	0.284095
a47	0.0095871	0.010796	0.0184895	0.0267251	0.034341	0.0355209	0.0706171	0.105209	0.115302	0.176499	0.396913
a85	0.00986237	0.011896	0.0202668	0.0271154	0.0330166	0.0404848	0.0829845	0.113652	0.108608	0.164948	0.387165
a5	0.00718668	0.00901237	0.0158527	0.0223182	0.0291586	0.0372947	0.0802627	0.119532	0.123465	0.175783	0.380135
a75	0.00951829	0.0109553	0.0217981	0.032976	0.0411278	0.0474449	0.0938613	0.135515	0.134748	0.184062	0.287992
a25	0.00493911	0.00629956	0.0136879	0.0229346	0.0292674	0.0305426	0.0627782	0.123027	0.141389	0.190516	0.374619
a79	0.00297672	0.00369934	0.00669012	0.0103933	0.0140543	0.0157682	0.0367047	0.0762564	0.125531	0.238408	0.469518
a7	0.00368963	0.00451112	0.0093572	0.0157346	0.020441	0.0189145	0.0396183	0.0784725	0.126088	0.240733	0.442441
a58	0.00289355	0.00303919	0.00611179	0.0109428	0.0136895	0.0108291	0.0165838	0.0333333	0.0790036	0.254245	0.569328
a84	0.00560516	0.00489717	0.0075928	0.0117863	0.0157098	0.0131627	0.0160226	0.032922	0.0830283	0.25665	0.552623
a75	0.0189505	0.0166804	0.0239787	0.0292386	0.0292303	0.0245602	0.0264969	0.0469008	0.10434	0.247235	0.432388
a85	0.000844143	0.000721774	0.00113545	0.00193413	0.00263261	0.00265505	0.00556138	0.0161207	0.0675576	0.305719	0.595118
a6	0.000526738	0.000504045	0.000797649	0.00115958	0.00149866	0.00134671	0.00352269	0.0126342	0.0473804	0.243628	0.687001
a36	0.000624058	0.000586644	0.0008967	0.00130172	0.00169582	0.0018839	0.00548894	0.0171559	0.0481755	0.222332	0.699859
a43	0.000522769	0.000424643	0.000635609	0.000931168	0.0011839	0.00102865	0.00171005	0.00587233	0.0371889	0.237302	0.7132
a11	0.000915749	0.000748692	0.0011861	0.00173005	0.00202924	0.00185812	0.00316805	0.0120622	0.0711033	0.286223	0.618975
a75	0.00671959	0.00542063	0.0074812	0.00921005	0.00894831	0.00734865	0.00999481	0.0296465	0.111229	0.290057	0.513944
a5	0.000161735	0.000146946	0.000230457	0.000363154	0.000435947	0.000515931	0.00116336	0.00436014	0.0282985	0.202087	0.762237
a61	0.000276724	0.000246251	0.000458849	0.000695135	0.000749257	0.00085108	0.00186077	0.00657437	0.0399044	0.208096	0.740287
a96	0.000262733	0.000243378	0.000449969	0.000689597	0.000737913	0.000874853	0.00186098	0.00797699	0.0547293	0.249935	0.68224
a66	0.000268102	0.000268444	0.000523089	0.000841141	0.000899091	0.00104434	0.0021789	0.00781107	0.0516917	0.252024	0.68245
a4	0.00361358	0.0028594	0.00396968	0.00488437	0.00534996	0.00506941	0.00747344	0.0204544	0.090973	0.280846	0.574506
a44	0.00294943	0.00256281	0.00403958	0.00516389	0.00569767	0.00561756	0.00874003	0.0240395	0.0928062	0.265942	0.582441
a57	0.000791737	0.000743204	0.00131314	0.0020054	0.00238588	0.00259113	0.00474761	0.0142643	0.0671066	0.256462	0.647589
a82	0.00881888	0.00685732	0.00787241	0.00786703	0.00806603	0.00677687	0.00961588	0.0275229	0.100271	0.262583	0.553749
a87	0.0646272	0.0367391	0.0294484	0.0247467	0.027072	0.0226028	0.0299256	0.0657613	0.13948	0.222057	0.337539
a23	0.160507	0.0938576	0.0644989	0.0539765	0.0571272	0.0437973	0.0414701	0.0525284	0.103183	0.144284	0.18477
a97	0.0520323	0.0253385	0.0142904	0.0133849	0.0145908	0.00809539	0.0107732	0.0228207	0.0642202	0.301193	0.473261
a87	0.038623	0.0197756	0.0135683	0.0153033	0.0180087	0.0168968	0.025223	0.0296648	0.0588143	0.2507	0.513422
a23	0.0757496	0.0404987	0.0274756	0.02912	0.0335192	0.0318117	0.0340167	0.0309667	0.0566778	0.193878	0.446286
a87	0.0345223	0.0184108	0.0114865	0.0124172	0.0152098	0.0115138	0.0174086	0.0258978	0.0607256	0.278624	0.513784
</S>	0.0306302	0.0182977	0.0135252	0.0139626	0.0158792	0.0136458	0.015677	0.0206512	0.0414053	0.229413	0.586913
