 	le	suivant	doit	fermer	la	maison	</S>
a66	0.451338	0.32919	0.132302	0.0443515	0.0216668	0.0117294	0.00942166
a87	0.405604	0.255275	0.144987	0.0784619	0.0483817	0.0337666	0.0335231
a23	0.584422	0.222686	0.0833067	0.0383865	0.0190065	0.0214281	0.0307642
a87	0.470947	0.188271	0.0807389	0.0555368	0.0525503	0.0647049	0.0872506
a23	0.589377	0.191489	0.0717724	0.0355756	0.026993	0.0343797	0.0504134
a79	0.449434	0.137208	0.0816022	0.0689425	0.0696146	0.0832858	0.109913
a44	0.467283	0.191515	0.114491	0.0722225	0.0499897	0.0463593	0.0581398
a30	0.42149	0.274178	0.135102	0.091104	0.0379839	0.0223675	0.0177751
a44	0.250598	0.218365	0.163237	0.174424	0.0976477	0.0562304	0.0394975
a70	0.183257	0.177933	0.165073	0.213463	0.138585	0.0729485	0.0487413
a99	0.142868	0.150852	0.122375	0.163908	0.167762	0.128918	0.123317
a70	0.113997	0.13803	0.116203	0.153434	0.168415	0.146007	0.163914
a99	0.0652093	0.0922889	0.0769322	0.115757	0.17101	0.193129	0.285675
a30	0.0584767	0.107212	0.105618	0.130256	0.17147	0.175164	0.251804
a70	0.0224774	0.0362122	0.0574018	0.110277	0.185906	0.218158	0.369568
a54	0.0154557	0.0226705	0.0454476	0.0983085	0.185171	0.23517	0.397777
a7	0.019052	0.032393	0.0569396	0.116314	0.21167	0.233342	0.33029
a40	0.00420741	0.00697976	0.0206915	0.0654306	0.173085	0.272227	0.457378
a7	0.00792829	0.0107631	0.0232019	0.0556116	0.144292	0.256966	0.501237
a70	0.00231924	0.00344925	0.0104843	0.0389264	0.13985	0.290367	0.514604
a54	0.00169571	0.0025164	0.00684567	0.0265818	0.108374	0.286848	0.567138
a94	0.00107652	0.00153755	0.00430825	0.0169456	0.0769128	0.264807	0.634412
a70	0.000657799	0.000866282	0.00296607	0.0148235	0.0708035	0.24048	0.669403
a66	0.000398879	0.000565498	0.00192959	0.00881368	0.048419	0.212788	0.727085
a70	0.000729255	0.000843091	0.00322464	0.0122548	0.0528741	0.221308	0.708766
a98	0.000517513	0.000686102	0.00265268	0.0100277	0.0470728	0.212267	0.726776
a71	0.000536181	0.000864592	0.00382787	0.0146125	0.067321	0.239458	0.67338
a9	0.000548335	0.000683396	0.00246007	0.00849994	0.0385606	0.192979	0.756269
a10	0.0205581	0.00929274	0.0130531	0.0239806	0.0576048	0.195655	0.679855
a97	0.123292	0.0423899	0.0377961	0.0498368	0.0862849	0.197655	0.462746
a87	0.324725	0.110903	0.0629929	0.0546828	0.0680081	0.134503	0.244186
a23	0.234826	0.1015	0.0655229	0.0538827	0.0775158	0.171207	0.295546
a87	0.165924	0.0869279	0.0584164	0.071187	0.115164	0.225017	0.277364
a23	0.0818518	0.0481107	0.0442326	0.0780802	0.149414	0.274377	0.323934
a87	0.0954491	0.062677	0.0504856	0.076434	0.152262	0.270797	0.291895
</S>	0.0991132	0.0673418	0.0639746	0.109765	0.182154	0.249782	0.22787
