 	ces	noix	de	palme	sont	bien	mûres	</S>
a66	0.362686	0.169927	0.0921799	0.0704341	0.0552098	0.0677017	0.102783	0.079078
a27	0.337653	0.19018	0.10753	0.059253	0.0503069	0.0742825	0.112653	0.0681419
a87	0.261559	0.170539	0.146049	0.104817	0.109931	0.0929863	0.070628	0.0434913
a23	0.349567	0.215605	0.138978	0.0892894	0.079785	0.0625933	0.0450241	0.0191583
a99	0.165363	0.104894	0.0981627	0.092501	0.139905	0.156943	0.143721	0.09851
a50	0.254648	0.130289	0.121326	0.124057	0.127106	0.0999864	0.0729088	0.069679
a24	0.192579	0.136782	0.152034	0.173341	0.13972	0.107352	0.0583286	0.0398631
a5	0.0923236	0.110851	0.153368	0.173216	0.193941	0.135937	0.085886	0.0544769
a12	0.0639433	0.0948236	0.157468	0.197515	0.22635	0.141474	0.0717853	0.0466395
a62	0.0346553	0.0552567	0.101953	0.151884	0.219333	0.181014	0.136548	0.119357
a96	0.0290836	0.0411166	0.0792171	0.142263	0.208201	0.197386	0.167645	0.135089
a70	0.0183916	0.0217042	0.0411616	0.0899242	0.157173	0.189259	0.22399	0.258396
a50	0.00667367	0.00840863	0.0181876	0.0510833	0.107102	0.169204	0.269931	0.36941
a24	0.00161402	0.00185944	0.00415117	0.0134358	0.0387927	0.0885626	0.245661	0.605923
a83	0.000422113	0.000508548	0.00126517	0.00475724	0.0150309	0.0400137	0.17523	0.762772
a93	0.000181987	0.00022717	0.000628526	0.0024796	0.00888041	0.0292741	0.151604	0.806724
a70	0.000258982	0.000366591	0.000954712	0.00350452	0.00977654	0.0286912	0.150249	0.806199
a83	0.000340029	0.000421009	0.000910132	0.00271991	0.00673804	0.0239713	0.132885	0.832014
a99	0.000395878	0.000487776	0.00111127	0.00391002	0.0097963	0.0338717	0.152173	0.798254
a4	0.00515319	0.00369497	0.00436166	0.0102724	0.0205024	0.0667292	0.197753	0.691534
a58	0.00126273	0.00148169	0.00328489	0.0113544	0.0250957	0.0604512	0.161328	0.735741
a82	0.00932361	0.00619018	0.00622883	0.0119213	0.0212803	0.0622122	0.174891	0.707953
a87	0.074943	0.0572889	0.0512857	0.0644842	0.0649556	0.0988565	0.151294	0.436892
a23	0.136157	0.108618	0.0987484	0.102187	0.0915574	0.0996933	0.133411	0.229628
a87	0.122301	0.101277	0.109299	0.114298	0.119896	0.114989	0.125656	0.192284
</S>	0.0829036	0.0777325	0.0981819	0.112775	0.12372	0.128959	0.143027	0.2327
