 	aujourd'	hui	nous	allons	manger	de	la	viande	</S>
a66	0.353397	0.269827	0.184835	0.0685654	0.0328457	0.0264365	0.0264482	0.0195152	0.018129
a97	0.253965	0.176989	0.140499	0.127371	0.102973	0.0749045	0.0536043	0.0349211	0.0347721
a87	0.258454	0.179515	0.15234	0.113779	0.0594145	0.0612738	0.0631113	0.0562829	0.0558304
a79	0.299638	0.230992	0.19644	0.130028	0.0429048	0.030832	0.0219839	0.021605	0.0255758
a15	0.323902	0.213504	0.17443	0.104867	0.0282673	0.027066	0.0305468	0.0410106	0.0564059
a47	0.196619	0.208437	0.219248	0.17065	0.0541248	0.0289767	0.0305198	0.0381662	0.0532579
a5	0.120725	0.171821	0.212172	0.176959	0.096493	0.0501942	0.0501474	0.0539676	0.0675212
a21	0.122169	0.15069	0.210105	0.223129	0.168967	0.0557987	0.0300737	0.0189017	0.0201648
a12	0.1011	0.125831	0.173343	0.214809	0.218617	0.0770092	0.0417813	0.0243559	0.0231529
a61	0.0852559	0.092193	0.103809	0.122084	0.201644	0.1435	0.106095	0.0720942	0.0733244
a0	0.0672349	0.0720451	0.077447	0.0945722	0.192674	0.166819	0.14108	0.0965105	0.0916174
a62	0.0281914	0.026263	0.0269349	0.0369745	0.124066	0.181711	0.213215	0.183202	0.179442
a21	0.0125882	0.0104906	0.00979063	0.0140956	0.0601664	0.13586	0.234186	0.272821	0.250002
a12	0.00538127	0.00469132	0.00471847	0.00744644	0.0394521	0.0966344	0.193606	0.321795	0.326275
a21	0.00160165	0.00134265	0.0013946	0.00244529	0.0163849	0.0543358	0.139959	0.350323	0.432214
a5	0.000780886	0.000665162	0.000710061	0.00140457	0.0109679	0.0362729	0.101214	0.341929	0.506056
a75	0.000509178	0.000447931	0.000479129	0.00113273	0.00966275	0.0336494	0.0928289	0.325793	0.535497
a6	0.000145156	0.000139847	0.000144428	0.000333637	0.00380262	0.0218683	0.0787111	0.323517	0.571338
a36	0.000128522	0.000112277	8.7691e-05	0.000224124	0.00306384	0.0191882	0.0790218	0.32429	0.573883
a26	0.00262392	0.0020674	0.00123592	0.00215508	0.0133368	0.0400295	0.105938	0.286381	0.546232
a57	0.0548372	0.0329423	0.0179792	0.0154583	0.0413909	0.0835002	0.155106	0.241677	0.357109
a87	0.174246	0.0908715	0.0505957	0.0402353	0.0628098	0.0883308	0.122234	0.155034	0.215643
a23	0.251421	0.149815	0.0770584	0.0585407	0.0808298	0.09757	0.0996784	0.0930735	0.0920132
a87	0.0443319	0.0273578	0.0150205	0.0172249	0.0487653	0.122777	0.179751	0.264279	0.280493
</S>	0.00212202	0.0019871	0.00245836	0.0062001	0.0255212	0.0631515	0.126825	0.332411	0.439324
