 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
a66	0.353151	0.165835	0.132794	0.082499	0.0865795	0.0569284	0.0412591	0.035686	0.0246647	0.0206038
a82	0.411472	0.157887	0.0983558	0.0739981	0.0873964	0.0612925	0.0426113	0.0301373	0.0207547	0.0160941
a87	0.23457	0.151727	0.154636	0.148361	0.191073	0.0723071	0.0217436	0.00989204	0.0076406	0.00804879
a97	0.233906	0.153572	0.149725	0.141274	0.191552	0.0757992	0.0227451	0.0115652	0.00978131	0.01008
a87	0.271906	0.151216	0.128301	0.117767	0.162957	0.0834222	0.0315376	0.0192087	0.0168768	0.0168075
a97	0.291491	0.156061	0.119178	0.108321	0.140271	0.0839516	0.0357973	0.0232424	0.0207753	0.0209126
a87	0.298065	0.122006	0.0959841	0.0991155	0.119117	0.0864721	0.0549669	0.0398636	0.040172	0.0442378
a97	0.315105	0.127311	0.0921451	0.0916363	0.105125	0.0809527	0.0570701	0.0433686	0.0420744	0.0452108
a87	0.340372	0.129556	0.0887975	0.0799872	0.0884728	0.0733378	0.0578654	0.0456617	0.0460742	0.0498756
a99	0.361149	0.140054	0.0941655	0.0778513	0.0842501	0.0638863	0.0495693	0.0409433	0.0420437	0.0460876
a83	0.265911	0.133175	0.113726	0.0928349	0.102926	0.0785733	0.0635199	0.0508489	0.0485135	0.0499731
a70	0.196487	0.175244	0.17806	0.135502	0.113272	0.0610191	0.0458834	0.0339255	0.0286056	0.0320017
a99	0.194549	0.182769	0.183883	0.161275	0.117366	0.051497	0.0365971	0.0254044	0.021045	0.025614
a30	0.142708	0.161367	0.186159	0.170947	0.135752	0.0647697	0.0462228	0.0320814	0.0268113	0.0331819
a70	0.113754	0.144821	0.174103	0.170284	0.133059	0.0675207	0.0584018	0.0461374	0.0404527	0.0514676
a99	0.0804746	0.112731	0.157595	0.167809	0.151912	0.0865229	0.0702308	0.0567461	0.0514211	0.0645577
a54	0.0483467	0.0740299	0.121785	0.146597	0.166501	0.109344	0.0931969	0.0774527	0.0727559	0.0899912
a7	0.109856	0.132762	0.17726	0.165666	0.154652	0.0864417	0.0614552	0.0402533	0.0349195	0.0367356
a44	0.0554046	0.0940852	0.149062	0.167596	0.162596	0.0948637	0.0692924	0.0576798	0.0663802	0.0830402
a70	0.0252657	0.0569956	0.102356	0.165641	0.175283	0.128625	0.095015	0.0733185	0.0801405	0.0973602
a44	0.00949011	0.0257613	0.0558096	0.111011	0.139297	0.139676	0.120088	0.109583	0.127787	0.161497
a26	0.00832427	0.0252006	0.0576531	0.115112	0.136806	0.133595	0.120383	0.11442	0.128386	0.160119
a57	0.00278233	0.00639973	0.0174665	0.0460628	0.0799617	0.12069	0.14685	0.170506	0.191098	0.218181
a99	0.00514481	0.0077699	0.0191352	0.0449276	0.0953793	0.130888	0.154946	0.188079	0.188846	0.164884
a83	0.0426264	0.0394024	0.0591982	0.0944322	0.12798	0.125033	0.119658	0.137361	0.147413	0.106896
a50	0.00920403	0.0108881	0.016224	0.036283	0.0582018	0.0893033	0.11304	0.181719	0.253811	0.231325
a62	0.00147548	0.00240616	0.0041373	0.00975865	0.0178828	0.0470355	0.0917212	0.198247	0.306788	0.320547
a5	0.0010705	0.00182247	0.00393822	0.0104172	0.0243396	0.0613795	0.103155	0.202622	0.292181	0.299074
a94	0.00243878	0.0030193	0.00542775	0.0146751	0.0322958	0.0697417	0.104391	0.195351	0.289912	0.282748
a70	0.00145007	0.00183279	0.00314002	0.00803129	0.0179497	0.0454077	0.0809295	0.18314	0.316136	0.341983
a53	0.00134491	0.00202354	0.00358287	0.00952455	0.0177426	0.0432532	0.0700357	0.163876	0.319778	0.368838
a70	0.000653963	0.000979879	0.0017409	0.0037147	0.00747709	0.0211192	0.0486807	0.141736	0.326789	0.447108
a44	0.000519352	0.000847796	0.00152497	0.00370348	0.00761186	0.0222354	0.0487508	0.141447	0.326553	0.446806
a70	0.000810165	0.00127262	0.00223783	0.00512883	0.0100696	0.0259085	0.0511192	0.137755	0.319319	0.44638
a99	0.000777784	0.00136937	0.00251184	0.00589242	0.0103295	0.0241903	0.0430617	0.123393	0.317156	0.471319
a13	0.00134688	0.00244972	0.00466461	0.0112523	0.0180948	0.0370313	0.0507265	0.122259	0.296508	0.455667
a9	0.00455057	0.00689862	0.0107171	0.0206733	0.0262512	0.0406959	0.0472848	0.108215	0.29103	0.443683
a3	0.012668	0.0157735	0.0234583	0.0384771	0.0452444	0.0538353	0.0512133	0.103368	0.264852	0.391111
a87	0.0570338	0.0600519	0.0744155	0.102247	0.093755	0.0830678	0.0563487	0.0861264	0.160712	0.226242
a23	0.127881	0.114667	0.119986	0.133396	0.106295	0.0820587	0.0593189	0.0697176	0.082844	0.103835
a87	0.144838	0.141385	0.10797	0.135439	0.0839666	0.0677623	0.0592162	0.0761752	0.0843793	0.098869
a97	0.125791	0.153269	0.124942	0.159671	0.0950839	0.0712743	0.055369	0.0633455	0.0675056	0.0837493
</S>	0.100408	0.158233	0.161853	0.222735	0.124814	0.0765296	0.0412044	0.0366168	0.0345243	0.043083
