 	il	n'	y	a	pas	beaucoup	de	blancs	dans	notre	ville	</S>
a23	0.16603	0.168787	0.152715	0.118355	0.123577	0.106224	0.0756014	0.0391264	0.0178654	0.0121667	0.0103527	0.00920089
a99	0.184672	0.162701	0.1543	0.111892	0.100973	0.0921212	0.0640703	0.0351713	0.0230952	0.0201193	0.0226046	0.0282793
a9	0.16981	0.140555	0.128537	0.098502	0.0808561	0.0748433	0.0561834	0.0388317	0.0341671	0.0374902	0.0518813	0.0883423
a30	0.144125	0.157287	0.150376	0.110516	0.0893035	0.0706789	0.0471214	0.0345491	0.0318053	0.0326157	0.0446789	0.0869435
a94	0.176563	0.178913	0.149347	0.102193	0.0830637	0.0699733	0.0532088	0.0375739	0.0350481	0.0329345	0.032401	0.0487798
a90	0.249776	0.227349	0.190987	0.109305	0.0600674	0.0372853	0.0215532	0.0171466	0.0179885	0.0218524	0.0220808	0.0246085
a92	0.280187	0.223925	0.179841	0.102275	0.0561396	0.0370928	0.020952	0.0159677	0.0164302	0.01975	0.0219081	0.0255313
a5	0.21502	0.198024	0.172968	0.115872	0.0724057	0.0537533	0.0322425	0.0261946	0.0239879	0.0261258	0.0291721	0.0342344
a37	0.153775	0.182629	0.190569	0.140931	0.0937318	0.0738559	0.0441153	0.0308491	0.0226019	0.0211423	0.0215898	0.0242107
a43	0.107817	0.129988	0.155904	0.153505	0.125268	0.102094	0.0591821	0.0425872	0.0306967	0.0293411	0.0308636	0.0327527
a0	0.0927566	0.110246	0.13246	0.158991	0.151547	0.125595	0.0711386	0.0456399	0.028201	0.0258918	0.0280823	0.0294513
a31	0.0959951	0.10439	0.103738	0.136551	0.138337	0.124521	0.0774827	0.0556945	0.0386633	0.037111	0.0429617	0.0445556
a88	0.0891836	0.0940252	0.0989968	0.123726	0.121791	0.121332	0.100053	0.0839957	0.0474282	0.0377704	0.0404789	0.0412201
a75	0.0497467	0.0473796	0.0463464	0.0703528	0.0933831	0.112735	0.113206	0.127902	0.090769	0.0725388	0.0831539	0.0924868
a85	0.0633071	0.0600175	0.0519583	0.0525621	0.0497654	0.0522902	0.0566006	0.0832972	0.0995873	0.111949	0.15526	0.163405
a37	0.0431083	0.0457863	0.0473156	0.0471845	0.0478287	0.0565149	0.068682	0.0965055	0.107796	0.11778	0.154958	0.166539
a61	0.0682188	0.0551865	0.04176	0.0467507	0.0481687	0.0524375	0.0637027	0.100887	0.0934019	0.0977406	0.149744	0.182002
a31	0.0395986	0.0379568	0.0324186	0.0374614	0.04121	0.0525732	0.0736218	0.131756	0.127885	0.11654	0.143672	0.165306
a88	0.022549	0.0206979	0.0168299	0.0210191	0.0242711	0.0320772	0.0501256	0.112384	0.152587	0.159012	0.188945	0.199502
a75	0.0151831	0.0126416	0.0103748	0.0130716	0.016149	0.021907	0.0352322	0.0801607	0.128735	0.165884	0.238917	0.261745
a47	0.0188928	0.0161921	0.0118514	0.0150511	0.0151063	0.0151353	0.0196596	0.0405591	0.0828097	0.141164	0.265594	0.357985
a36	0.0120029	0.00870295	0.00637024	0.00853757	0.0103619	0.0127469	0.020214	0.0470479	0.0962363	0.158344	0.278835	0.340601
a2	0.00736549	0.00520978	0.00399877	0.00517016	0.0061392	0.00808675	0.0133043	0.0279898	0.0602151	0.113061	0.307303	0.442156
a57	0.0047808	0.00291721	0.00188017	0.00236781	0.0024009	0.0033782	0.00606389	0.0145384	0.0432994	0.117705	0.355859	0.44481
a87	0.053965	0.0279145	0.0174032	0.0212018	0.0190379	0.022061	0.0315096	0.0411756	0.0740285	0.133592	0.235618	0.322493
a23	0.177061	0.089406	0.0533847	0.0603575	0.0547143	0.0617119	0.0740996	0.0666846	0.0728399	0.082926	0.092441	0.114373
a87	0.0873485	0.0445605	0.0274391	0.0250251	0.0213798	0.024535	0.0393623	0.0564215	0.100262	0.141388	0.18477	0.247507
a97	0.0113239	0.00628334	0.00494483	0.00675812	0.00814274	0.0123182	0.0229684	0.03908	0.0843478	0.151628	0.282106	0.370098
</S>	0.0359105	0.0207151	0.0170234	0.021818	0.0244668	0.0304957	0.0401883	0.0436376	0.0700542	0.114824	0.231475	0.349391
