 	il	est	venu	m'	accueillir	à	l'	entrée	du	village	</S>
a23	0.162844	0.0840032	0.0822945	0.0833891	0.115514	0.123826	0.1065	0.0815075	0.0603886	0.0484796	0.0512535
a79	0.0930137	0.0578864	0.0735523	0.10643	0.126515	0.135222	0.104179	0.0669459	0.0739659	0.0719312	0.0903584
a20	0.174058	0.104391	0.116797	0.106412	0.133278	0.104145	0.0820657	0.0448467	0.0416416	0.039955	0.0524105
a30	0.379806	0.183504	0.128439	0.0744682	0.0833	0.0678846	0.0387038	0.0168982	0.0121762	0.00749681	0.00732301
a24	0.255447	0.17144	0.156731	0.124254	0.105499	0.0922875	0.0482872	0.0177149	0.0126788	0.00785614	0.00780456
a41	0.198284	0.146034	0.132759	0.12168	0.108091	0.119135	0.0812823	0.0334277	0.0249261	0.0175587	0.016821
a24	0.159526	0.137481	0.138247	0.134006	0.110511	0.115882	0.0850143	0.0411881	0.0318946	0.0236922	0.0225587
a41	0.153265	0.133903	0.132327	0.131892	0.11086	0.117676	0.093512	0.0476605	0.0326124	0.0239563	0.0223362
a14	0.107177	0.0999196	0.112938	0.138692	0.117385	0.126034	0.11813	0.0644233	0.0471094	0.0339362	0.0342565
a35	0.101714	0.0927099	0.103142	0.122079	0.104113	0.116423	0.121925	0.083666	0.0636728	0.0457302	0.0448251
a57	0.0615077	0.0549257	0.0633837	0.106621	0.117351	0.13752	0.147453	0.0965415	0.0821534	0.0637347	0.0688085
a54	0.0198693	0.0193926	0.0278008	0.0591542	0.095229	0.119211	0.164994	0.145092	0.133612	0.103966	0.11168
a30	0.05169	0.0465003	0.0541952	0.0763806	0.0943757	0.110322	0.132734	0.110522	0.106026	0.105163	0.11209
a35	0.0496719	0.0444781	0.0515643	0.0742785	0.0859985	0.105544	0.138905	0.131021	0.121836	0.0985818	0.0981208
a30	0.0342628	0.029739	0.0324271	0.0581941	0.073054	0.0901673	0.122603	0.133866	0.135307	0.136846	0.153534
a35	0.0146031	0.014684	0.0199983	0.0470412	0.0760264	0.0985543	0.143277	0.155585	0.158358	0.13028	0.141593
a76	0.0125781	0.0113478	0.0130549	0.0261777	0.050339	0.0778541	0.113919	0.131654	0.170986	0.175279	0.21681
a90	0.0201593	0.0154717	0.0146026	0.023488	0.0416332	0.0586547	0.0956682	0.12941	0.156287	0.19054	0.254085
a82	0.0176732	0.0134584	0.0129435	0.0198172	0.036081	0.0520822	0.0833865	0.115215	0.165801	0.210612	0.27293
a76	0.00499532	0.00434121	0.00565176	0.0120916	0.0244875	0.0345854	0.0631421	0.100721	0.165996	0.232162	0.351826
a35	0.00328556	0.00235155	0.00266582	0.00524877	0.00972106	0.013597	0.0311806	0.0722987	0.149426	0.281247	0.428977
a41	0.00382781	0.00256901	0.00266805	0.00601988	0.0134922	0.0199163	0.0425238	0.0821331	0.156883	0.263378	0.40659
a14	0.00255023	0.00172599	0.0018452	0.00445448	0.010354	0.0162449	0.0334635	0.0723939	0.147704	0.262537	0.446727
a57	0.0064628	0.0043927	0.00414061	0.00760323	0.015144	0.0218014	0.039975	0.0941719	0.169662	0.255955	0.380691
a38	0.00417192	0.00242334	0.00234373	0.00382595	0.0067501	0.00851119	0.0190013	0.0580145	0.141216	0.304531	0.44921
a4	0.00374887	0.00200375	0.00194907	0.0048582	0.0110399	0.0135394	0.0301806	0.0817293	0.157757	0.288211	0.404983
a13	0.00205414	0.00122759	0.00116394	0.00289872	0.00620772	0.00839093	0.0209952	0.05958	0.130511	0.28434	0.482632
a9	0.00672143	0.00390067	0.00381663	0.00800389	0.0145195	0.0160625	0.0325276	0.0772644	0.141949	0.285476	0.409758
a87	0.0135579	0.00717324	0.00630726	0.0108672	0.0172241	0.0206869	0.0353943	0.0765412	0.142755	0.273828	0.395664
</S>	0.0106354	0.00626937	0.00522462	0.00855716	0.0183278	0.0256694	0.0518122	0.10712	0.173671	0.254341	0.338372
