 	la	manière	dont	mon	fils	s'	est	noyé	c'	est	par	envoûtement	</S>
a66	0.227533	0.116945	0.0857104	0.11321	0.110766	0.0898323	0.0718418	0.0551799	0.0446014	0.0294287	0.0216431	0.0163116	0.0169975
a87	0.193888	0.109904	0.109941	0.115827	0.108404	0.0707049	0.0621236	0.0467216	0.0433936	0.0357514	0.0312581	0.0327659	0.0393167
a23	0.384698	0.202994	0.0996335	0.0574677	0.0412693	0.0301195	0.0269912	0.0211174	0.0225616	0.0235381	0.0270214	0.0294981	0.0330899
a50	0.248342	0.236178	0.190017	0.0827768	0.0463584	0.0289219	0.0219693	0.0193817	0.0219151	0.0242344	0.027906	0.0215462	0.0304532
a62	0.250321	0.217794	0.12809	0.0724796	0.0534964	0.0423724	0.0333876	0.0290668	0.0305229	0.0320704	0.0353041	0.0306474	0.0444487
a47	0.319674	0.344568	0.144774	0.0548981	0.0337302	0.021698	0.0141258	0.0126426	0.0111531	0.0109417	0.0113593	0.00966619	0.0107688
a61	0.184162	0.336961	0.257563	0.0779011	0.038492	0.0219258	0.0135536	0.0103007	0.00941148	0.00892398	0.0110572	0.0127857	0.016963
a62	0.167049	0.334445	0.254942	0.0783406	0.0420803	0.026468	0.0178895	0.0145652	0.0125722	0.0113074	0.0119142	0.0133733	0.0150531
a31	0.188896	0.288987	0.224514	0.0856665	0.0515648	0.0339365	0.0232451	0.0185075	0.0184528	0.0154347	0.0161829	0.016459	0.0181532
a21	0.182521	0.273412	0.22744	0.104192	0.0642713	0.0415121	0.027615	0.0193563	0.0158198	0.0109772	0.0100895	0.010388	0.0124063
a47	0.193325	0.250261	0.209353	0.103165	0.0703316	0.0462098	0.033402	0.0247939	0.0197452	0.0133471	0.0111062	0.0110413	0.0139181
a31	0.0821399	0.107406	0.165232	0.148483	0.127304	0.0956228	0.0779086	0.0543585	0.0465091	0.0313381	0.0240563	0.019402	0.0202398
a21	0.0926543	0.108866	0.140251	0.124755	0.119846	0.0990757	0.0871568	0.0642423	0.0531484	0.0329829	0.0259771	0.0238361	0.0272082
a47	0.0470569	0.0527512	0.0873028	0.11104	0.123682	0.11646	0.114898	0.0925131	0.0845794	0.0569144	0.0419615	0.034206	0.0366341
a62	0.0272877	0.0390045	0.0784352	0.131857	0.155666	0.142109	0.129873	0.0901811	0.0733815	0.0442974	0.0312414	0.0258883	0.0307776
a24	0.0189789	0.0237799	0.0450098	0.0914346	0.125078	0.137384	0.147404	0.117889	0.110025	0.0692569	0.0443357	0.0330371	0.0363877
