 	la	maladie	de	ma	femme	me	dépasse	</S>
a23	0.239271	0.163809	0.151486	0.186212	0.128557	0.0823376	0.0297326	0.0185946
a87	0.36081	0.19678	0.137882	0.117953	0.0797738	0.0551196	0.0260771	0.0256043
a23	0.187209	0.182456	0.155906	0.125365	0.09917	0.0645644	0.064633	0.120696
a87	0.288559	0.248112	0.162071	0.0979926	0.0599763	0.038472	0.0360825	0.0687341
a23	0.247683	0.21714	0.150741	0.109927	0.0780071	0.0604917	0.0570717	0.0789379
a87	0.304761	0.232943	0.131133	0.0770184	0.0493541	0.0439	0.0569876	0.103902
a23	0.243668	0.194319	0.132945	0.0990578	0.0798075	0.0710583	0.0766695	0.102474
a83	0.237126	0.199173	0.131996	0.0887549	0.0611142	0.0630791	0.0813139	0.137443
a9	0.384829	0.306399	0.145065	0.0630176	0.0260728	0.0205272	0.0221089	0.0319801
a90	0.328251	0.325125	0.159932	0.0727852	0.035486	0.0240755	0.0211093	0.0332355
a92	0.146808	0.175362	0.140069	0.117861	0.0975264	0.0832852	0.0946993	0.144389
a37	0.202432	0.254766	0.183442	0.12788	0.0844201	0.0505453	0.0409583	0.0555569
a5	0.164095	0.210544	0.170614	0.140418	0.105328	0.0700162	0.0591649	0.0798203
a75	0.157244	0.218107	0.192036	0.157435	0.106147	0.0633194	0.0463164	0.0593935
a6	0.141668	0.18211	0.176981	0.152365	0.109572	0.0803233	0.0684425	0.0885373
a5	0.107543	0.140246	0.165068	0.155784	0.118571	0.0910335	0.0907036	0.13105
a75	0.122341	0.149877	0.179529	0.18486	0.129157	0.0902135	0.0678339	0.0761884
a85	0.0775184	0.0819523	0.10524	0.139254	0.130906	0.124803	0.159364	0.180961
a5	0.0677517	0.0748608	0.0903529	0.117198	0.113287	0.117585	0.198033	0.220932
a43	0.0899502	0.088732	0.0853683	0.119885	0.130889	0.122948	0.173553	0.188674
a47	0.123625	0.105571	0.0903764	0.112785	0.150095	0.138271	0.130783	0.148494
a62	0.111507	0.0912621	0.0880252	0.118269	0.168678	0.144975	0.132691	0.144593
a75	0.107238	0.0846332	0.0821642	0.108354	0.162864	0.150114	0.147666	0.156967
a92	0.0775434	0.0564367	0.0621558	0.0835219	0.133248	0.140965	0.189405	0.256723
a37	0.0429797	0.031396	0.0393611	0.0610269	0.116588	0.149776	0.245997	0.312876
a85	0.0252301	0.0188757	0.0259563	0.0457664	0.101685	0.160132	0.267019	0.355336
a6	0.0431913	0.0309063	0.0355547	0.0472826	0.0916008	0.139022	0.243971	0.368472
a37	0.0425719	0.0271235	0.029102	0.0378962	0.0763913	0.135035	0.265135	0.386746
a96	0.0176824	0.0126938	0.0157562	0.0254574	0.057052	0.109987	0.272233	0.489138
a75	0.0106973	0.00854261	0.0119788	0.0211337	0.0478641	0.0994244	0.284284	0.516075
a36	0.0210073	0.0161846	0.0196787	0.026654	0.0482653	0.0835796	0.25047	0.534161
a2	0.00354104	0.00278451	0.00413719	0.00747018	0.0217045	0.0534175	0.289039	0.617906
a57	0.0116925	0.00704654	0.00614077	0.00748754	0.0160158	0.0447057	0.26959	0.637322
a87	0.122971	0.050131	0.031258	0.0273956	0.0488352	0.0935347	0.245221	0.380654
a23	0.196444	0.0945628	0.0658293	0.0613412	0.092292	0.123805	0.163651	0.202074
a87	0.0734361	0.0372276	0.0338413	0.036694	0.0510376	0.103588	0.249148	0.415027
</S>	0.0523949	0.0242014	0.0231887	0.0254864	0.0372374	0.0752114	0.264036	0.498244
