 	aujourd'	hui	le	notable	a	porté	le	gros	pagne	aux	bordures	rouges	</S>
a82	0.13093	0.10373	0.0925386	0.0936271	0.0829621	0.0943315	0.0866076	0.0994852	0.0871483	0.0657165	0.0383979	0.0154513	0.00907421
a99	0.148995	0.0935604	0.0705646	0.0474171	0.0550352	0.0552167	0.0636534	0.057256	0.0880839	0.130463	0.0852423	0.0608473	0.0436644
a9	0.102454	0.0717252	0.0521691	0.0569388	0.0772374	0.0978062	0.0913594	0.140598	0.144232	0.0662853	0.0571426	0.021271	0.0207807
a99	0.0879852	0.0819891	0.0673843	0.101406	0.120954	0.115225	0.0816469	0.0967799	0.0948727	0.0548081	0.0656107	0.017078	0.0142608
a83	0.0778579	0.0696313	0.0589634	0.0845573	0.107425	0.128686	0.0914689	0.1058	0.0868919	0.0650267	0.0810271	0.0233864	0.0192792
a75	0.105956	0.094419	0.0647236	0.0695566	0.0720827	0.0970122	0.0795592	0.102712	0.089645	0.100962	0.0695338	0.0300885	0.0237485
a92	0.110161	0.0855832	0.0535151	0.04189	0.053655	0.090129	0.104544	0.144901	0.0988843	0.0806808	0.0617721	0.03715	0.0371348
a21	0.0904519	0.0685847	0.0480064	0.044364	0.0754763	0.124867	0.145314	0.167303	0.0923318	0.049058	0.0409844	0.0271315	0.0261268
a5	0.0766595	0.0521942	0.0468968	0.053527	0.0843686	0.13478	0.163153	0.196414	0.100486	0.0347451	0.0274283	0.015804	0.0135419
a36	0.0455581	0.0381741	0.0479734	0.073308	0.120628	0.165249	0.180803	0.179067	0.0816595	0.0265882	0.0193905	0.0117543	0.00984639
a98	0.0572847	0.05818	0.067996	0.0904185	0.12943	0.145514	0.14828	0.115441	0.0711659	0.0373591	0.0318761	0.0253896	0.0216658
a85	0.0507475	0.0511154	0.0700942	0.0866714	0.130528	0.140404	0.145662	0.101591	0.0684385	0.037857	0.033204	0.0436073	0.0400787
a5	0.0573158	0.0577804	0.0746075	0.083444	0.12723	0.122171	0.136011	0.0835811	0.0650855	0.0474799	0.038984	0.0523298	0.0539795
a21	0.0670361	0.0654402	0.0815718	0.0788464	0.102973	0.102529	0.109615	0.0767149	0.0685067	0.0504608	0.0556014	0.0685662	0.0721385
a12	0.0458421	0.044607	0.0523666	0.0509363	0.063968	0.0618655	0.07782	0.0620625	0.0763895	0.0869125	0.114719	0.133608	0.128903
a43	0.0311645	0.0291459	0.0324739	0.032055	0.0438122	0.0377597	0.0528139	0.0379261	0.0555036	0.075474	0.126014	0.216124	0.229733
a54	0.010568	0.00950732	0.0114237	0.014255	0.0246504	0.0236069	0.0345544	0.0244749	0.042994	0.0854205	0.156094	0.286171	0.27628
a15	0.0124243	0.0119969	0.0123575	0.0118788	0.0159456	0.0117945	0.0149716	0.00896823	0.0140019	0.038357	0.0941634	0.295409	0.457731
a7	0.00578908	0.00545893	0.0058634	0.00607232	0.00819714	0.00708694	0.00952834	0.00622213	0.0113052	0.0415295	0.107808	0.285769	0.49937
a27	0.00488601	0.00355731	0.00326043	0.00290796	0.00421883	0.00322154	0.00444621	0.00284767	0.00619543	0.0247727	0.0534518	0.272986	0.613248
a10	0.0482372	0.0340743	0.0265259	0.020237	0.0329734	0.032141	0.043475	0.0281923	0.0306299	0.0367768	0.0547929	0.198624	0.41332
a9	0.0752159	0.0479495	0.0327753	0.0267047	0.0414267	0.0438519	0.0521047	0.0461752	0.0559022	0.0603369	0.084565	0.159777	0.273215
a99	0.0946573	0.0663932	0.0528541	0.0485337	0.0629827	0.0612112	0.0592048	0.043162	0.0404058	0.0469553	0.0615562	0.140951	0.221132
a3	0.0904418	0.0550714	0.0448985	0.0394791	0.0489336	0.0464759	0.0484786	0.039589	0.0395939	0.0597715	0.0624004	0.161721	0.263145
a97	0.0614207	0.0411856	0.0383192	0.0386237	0.0458807	0.043542	0.0451125	0.0347617	0.0380544	0.0644096	0.0818273	0.176086	0.290777
</S>	0.0426001	0.0287509	0.0309285	0.0392257	0.0548346	0.0619934	0.0719282	0.0633187	0.0627541	0.0754874	0.101526	0.157468	0.209184
