 	elle	a	des	yeux	brillants	de	malice	</S>
a87	0.24626	0.14859	0.0765472	0.0530074	0.0528391	0.0852975	0.145435	0.192025
a23	0.282414	0.154832	0.109826	0.107685	0.0836884	0.0823312	0.084755	0.0944693
a13	0.368537	0.177147	0.0935283	0.0643963	0.0421973	0.0506688	0.0883014	0.115223
a20	0.113666	0.0781699	0.066439	0.0976462	0.127542	0.153809	0.185405	0.177323
a30	0.208776	0.171156	0.11729	0.116732	0.147974	0.106962	0.0878998	0.0432093
a35	0.308242	0.298872	0.161803	0.1036	0.0713483	0.0283258	0.0183537	0.0094558
a26	0.301086	0.272501	0.179076	0.127838	0.0723936	0.0246665	0.0146753	0.00776417
a43	0.262383	0.225484	0.15864	0.140409	0.111524	0.0533272	0.0313336	0.0168984
a0	0.184719	0.174219	0.150847	0.163065	0.14137	0.090455	0.0644964	0.0308283
a24	0.208218	0.201072	0.169153	0.158911	0.126879	0.0694424	0.0461733	0.0201509
a35	0.228407	0.219398	0.175539	0.151395	0.112069	0.0597105	0.0371519	0.0163295
a30	0.145439	0.156295	0.149425	0.165034	0.150667	0.111282	0.082527	0.0393299
a41	0.10604	0.125073	0.132004	0.162785	0.159351	0.146116	0.11095	0.0576814
a24	0.0690196	0.0880059	0.102506	0.136447	0.152411	0.178198	0.173959	0.0994536
a41	0.0386553	0.0469076	0.0615531	0.093844	0.13574	0.190434	0.252904	0.179962
a43	0.0346794	0.0400149	0.0472677	0.0733785	0.109178	0.192281	0.283205	0.219995
a30	0.0191161	0.0239273	0.0337439	0.0590035	0.0955739	0.142008	0.27409	0.352537
a14	0.0181193	0.0228763	0.0333135	0.0565523	0.0829509	0.132058	0.278219	0.375911
a2	0.00613982	0.00740507	0.01189	0.0231409	0.0468184	0.116523	0.287168	0.500915
a53	0.00936206	0.0119239	0.0220649	0.0400202	0.06205	0.096578	0.24125	0.516751
a90	0.00423978	0.00430069	0.00778232	0.0185997	0.0505198	0.121375	0.262715	0.530468
a35	0.00144025	0.001648	0.004134	0.0149455	0.0433433	0.106618	0.240156	0.587714
a14	0.00409196	0.00448832	0.00909955	0.0238801	0.0613351	0.154834	0.291479	0.450792
a30	0.00659543	0.00614514	0.0102959	0.0242293	0.0581777	0.138839	0.292657	0.46306
a57	0.0101396	0.0093857	0.0127276	0.0219702	0.0421927	0.121911	0.29843	0.483243
a87	0.0129999	0.0141262	0.0188797	0.0260962	0.0373813	0.0867109	0.220836	0.58297
</S>	0.00621825	0.00860117	0.0159361	0.0302381	0.0529957	0.125847	0.291284	0.468879
