 	cet	homme	qui	vient	du	vil	lage	d'	okoungou	a	une	barbe	touffue	</S>
a66	0.0725424	0.0691434	0.0863599	0.0814992	0.17051	0.232353	0.132533	0.0742829	0.0404191	0.0170921	0.00837753	0.00540324	0.00474566	0.00473802
a87	0.228253	0.175395	0.153323	0.0947255	0.0642735	0.0533222	0.0308481	0.0345224	0.0272422	0.0290991	0.0214901	0.022495	0.0301732	0.0348381
a23	0.235002	0.173074	0.140543	0.101051	0.0788688	0.0654573	0.0375821	0.0337034	0.0303806	0.0247721	0.0160623	0.0126635	0.0203786	0.0304604
a83	0.196331	0.171393	0.15024	0.127367	0.0925226	0.0947384	0.0438022	0.0327165	0.0227954	0.0176773	0.0129502	0.00975597	0.0105584	0.0171528
a56	0.100616	0.112032	0.131124	0.128581	0.160853	0.157272	0.0793518	0.0528976	0.0249127	0.0159271	0.010785	0.00748079	0.00710123	0.0110648
a75	0.124942	0.140502	0.148054	0.149916	0.15436	0.118873	0.0754165	0.0446863	0.022508	0.0101553	0.00497003	0.00247077	0.00138468	0.00176037
a21	0.092057	0.0947694	0.105685	0.100608	0.116775	0.111785	0.129845	0.134985	0.0591088	0.0246743	0.0149504	0.00674848	0.0037019	0.00430696
a56	0.054006	0.0583074	0.0750461	0.0864321	0.104372	0.120307	0.155414	0.170117	0.0835079	0.0396547	0.0248379	0.013815	0.00705041	0.0071317
a93	0.0622129	0.0566763	0.0715784	0.0822307	0.0946593	0.128418	0.144015	0.197001	0.0771025	0.0301455	0.0219727	0.0143398	0.0098284	0.00981895
a56	0.0531432	0.0563945	0.0720475	0.0920376	0.108068	0.134621	0.141971	0.160426	0.0701813	0.0312708	0.0252581	0.0204667	0.0162722	0.0178424
a93	0.0465554	0.0573326	0.0739645	0.100662	0.124909	0.141314	0.139787	0.131617	0.0632475	0.0297362	0.0242201	0.022649	0.0210613	0.0229457
a4	0.0520096	0.0671208	0.0813628	0.102893	0.123183	0.131474	0.129765	0.119894	0.0637277	0.0312572	0.0241463	0.0217053	0.0236406	0.0278199
a70	0.0342456	0.0499407	0.0588104	0.0791661	0.112031	0.143684	0.143191	0.122062	0.0726203	0.0488408	0.0354549	0.0300255	0.0315939	0.038333
a93	0.0316352	0.0445825	0.0460126	0.0608905	0.0906369	0.126831	0.135776	0.11768	0.0829127	0.068045	0.0487788	0.0446374	0.0462217	0.0553596
