 	ikami	est	un	fuirt	avec	plusieurs	dés	</S>
a87	0.173017	0.160863	0.168925	0.190093	0.136815	0.0952882	0.0559421	0.0190564
a23	0.247042	0.12896	0.0899167	0.0868454	0.0872223	0.140692	0.158918	0.0604033
a83	0.235995	0.174687	0.132793	0.101744	0.0660578	0.0653412	0.102921	0.120462
a9	0.297909	0.246617	0.185718	0.117287	0.0663116	0.0277013	0.0298707	0.0285866
a87	0.269326	0.249607	0.191732	0.116875	0.0615612	0.0283585	0.0339915	0.0485487
a23	0.25496	0.229609	0.179106	0.111115	0.071742	0.0424349	0.052869	0.0581636
a75	0.268881	0.229313	0.173246	0.111862	0.058634	0.0383637	0.0551109	0.0645897
a6	0.369063	0.266424	0.142616	0.0892148	0.0371681	0.0214565	0.0278801	0.0461779
a37	0.25232	0.214513	0.16487	0.15587	0.066754	0.0357294	0.0438862	0.0660577
a96	0.215095	0.203447	0.175511	0.196048	0.0789	0.0406423	0.0400739	0.0502826
a31	0.16313	0.171396	0.176643	0.230432	0.0967516	0.0546558	0.0501327	0.0568588
a88	0.144771	0.165394	0.187659	0.24475	0.106102	0.0623813	0.0440587	0.044884
a75	0.1021	0.123561	0.154465	0.219738	0.131769	0.0907914	0.0816055	0.0959695
a66	0.157358	0.186483	0.206172	0.196509	0.102024	0.0583425	0.0485043	0.0446073
a11	0.0608052	0.0953752	0.151285	0.224178	0.174056	0.0966911	0.0851187	0.11249
a96	0.0444779	0.0776694	0.147118	0.237712	0.205687	0.0941489	0.0792173	0.11397
a98	0.0565764	0.0892209	0.164362	0.247028	0.192535	0.106438	0.0769252	0.0669145
a92	0.0433616	0.0603433	0.119511	0.199825	0.200509	0.113956	0.131922	0.130572
a85	0.062807	0.0746104	0.124787	0.17572	0.153361	0.0837308	0.123836	0.201147
a96	0.0592033	0.0681713	0.101739	0.137388	0.120989	0.0872396	0.140414	0.284856
a98	0.047945	0.0571772	0.0857135	0.139298	0.172743	0.140676	0.165115	0.191333
a24	0.0464001	0.0465652	0.064617	0.0857252	0.112385	0.0876684	0.172806	0.383834
a62	0.0387151	0.0410367	0.0569891	0.0837365	0.116608	0.116273	0.223205	0.323437
a21	0.035353	0.0353784	0.0472887	0.0808596	0.123776	0.148691	0.276005	0.252648
a85	0.0365689	0.0380591	0.0539784	0.0945449	0.139999	0.144614	0.240038	0.252197
a5	0.0387196	0.0381335	0.051694	0.0761815	0.118586	0.126831	0.239972	0.309883
a62	0.0473383	0.0484461	0.0634278	0.0842058	0.113951	0.11777	0.241479	0.283382
a31	0.0140174	0.0137978	0.0203276	0.0384423	0.0599939	0.0867701	0.266918	0.499733
a24	0.00695152	0.00717193	0.0115422	0.0231534	0.0415156	0.0637445	0.224568	0.621353
a83	0.00324289	0.00399312	0.00673718	0.0119989	0.0224132	0.0444021	0.208774	0.698439
a9	0.00217581	0.00277023	0.0052557	0.010897	0.0222329	0.0400854	0.181743	0.73484
a87	0.00767896	0.00745334	0.0117016	0.0188161	0.0434101	0.0523479	0.195229	0.663363
a23	0.0254955	0.020296	0.0237788	0.0319612	0.0648502	0.116574	0.322159	0.394885
a87	0.00829244	0.00532329	0.00572594	0.00976097	0.0245397	0.0838993	0.268041	0.594417
</S>	0.00491446	0.00373184	0.00510018	0.00925062	0.0197997	0.0647042	0.249221	0.643278
