 	il	perce	l'	abcès	</S>
a23	0.390537	0.225386	0.153183	0.140536	0.0903578
a79	0.329862	0.220904	0.156044	0.155469	0.137722
a20	0.361027	0.232109	0.15122	0.135906	0.119738
a35	0.463489	0.191697	0.147516	0.110791	0.0865078
a30	0.395805	0.240216	0.18327	0.107677	0.0730312
a14	0.334992	0.282499	0.198063	0.113535	0.0709122
a44	0.30584	0.270105	0.208972	0.130071	0.0850134
a57	0.281199	0.269431	0.215064	0.140339	0.0939677
a87	0.177421	0.205313	0.229257	0.207471	0.180539
a23	0.13418	0.153628	0.203976	0.239368	0.268848
a66	0.132782	0.161519	0.205204	0.231851	0.268644
a94	0.202109	0.198692	0.214865	0.193465	0.19087
a76	0.18846	0.194142	0.203445	0.196036	0.217917
a90	0.153491	0.167673	0.186562	0.216893	0.275382
a9	0.131684	0.152249	0.179348	0.221745	0.314975
a38	0.0484783	0.0695243	0.110921	0.243617	0.52746
a24	0.0349535	0.053497	0.0931507	0.239665	0.578734
a66	0.0426944	0.0533403	0.0927785	0.241881	0.569306
a44	0.0388351	0.0567495	0.0948657	0.240689	0.568861
a7	0.0204541	0.0334105	0.0692041	0.223725	0.653206
a57	0.0336488	0.0503337	0.0885474	0.238638	0.588832
a87	0.0568354	0.0757787	0.107864	0.247433	0.512089
a23	0.122275	0.116762	0.121784	0.242302	0.396876
a87	0.230872	0.189988	0.160511	0.210564	0.208066
</S>	0.158629	0.134156	0.132517	0.235253	0.339445
