 	les	riches	de	notre	village	ont	plusieurs	maisons	</S>
a85	0.265807	0.241926	0.219695	0.141042	0.068734	0.0269916	0.0144348	0.0109589	0.0104104
a87	0.269171	0.243528	0.132091	0.0803117	0.0696289	0.0498874	0.0489547	0.0503222	0.0561051
a23	0.252069	0.274729	0.143549	0.0717811	0.0422679	0.0360901	0.046025	0.046804	0.0866853
a87	0.393302	0.223312	0.0680454	0.033019	0.0245577	0.0217163	0.0362707	0.0654985	0.134278
a97	0.293882	0.165734	0.0816054	0.0533888	0.0438196	0.0428164	0.066635	0.0936868	0.158433
a23	0.28102	0.140569	0.0851416	0.0600267	0.0545179	0.0528157	0.0706827	0.099734	0.155493
a50	0.278882	0.140468	0.0747892	0.0575202	0.0608342	0.0512097	0.0592578	0.0962961	0.180743
a88	0.537854	0.156853	0.0611409	0.0379178	0.032581	0.0299964	0.0437881	0.0476471	0.0522209
a34	0.605472	0.193292	0.0604709	0.031256	0.0210734	0.0168119	0.0215566	0.0235272	0.0265398
a21	0.525555	0.21514	0.059082	0.0336852	0.0252677	0.0221105	0.0336066	0.0361279	0.0494258
a61	0.60472	0.216564	0.0550903	0.0258579	0.0178842	0.0136221	0.0181046	0.0197265	0.0284298
a96	0.387666	0.286752	0.0871609	0.0464185	0.0314895	0.026382	0.0389417	0.0398473	0.0553418
a98	0.271338	0.272929	0.10752	0.0641161	0.0466086	0.0391973	0.0572942	0.0616543	0.0793427
a44	0.276734	0.318097	0.142212	0.0767897	0.0433528	0.0280948	0.0320847	0.0390391	0.043596
a58	0.256561	0.337422	0.13916	0.0702377	0.0413223	0.0277123	0.0317939	0.0422204	0.053571
a53	0.118994	0.214306	0.121297	0.0904659	0.0724199	0.064495	0.0807242	0.103977	0.13332
a15	0.0843649	0.216951	0.130949	0.101353	0.0736463	0.0580495	0.0734815	0.114407	0.146798
a44	0.060548	0.122914	0.0931371	0.0870994	0.0847555	0.0747747	0.0909904	0.178288	0.207492
a61	0.0498396	0.104267	0.105332	0.107396	0.10027	0.0760395	0.0799399	0.159978	0.216938
a0	0.0848288	0.158792	0.161283	0.143386	0.102351	0.0661274	0.0596249	0.0984848	0.125122
a31	0.0468881	0.0946578	0.10757	0.119789	0.100618	0.0713978	0.0745259	0.159553	0.225
a88	0.0319481	0.0619293	0.07666	0.108829	0.113454	0.0870833	0.0869865	0.183419	0.24969
a61	0.0171207	0.0364963	0.0490077	0.0768407	0.0983412	0.103284	0.124775	0.240483	0.253651
a75	0.0106205	0.0211194	0.0321489	0.0592367	0.0874445	0.104249	0.138839	0.28185	0.264492
a85	0.00865651	0.0105372	0.0139596	0.027443	0.0548881	0.0750198	0.107092	0.300637	0.401768
a61	0.00564589	0.00831183	0.0105728	0.0179739	0.0355084	0.0540932	0.0968396	0.355276	0.415778
a66	0.00393404	0.00705047	0.00927495	0.0164319	0.027405	0.0442415	0.0982564	0.357168	0.436238
a21	0.00154953	0.00416314	0.00544011	0.010249	0.0165474	0.0320622	0.0857193	0.338282	0.505987
a85	0.00656199	0.00703414	0.00977707	0.0169325	0.0303692	0.047636	0.103509	0.340903	0.437277
a5	0.00189609	0.00313504	0.00428173	0.00706856	0.013502	0.0272049	0.0883	0.391683	0.462928
a88	0.0033288	0.0054468	0.00589508	0.00853876	0.0141765	0.0308982	0.1024	0.357041	0.472276
a9	0.00153411	0.00609459	0.00798943	0.0139904	0.0261159	0.058572	0.127667	0.318644	0.439393
a10	0.00387033	0.00483841	0.00510111	0.0103189	0.0299634	0.0713716	0.146739	0.295646	0.432152
a87	0.0115806	0.0125613	0.00989666	0.0142811	0.0346725	0.073261	0.180723	0.285985	0.377039
a97	0.0304925	0.0617112	0.0416276	0.0388873	0.0549773	0.0740751	0.140006	0.2502	0.308023
a38	0.0268552	0.0576917	0.041272	0.0336418	0.0462302	0.0651837	0.149323	0.265613	0.31419
a43	0.0181928	0.0361912	0.0225253	0.0213068	0.0371632	0.0592828	0.138467	0.297496	0.369375
</S>	0.00369787	0.0105016	0.00830096	0.00957464	0.0191797	0.0405326	0.132252	0.320146	0.455815
