 	le	gaz	qui	s'	exhale	de	l'	huile	de	palme	chauffée	fait	tousser	le	cuisinier	</S>
a84	0.303382	0.333384	0.115239	0.0690287	0.0383328	0.0218364	0.0164165	0.0130612	0.011581	0.00891484	0.010942	0.00989825	0.0138106	0.0124393	0.0102861	0.011448
a87	0.3944	0.322919	0.0864165	0.0374349	0.0155127	0.00827817	0.006701	0.00687672	0.00830061	0.00992708	0.014862	0.0146982	0.0301953	0.0203573	0.0114701	0.0116506
a23	0.488338	0.185141	0.0691896	0.0290405	0.0154005	0.0109315	0.0114549	0.0121736	0.0129257	0.0157963	0.0206594	0.0177392	0.0400608	0.0254252	0.0198889	0.0258348
a99	0.315311	0.128893	0.0762747	0.0406038	0.0198804	0.0190224	0.0251496	0.0267442	0.0291944	0.0374074	0.0418476	0.036419	0.0594646	0.0501742	0.0424577	0.051156
a79	0.189883	0.1234	0.0659079	0.0345134	0.0298049	0.0351595	0.0400731	0.0412825	0.0394316	0.0480775	0.0507455	0.0440274	0.0659821	0.0625007	0.0561053	0.0731053
a54	0.206602	0.221895	0.16379	0.0934967	0.0513825	0.0297668	0.0285402	0.0275726	0.0282873	0.0297322	0.0301679	0.0176193	0.0185785	0.0177905	0.0149388	0.0198389
a47	0.0591143	0.126152	0.184895	0.182618	0.110771	0.0534892	0.0433246	0.0368804	0.0403954	0.039893	0.0399326	0.0200279	0.0142897	0.015155	0.0128338	0.020229
a36	0.0562014	0.117359	0.193264	0.205119	0.090771	0.0482628	0.0398586	0.0361756	0.0441008	0.043406	0.0376098	0.0202534	0.0117121	0.0146866	0.0156173	0.0256017
a85	0.0802384	0.115259	0.153551	0.184765	0.0932713	0.0578004	0.0501196	0.0449164	0.0477908	0.0435253	0.0365388	0.0184199	0.0108105	0.0143706	0.0156887	0.0329346
a5	0.0488569	0.0839475	0.114539	0.168805	0.102014	0.086402	0.0703983	0.0562144	0.0523978	0.0434702	0.0380543	0.0251256	0.0161165	0.0213205	0.0246456	0.0476924
a12	0.104846	0.151582	0.161552	0.157911	0.0804878	0.0515583	0.0435756	0.0364641	0.0358834	0.0328894	0.0296661	0.0243695	0.0182253	0.0190469	0.0220216	0.0299203
a18	0.0479762	0.0598049	0.0813089	0.119034	0.0814866	0.0661466	0.0664869	0.0668103	0.0688864	0.0625075	0.0519042	0.0486781	0.0426563	0.0396127	0.043306	0.0533946
a90	0.0218721	0.0232318	0.0347226	0.071352	0.0874869	0.0949511	0.0992671	0.101281	0.0920097	0.0750574	0.0605362	0.0536257	0.0555286	0.0441038	0.0397763	0.0451974
a98	0.00730792	0.00700193	0.00997364	0.0311674	0.0644139	0.0994127	0.102305	0.106673	0.106628	0.092652	0.0708307	0.070666	0.0642409	0.0536024	0.0523824	0.0607416
a92	0.00302956	0.00276622	0.00429778	0.0140552	0.0607114	0.107266	0.110438	0.115057	0.110761	0.0890105	0.0711121	0.0692666	0.0813609	0.061475	0.0466555	0.0527378
